EXP-15-CC44-14-100100100-G-FP-002 100_s I-0042f
9/4/2015 1:14:59 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.23600	2.293	1.930	16.29
0.44400	96.12	2.041	217.5
0.65200	96.12	2.283	217.5
0.89600	99.94	2.321	230.3
1.2080	99.94	2.682	230.3
1.4000	99.76	2.862	259.5
1.5640	99.76	2.870	259.5
1.7360	99.76	2.870	259.5
2.0480	99.76	2.593	284.3
2.3280	99.78	2.415	300.1
2.5080	99.78	2.415	300.1
2.6640	99.78	2.287	300.1
2.9200	99.95	2.091	309.0
3.1840	99.95	1.900	309.0
3.4400	99.93	1.764	313.2
3.6240	99.93	1.565	313.2
3.8320	99.95	1.395	315.7
4.1520	99.95	1.300	315.7
4.4080	99.93	1.204	317.1
4.5680	99.93	1.121	317.1
4.7320	99.91	1.121	319.4
5.0200	99.91	1.031	319.4
5.3040	99.94	0.9968	320.9
5.5280	99.94	0.9685	320.9
5.6880	99.94	0.9685	322.4
5.9920	99.94	0.9431	322.4
6.2800	99.84	0.8652	323.9
6.4720	99.84	0.8652	323.9
6.6480	99.87	0.8356	325.5
6.8880	99.87	0.7903	325.5
7.1920	99.89	0.7487	326.1
7.4160	99.89	0.7233	326.1
7.6160	99.91	0.6898	325.9
7.8160	99.91	0.6634	325.9
8.1040	99.95	0.6387	326.3
8.3920	99.95	0.6182	326.3
8.5520	99.90	0.5938	327.2
8.7280	99.90	0.5938	327.2
9.0440	99.85	0.5507	327.4
9.3040	99.85	0.5356	327.4
9.5160	99.97	0.5158	327.1
9.7360	99.97	0.5158	327.1
10.040	99.92	0.4967	326.9
10.312	99.92	0.4876	326.9
10.536	99.79	0.4739	327.3
10.680	99.79	0.4739	327.3
10.964	99.92	0.4633	327.1
11.208	99.92	0.4514	327.1
11.416	99.96	0.4462	326.7
11.576	99.96	0.4409	326.7
11.784	99.96	0.4309	326.7
12.068	99.92	0.4305	326.5
12.356	99.92	0.4272	326.5
12.532	99.94	0.4244	327.1
12.712	99.94	0.4244	327.1
13.000	99.93	0.4066	328.0
13.268	99.93	0.4019	328.0
13.464	99.92	0.4019	328.1
13.636	99.92	0.3948	328.1
13.892	99.95	0.3857	328.6
14.168	99.95	0.3799	328.6
14.412	99.98	0.3810	328.3
14.596	99.98	0.3772	328.3
14.816	99.86	0.3709	328.3
15.108	99.86	0.3654	328.3
15.380	99.91	0.3654	328.2
15.548	99.91	0.3677	328.2
15.740	99.86	0.3677	328.2
16.068	99.86	0.3624	328.2
16.340	99.75	0.3575	327.9
16.540	99.75	0.3590	327.9
16.696	99.82	0.3590	328.5
16.980	99.82	0.3527	328.5
17.260	99.82	0.3504	328.6
17.468	99.82	0.3527	328.6
17.652	99.73	0.3527	327.8
17.892	99.73	0.3516	327.8
18.196	99.84	0.3463	326.9
18.420	99.84	0.3440	326.9
18.580	99.84	0.3408	326.9
18.740	99.77	0.3442	326.3
19.044	99.77	0.3531	326.3
19.316	99.75	0.3633	327.2
19.540	99.75	0.3594	327.2
19.700	99.84	0.3594	328.1
19.988	99.84	0.3469	328.1
20.276	99.87	0.3417	327.8
20.436	99.87	0.3417	327.8
20.616	99.91	0.3411	327.1
20.804	99.91	0.3434	327.1
21.084	99.95	0.3506	326.8
21.352	99.95	0.3622	326.8
21.540	99.92	0.3643	327.7
21.712	99.92	0.3592	327.7
22.004	99.75	0.3548	328.5
22.276	99.75	0.3464	328.5
22.496	99.92	0.3444	328.4
22.640	99.92	0.3444	328.4
22.884	99.92	0.3432	328.4
23.156	99.93	0.3480	328.4
23.376	99.93	0.3474	328.4
23.556	99.93	0.3444	328.6
23.748	99.93	0.3381	328.6
24.052	99.95	0.3383	328.8
24.304	99.95	0.3446	328.8
24.548	99.96	0.3523	328.2
24.720	99.96	0.3601	328.2
25.024	99.94	0.3582	328.7
25.268	99.94	0.3448	328.7
25.456	99.95	0.3406	329.1
25.620	99.95	0.3406	329.1
25.892	99.96	0.3408	328.8
26.144	99.96	0.3397	328.8
26.368	99.97	0.3406	328.6
26.528	99.97	0.3489	328.6
26.748	99.97	0.3472	328.6
27.052	99.95	0.3510	328.4
27.328	99.91	0.3476	328.3
27.560	99.91	0.3406	328.3
27.748	99.88	0.3396	328.4
28.032	99.88	0.3372	328.4
28.320	99.99	0.3465	328.7
28.544	99.99	0.3501	328.7
28.704	99.96	0.3560	329.1
29.008	99.96	0.3501	329.1
29.264	99.97	0.3509	329.1
29.456	99.97	0.3385	329.1
29.620	99.97	0.3385	329.1
29.828	99.98	0.3383	328.9
30.112	99.98	0.3404	328.9
30.368	99.93	0.3427	328.6
30.528	99.93	0.3509	328.6
30.688	99.78	0.3503	328.8
30.944	99.78	0.3491	328.8
31.312	100.0	0.3444	329.9
31.472	100.0	0.3416	329.9
31.632	100.0	0.3414	329.6
31.840	100.0	0.3414	329.6
32.128	100.0	0.3414	329.0
32.368	100.0	0.3372	329.0
32.552	100.0	0.3372	328.1
32.720	100.0	0.3341	328.1
33.024	100.0	0.3281	327.2
33.280	100.0	0.3330	327.2
