EXP-15-CC44-14-100100100-G-FP-002 100_s I-0044o
9/4/2015 1:20:46 PM
oscillatory strain sweep step
osc. stress	strain	G'	G''
Pa		Pa	Pa
0.4245	5.7655E-4	733.2	74.55
0.9176	1.2634E-3	723.4	72.34
1.147	1.5916E-3	714.7	100.1
1.428	2.0056E-3	707.6	84.83
1.798	2.4995E-3	714.2	93.47
2.251	3.1710E-3	705.1	88.34
2.836	3.9901E-3	705.8	90.01
3.542	5.0196E-3	700.6	90.43
4.440	6.3158E-3	698.0	88.89
5.577	7.9708E-3	694.7	88.94
6.982	0.010030	691.1	88.50
8.739	0.012603	688.5	88.37
10.96	0.015890	684.5	89.11
13.69	0.020036	678.1	90.04
17.06	0.025222	670.3	95.77
21.11	0.031787	656.2	106.7
26.10	0.040443	633.0	128.8
31.65	0.050932	601.7	158.0
38.12	0.064604	560.0	188.1
45.24	0.081997	510.3	211.1
52.75	0.10350	458.8	223.3
60.74	0.13035	407.9	226.2
69.43	0.16573	356.1	221.5
78.29	0.20798	311.4	212.3
87.99	0.26093	272.1	199.9
98.69	0.32632	239.0	185.9
111.7	0.41517	208.3	170.9
123.6	0.52027	179.0	156.7
134.3	0.66077	144.5	143.4
143.3	0.83412	110.7	131.8
151.8	1.0589	81.03	118.6
159.5	1.3147	59.79	105.8
168.1	1.6447	43.27	92.79
177.4	2.0751	30.66	79.99
187.5	2.5817	22.29	69.27
196.9	3.2354	15.79	58.90
205.2	4.0825	10.68	49.22
217.5	5.0826	7.615	42.20
