EXP-15-CC44-14-100100100-G-FP-002 100_s I-0045f
9/4/2015 1:21:25 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.19200	-0.1801	0.1563	17.61
0.40800	-0.08996	-1.496	1.731E-4
0.60000	-0.08996	-1.496	1.731E-4
0.74400	-0.08996	-7.093	1.731E-4
0.89200	-0.01300	-7.201	2.586E-5
1.0320	-0.01300	-7.201	2.586E-5
1.2480	-0.01300	-5.670	2.586E-5
1.4640	-0.01160	-4.690	1.592E-5
1.6720	-0.01160	-3.449	1.592E-5
1.8480	-8.719E-3	-3.449	2.387E-5
1.9960	-8.719E-3	-2.445	2.387E-5
2.2160	-8.719E-3	-1.854	2.387E-5
2.4400	-8.588E-3	-1.063	2.586E-5
2.6520	-8.588E-3	-0.7586	2.586E-5
2.8120	-2.483E-3	-0.7586	-1.989E-6
2.9600	-2.483E-3	-0.5756	-1.989E-6
3.2120	-2.483E-3	-0.4810	-1.989E-6
3.4120	-4.401E-4	-0.3856	-3.979E-6
3.6720	-4.401E-4	-0.3188	-3.979E-6
3.8000	-4.791E-4	-0.3188	-5.968E-6
3.9480	-4.791E-4	-0.2819	-5.968E-6
4.1200	-4.791E-4	-0.2420	-5.968E-6
4.3640	2.192E-4	-0.2085	1.989E-6
4.5680	2.192E-4	-0.2085	1.989E-6
4.7760	8.602E-4	-0.1917	-3.979E-6
4.9160	8.602E-4	-0.1679	-3.979E-6
5.0840	8.602E-4	-0.1483	-3.979E-6
5.3200	7.585E-4	-0.1483	-4.116E-6
5.5080	7.585E-4	-0.1388	-4.116E-6
5.7240	-9.203E-5	-0.1237	0
5.8480	-9.203E-5	-0.1128	0
5.9600	-9.203E-5	-0.1128	0
6.2120	-6.558E-4	-0.09956	1.925E-6
6.4400	-6.558E-4	-0.09407	1.925E-6
6.6440	-2.936E-3	-0.08707	7.958E-6
6.8120	-2.936E-3	-0.07907	7.958E-6
6.9520	-2.936E-3	-0.07907	7.958E-6
7.1280	-6.844E-4	-0.07192	4.116E-6
7.3720	-6.844E-4	-0.06753	4.116E-6
7.5760	-6.313E-4	-0.06753	0
7.7720	-6.313E-4	-0.06280	0
7.8960	-6.313E-4	-0.05786	0
8.0200	-1.896E-3	-0.05786	-1.989E-6
8.2320	-1.896E-3	-0.05314	-1.989E-6
8.4400	-1.896E-3	-0.05294	-1.989E-6
8.6280	-4.009E-3	-0.04917	1.194E-5
8.8080	-4.009E-3	-0.04556	1.194E-5
8.9400	-4.009E-3	-0.04556	1.194E-5
9.1320	-1.836E-3	-0.03680	1.592E-5
9.3360	-1.836E-3	-0.03684	1.592E-5
9.5400	8.130E-4	-0.03684	0
9.7360	8.130E-4	-0.03186	0
9.8960	8.130E-4	-0.03187	0
10.040	-2.473E-4	-0.02674	-5.968E-6
10.248	-2.473E-4	-0.02674	-5.968E-6
10.452	4.686E-3	-0.02541	-1.989E-6
10.680	4.686E-3	-0.02432	-1.989E-6
10.852	4.686E-3	-0.02034	-1.989E-6
10.996	3.002E-3	-0.02034	-5.968E-6
11.208	3.002E-3	-0.01935	-5.968E-6
11.412	4.077E-3	-0.01611	-9.947E-6
11.624	4.077E-3	-0.01688	-9.947E-6
11.796	4.077E-3	-0.01291	-9.947E-6
12.024	6.604E-3	-0.01085	-7.958E-6
12.248	6.604E-3	-0.01085	-7.958E-6
12.452	6.846E-3	-8.559E-3	-1.592E-5
12.696	6.846E-3	-8.933E-3	-1.592E-5
12.872	9.764E-3	-5.355E-3	-1.989E-5
13.016	9.764E-3	-5.515E-3	-1.989E-5
13.256	9.764E-3	-3.432E-3	-1.989E-5
13.484	4.924E-3	-1.723E-3	-9.947E-6
13.720	4.924E-3	-1.723E-3	-9.947E-6
13.880	6.554E-3	-3.770E-4	-9.947E-6
14.004	6.554E-3	-1.938E-4	-9.947E-6
14.228	6.554E-3	-1.938E-4	-9.947E-6
14.440	8.002E-3	2.059E-3	-2.188E-5
14.628	8.002E-3	2.828E-3	-2.188E-5
14.792	4.475E-3	3.210E-3	-3.979E-6
14.920	4.475E-3	3.210E-3	-3.979E-6
15.048	4.475E-3	3.986E-3	-3.979E-6
15.276	9.448E-3	4.146E-3	-9.947E-6
15.508	9.448E-3	4.884E-3	-9.947E-6
15.732	2.789E-3	4.884E-3	-1.393E-5
15.912	2.789E-3	7.944E-3	-1.393E-5
16.052	2.789E-3	7.201E-3	-1.393E-5
16.280	4.936E-3	8.543E-3	-7.958E-6
16.504	4.936E-3	9.292E-3	-7.958E-6
16.708	-3.432E-3	9.292E-3	5.968E-6
16.864	-3.432E-3	9.241E-3	5.968E-6
17.000	-3.432E-3	0.01213	5.968E-6
17.220	-5.136E-4	9.653E-3	1.989E-6
17.412	-5.136E-4	9.653E-3	1.989E-6
17.620	0.03731	0.01116	-6.963E-5
17.792	0.03731	0.01307	-6.963E-5
17.944	0.03731	0.01307	-6.963E-5
18.116	-7.361E-3	0.01252	9.947E-6
18.340	-7.361E-3	0.01344	9.947E-6
18.580	-5.089E-3	0.01534	5.968E-6
18.788	-5.089E-3	0.01458	5.968E-6
18.932	-5.089E-3	0.01458	5.968E-6
19.128	0.04614	0.01461	-8.356E-5
19.376	0.04614	0.01554	-8.356E-5
19.620	0.04596	0.01649	-9.151E-5
19.832	0.04596	0.01722	-9.151E-5
19.964	0.04596	0.01722	-9.151E-5
20.200	0.01582	0.01799	-2.387E-5
20.388	0.01582	0.01799	-2.387E-5
20.576	0.02428	0.01648	-3.979E-5
20.796	0.02428	0.01840	-3.979E-5
20.928	0.02428	0.01762	-3.979E-5
21.108	0.04669	0.01762	-9.549E-5
21.328	0.04669	0.01780	-9.549E-5
21.544	0.04689	0.01782	-9.151E-5
21.760	0.04689	0.01859	-9.151E-5
21.892	0.04689	0.01859	-9.151E-5
22.032	0.03225	0.01663	-6.167E-5
22.256	0.03225	0.01853	-6.167E-5
22.500	0.01998	0.01988	-3.979E-5
22.720	0.01998	0.02143	-3.979E-5
23.000	0.04204	0.02103	-8.157E-5
23.200	0.04204	0.02179	-8.157E-5
23.428	0.08805	0.02178	-1.651E-4
23.632	0.08805	0.02178	-1.651E-4
23.812	0.08805	0.02366	-1.651E-4
23.936	0.1154	0.02387	-2.109E-4
24.068	0.1154	0.02387	-2.109E-4
24.304	0.1154	0.02178	-2.109E-4
24.512	0.1231	0.02370	-2.288E-4
24.756	0.1231	0.02104	-2.288E-4
24.932	0.1237	0.02373	-2.248E-4
25.152	0.1237	0.02291	-2.248E-4
25.360	0.1225	0.02291	-2.268E-4
25.552	0.1225	0.02385	-2.268E-4
25.712	0.1225	0.02484	-2.268E-4
