EXP-15-CC44-14-100100100-G-FP-002 100_s L-0057f
9/4/2015 1:45:18 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.25200	34.18	1.860	76.23
0.44400	34.18	2.262	76.23
0.65600	99.75	2.262	207.9
0.86800	99.75	2.495	207.9
1.1320	99.78	2.592	239.1
1.4360	99.78	2.569	239.1
1.6920	99.66	2.505	270.4
1.8680	99.66	2.505	270.4
2.0920	99.82	2.491	292.6
2.3920	99.82	2.352	292.6
2.6360	99.75	2.213	306.0
2.8040	99.75	2.049	306.0
2.9720	99.83	1.933	314.1
3.2760	99.83	1.721	314.1
3.5640	99.90	1.543	318.2
3.7720	99.90	1.413	318.2
3.9440	99.91	1.256	319.7
4.2600	99.91	1.125	319.7
4.5280	99.87	1.060	320.9
4.7480	99.87	0.9753	320.9
4.9080	99.87	0.9106	322.3
5.1960	99.87	0.8694	322.3
5.4840	99.88	0.8249	324.3
5.7120	99.88	0.7797	324.3
5.8840	99.94	0.7434	325.6
6.1400	99.94	0.7134	325.6
6.4120	99.92	0.6798	326.0
6.6520	99.92	0.6587	326.0
6.8280	99.93	0.6587	326.4
7.0320	99.93	0.6392	326.4
7.3520	99.96	0.5903	327.9
7.6080	99.96	0.5727	327.9
7.7960	99.93	0.5727	327.8
7.9480	99.93	0.5568	327.8
8.2200	99.93	0.5432	327.4
8.4880	99.93	0.5269	327.4
8.7000	99.74	0.5126	327.8
8.8560	99.74	0.4961	327.8
9.1000	99.74	0.4828	327.8
9.3920	99.74	0.4718	328.0
9.6160	99.74	0.4631	328.0
9.7840	99.74	0.4631	328.3
10.020	99.74	0.4498	328.3
10.296	99.70	0.4418	328.0
10.572	99.70	0.4225	328.0
10.748	99.73	0.4225	328.4
10.908	99.73	0.4122	328.4
11.224	99.78	0.4084	328.8
11.512	99.78	0.4001	328.8
11.688	99.72	0.3974	328.9
11.856	99.72	0.3969	328.9
12.108	99.83	0.3946	328.9
12.392	99.83	0.3899	328.9
12.632	99.76	0.3808	328.6
12.812	99.76	0.3768	328.6
13.036	99.58	0.3768	327.9
13.352	99.58	0.3633	327.9
13.640	99.75	0.3601	327.5
13.800	99.75	0.3646	327.5
13.992	99.73	0.3646	327.8
14.336	99.73	0.3687	327.8
14.552	99.69	0.3647	328.0
14.716	99.69	0.3647	328.0
14.872	99.69	0.3584	328.0
15.128	99.84	0.3542	328.0
15.384	99.84	0.3537	328.0
15.624	99.80	0.3550	327.5
15.800	99.80	0.3582	327.5
15.992	99.81	0.3582	328.3
16.296	99.81	0.3567	328.3
16.660	99.91	0.3495	329.3
16.836	99.91	0.3429	329.3
17.084	99.95	0.3406	329.3
17.392	99.76	0.3396	328.5
17.644	99.76	0.3451	328.5
17.820	99.87	0.3446	329.0
18.012	99.87	0.3446	329.0
18.324	99.85	0.3372	329.7
18.620	99.85	0.3368	329.7
18.836	99.82	0.3321	329.6
19.076	99.82	0.3349	329.6
19.364	99.90	0.3379	329.4
19.624	99.90	0.3373	329.4
19.780	99.85	0.3391	329.4
19.988	99.85	0.3391	329.4
20.280	99.83	0.3400	329.7
20.532	99.83	0.3306	329.7
20.696	99.83	0.3306	329.7
20.876	99.72	0.3296	329.3
21.196	99.76	0.3332	329.1
21.476	99.76	0.3326	329.1
21.660	99.80	0.3389	329.2
21.844	99.80	0.3372	329.2
22.044	99.80	0.3372	329.2
22.356	99.84	0.3271	329.2
22.620	99.85	0.3243	328.7
22.792	99.85	0.3243	328.7
22.996	99.85	0.3317	328.7
23.300	99.77	0.3368	328.7
23.560	99.77	0.3406	328.7
23.732	99.82	0.3406	329.6
23.892	99.82	0.3359	329.6
24.196	99.81	0.3277	329.2
24.452	99.81	0.3233	329.2
24.664	99.82	0.3235	328.3
24.836	99.82	0.3324	328.3
25.096	99.90	0.3421	328.7
25.388	99.90	0.3410	328.7
25.636	99.95	0.3353	330.3
25.808	99.95	0.3290	330.3
26.020	99.92	0.3290	329.9
26.324	99.92	0.3173	329.9
26.580	99.95	0.3230	328.8
26.740	99.95	0.3230	328.8
26.884	99.95	0.3235	328.8
27.172	99.96	0.3256	328.5
27.460	99.98	0.3288	329.4
27.668	99.98	0.3345	329.4
27.856	99.98	0.3338	329.4
28.116	99.69	0.3306	329.8
28.420	99.77	0.3275	329.5
28.628	99.77	0.3260	329.5
28.788	99.77	0.3271	329.5
28.932	99.87	0.3271	329.1
29.244	99.87	0.3292	329.1
29.524	99.96	0.3177	328.6
29.712	99.96	0.3177	328.6
29.892	99.96	0.3113	327.3
30.196	99.96	0.3178	327.3
30.436	99.97	0.3286	327.6
30.628	99.97	0.3377	327.6
30.776	99.78	0.3457	329.3
30.992	99.78	0.3457	329.3
31.296	100.0	0.3344	330.0
31.556	100.0	0.3216	330.0
31.712	100.0	0.3216	330.0
31.876	100.0	0.3191	328.8
32.148	100.0	0.3188	328.8
32.436	100.0	0.3262	328.5
32.644	100.0	0.3370	328.5
32.788	100.0	0.3398	329.4
32.928	100.0	0.3398	329.4
33.220	100.0	0.3315	330.0
33.520	100.0	0.3256	330.0
