EXP-15-CC44-14-100100100-G-FP-002 100_s L-0059o
9/4/2015 1:51:05 PM
oscillatory strain sweep step
osc. stress	strain	G'	G''
Pa		Pa	Pa
0.3710	4.8116E-4	768.8	68.83
0.9398	1.2688E-3	737.3	78.48
1.162	1.6002E-3	719.4	101.8
1.449	1.9917E-3	724.0	80.75
1.827	2.5124E-3	721.5	96.71
2.270	3.1761E-3	709.8	90.24
2.861	3.9843E-3	713.0	90.14
3.570	5.0284E-3	704.7	91.60
4.455	6.3274E-3	699.1	89.04
5.588	7.9668E-3	696.6	88.43
6.998	0.010032	692.6	88.55
8.745	0.012617	688.2	88.64
10.94	0.015899	683.2	88.62
13.66	0.020041	676.4	90.36
16.97	0.025265	665.8	94.48
20.96	0.031782	651.8	105.5
25.93	0.040424	629.2	127.9
31.45	0.050921	598.0	156.8
37.82	0.064637	555.2	186.5
44.73	0.082041	504.5	208.1
52.00	0.10352	452.4	219.6
59.79	0.13136	397.8	222.3
67.57	0.16563	346.1	216.8
75.90	0.20795	300.9	207.4
85.18	0.26042	263.1	195.0
95.88	0.32780	230.6	180.5
108.1	0.41369	202.3	166.1
120.5	0.51806	175.6	153.0
132.0	0.65743	144.0	140.4
142.1	0.84130	110.2	128.5
150.3	1.0497	83.40	116.7
158.3	1.3121	61.51	104.1
166.6	1.6608	43.55	90.58
174.8	2.0647	31.53	78.78
184.0	2.5798	22.50	67.85
192.0	3.2588	15.34	57.01
200.3	4.0668	10.55	48.22
215.6	5.0710	7.590	41.92
