EXP-15-CC44-14-100100100-G-FP-002 100_s L-0060f
9/4/2015 1:51:44 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.16000	-2.865E-3	0.1613	-30.25
0.36800	0.2249	0.1603	-4.408
0.58000	0.2249	-0.9999	-4.408
0.71600	0.1120	-7.825	-2.009E-4
0.84400	0.1120	-7.825	-2.009E-4
0.98400	0.1120	-7.397	-2.009E-4
1.2160	6.714E-3	-5.837	-1.393E-5
1.4200	6.714E-3	-4.346	-1.393E-5
1.6480	1.876E-3	-3.353	-9.947E-6
1.8240	1.876E-3	-3.353	-9.947E-6
1.9520	1.876E-3	-2.164	-9.947E-6
2.1720	-4.250E-4	-1.399	2.058E-6
2.3840	-4.250E-4	-0.9534	2.058E-6
2.5720	-4.250E-4	-0.9534	2.058E-6
2.7640	-2.932E-3	-0.7542	0
2.8960	-2.932E-3	-0.5636	0
3.0760	-2.877E-3	-0.5636	1.989E-6
3.2920	-2.877E-3	-0.4405	1.989E-6
3.4880	-2.877E-3	-0.3861	1.989E-6
3.7080	-2.135E-3	-0.3173	-5.968E-6
3.8520	-2.135E-3	-0.2702	-5.968E-6
3.9960	-2.135E-3	-0.2702	-5.968E-6
4.2240	-2.162E-4	-0.2435	-5.968E-6
4.4480	-2.162E-4	-0.2099	-5.968E-6
4.6520	1.429E-3	-0.1845	0
4.7960	1.429E-3	-0.1845	0
4.9280	1.429E-3	-0.1623	0
5.1520	9.467E-4	-0.1500	-5.968E-6
5.3520	9.467E-4	-0.1487	-5.968E-6
5.5640	2.943E-3	-0.1344	-1.989E-6
5.7680	2.943E-3	-0.1344	-1.989E-6
5.9000	2.943E-3	-0.1203	-1.989E-6
6.0560	5.956E-3	-0.1134	-1.790E-5
6.2840	5.956E-3	-0.1134	-1.790E-5
6.5000	4.611E-3	-0.09959	-1.592E-5
6.7120	4.611E-3	-0.09138	-1.592E-5
6.8640	4.611E-3	-0.08684	-1.592E-5
7.0400	3.324E-3	-0.07928	-1.194E-5
7.2400	3.324E-3	-0.07928	-1.194E-5
7.4880	2.442E-3	-0.07111	-1.989E-6
7.7280	2.442E-3	-0.06468	-1.989E-6
7.9000	5.906E-3	-0.06069	-9.947E-6
8.1080	5.906E-3	-0.05367	-9.947E-6
8.3320	5.906E-3	-0.05158	-9.947E-6
8.5200	4.178E-3	-0.05158	-1.194E-5
8.6800	4.178E-3	-0.04513	-1.194E-5
8.8120	4.178E-3	-0.04190	-1.194E-5
8.9400	2.325E-3	-0.04190	-5.968E-6
9.1480	2.325E-3	-0.03889	-5.968E-6
9.3720	1.515E-3	-0.03646	0
9.5800	1.515E-3	-0.03452	0
9.7400	1.515E-3	-0.03452	0
9.8640	4.443E-4	-0.03017	1.989E-6
10.124	4.443E-4	-0.02712	1.989E-6
10.360	-2.779E-3	-0.02408	1.592E-5
10.572	-2.779E-3	-0.02275	1.592E-5
10.712	-2.779E-3	-0.02275	1.592E-5
10.856	-5.556E-3	-0.01916	1.592E-5
11.032	-5.556E-3	-0.01764	1.592E-5
11.276	-6.139E-3	-0.01480	1.194E-5
11.476	-6.139E-3	-0.01480	1.194E-5
11.684	-6.139E-3	-0.01461	1.194E-5
11.832	-6.580E-3	-0.01233	1.194E-5
11.976	-6.580E-3	-0.01233	1.194E-5
12.200	-9.014E-3	-0.01330	1.592E-5
12.420	-9.014E-3	-7.965E-3	1.592E-5
12.616	-9.014E-3	-7.024E-3	1.592E-5
12.780	-9.773E-3	-6.098E-3	1.393E-5
12.920	-9.773E-3	-6.098E-3	1.393E-5
13.160	-0.01294	-4.016E-3	2.586E-5
13.404	-0.01294	-9.382E-4	2.586E-5
13.640	-0.01294	-1.325E-3	2.387E-5
13.828	-0.01294	-9.846E-4	2.387E-5
13.980	-0.01294	1.279E-3	2.387E-5
14.220	-0.02101	1.279E-3	3.780E-5
14.444	-0.02101	2.482E-3	3.780E-5
14.652	-0.02245	4.743E-3	3.780E-5
14.824	-0.02245	4.551E-3	3.780E-5
14.968	-0.02245	4.551E-3	3.780E-5
15.208	-0.01763	5.469E-3	2.984E-5
15.444	-0.01763	6.067E-3	2.984E-5
15.684	-0.04952	6.803E-3	9.350E-5
15.868	-0.04952	7.760E-3	9.350E-5
16.040	-0.03261	8.887E-3	6.366E-5
16.280	-0.03261	8.881E-3	6.366E-5
16.576	0.01280	9.058E-3	-2.586E-5
16.728	0.01280	8.901E-3	-2.586E-5
16.860	0.01280	8.901E-3	-2.586E-5
16.992	-0.03045	8.910E-3	5.968E-5
17.224	-0.03045	8.910E-3	5.968E-5
17.464	-0.03045	0.01095	5.968E-5
17.676	-0.02355	0.01135	3.780E-5
17.844	-0.02355	0.01327	3.780E-5
17.992	-8.215E-3	0.01457	1.790E-5
18.216	-8.215E-3	0.01383	1.790E-5
18.424	-8.215E-3	0.01383	1.790E-5
18.664	-9.166E-3	0.01304	1.790E-5
18.792	-9.166E-3	0.01246	1.790E-5
18.936	-0.02666	0.01398	5.570E-5
19.148	-0.02666	0.01398	5.570E-5
19.368	-0.02666	0.01518	5.570E-5
19.592	1.661E-4	0.01494	-3.979E-6
19.756	1.661E-4	0.01496	-3.979E-6
19.900	8.264E-3	0.01496	-1.790E-5
20.052	8.264E-3	0.01516	-1.790E-5
20.284	8.264E-3	0.01705	-1.790E-5
20.488	6.730E-5	0.01760	-3.979E-6
20.856	0.02516	0.01741	-4.974E-5
20.984	0.02516	0.01820	-4.974E-5
21.208	0.02516	0.01895	-4.974E-5
21.444	0.1037	0.02044	-1.850E-4
21.660	0.1037	0.02044	-1.850E-4
21.816	0.1216	0.02138	-2.168E-4
21.940	0.1216	0.02255	-2.168E-4
22.168	0.1216	0.02124	-2.168E-4
22.408	0.1346	0.02175	-2.507E-4
22.612	0.1346	0.02175	-2.507E-4
22.792	0.1384	0.02274	-2.487E-4
22.972	0.1384	0.02274	-2.487E-4
23.192	0.1384	0.02234	-2.487E-4
23.412	0.1377	0.02371	-2.467E-4
23.624	0.1377	0.02371	-2.467E-4
23.780	0.1346	0.02293	-2.487E-4
23.912	0.1346	0.02347	-2.487E-4
24.132	0.1346	0.02347	-2.487E-4
24.340	0.1288	0.02369	-2.348E-4
24.568	0.1288	0.02274	-2.348E-4
24.756	0.1285	0.02182	-2.328E-4
24.904	0.1285	0.02182	-2.328E-4
25.080	0.1285	0.02122	-2.328E-4
25.300	0.1301	0.02406	-2.328E-4
25.492	0.1301	0.02349	-2.328E-4
25.684	0.1306	0.02387	-2.427E-4
25.812	0.1306	0.02387	-2.427E-4
25.956	0.1306	0.02331	-2.427E-4
26.164	0.1319	0.02235	-2.407E-4
