EXP-15-CC44-14-100100100-G-FP-002 1_00_s-1 min 100_s B-0007f
9/4/2015 11:56:23 AM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.25200	62.82	2.226	129.4
0.50800	62.82	2.051	129.4
0.66800	62.82	2.051	129.4
0.87200	99.66	2.430	214.3
1.1320	99.66	2.540	214.3
1.3920	99.78	2.534	250.5
1.6000	99.78	2.447	250.5
1.7760	99.59	2.317	281.4
1.9480	99.59	2.317	281.4
2.2600	99.63	2.056	300.4
2.5400	99.63	1.873	300.4
2.7480	99.66	1.662	310.6
2.8960	99.66	1.662	310.6
3.2440	99.78	1.288	316.1
3.4840	99.78	1.114	316.1
3.6640	99.73	1.114	319.5
3.8360	99.73	1.012	319.5
4.0280	99.73	0.9001	319.5
4.3320	99.81	0.8173	322.0
4.6240	99.76	0.7700	323.4
4.8120	99.76	0.7166	323.4
4.9720	99.76	0.6765	323.4
5.2600	99.74	0.6554	324.3
5.5640	99.85	0.6258	325.5
5.7400	99.85	0.5937	325.5
5.9080	99.85	0.5937	325.5
6.2080	99.79	0.5324	326.7
6.4640	99.84	0.5054	327.2
6.6680	99.84	0.5054	327.2
6.8440	99.84	0.4771	327.2
7.0360	99.93	0.4714	327.0
7.3400	99.93	0.4606	327.0
7.5960	99.90	0.4532	327.8
7.7560	99.90	0.4385	327.8
7.9160	99.95	0.4385	328.9
8.2040	99.95	0.4044	328.9
8.5080	99.90	0.3924	328.4
8.7000	99.90	0.3924	328.4
8.8760	99.85	0.3890	327.7
9.1280	99.85	0.3867	327.7
9.4000	99.92	0.3772	328.4
9.6800	99.92	0.3742	328.4
9.8560	99.92	0.3666	328.8
10.124	99.92	0.3660	328.8
10.380	99.94	0.3609	328.6
10.596	99.94	0.3580	328.6
10.768	99.95	0.3540	328.5
10.960	99.95	0.3596	328.5
11.276	99.98	0.3584	329.7
11.544	99.98	0.3516	329.7
11.784	99.94	0.3474	329.3
11.944	99.94	0.3466	329.3
12.232	99.91	0.3404	328.6
12.508	99.91	0.3402	328.6
12.700	99.93	0.3491	328.6
12.844	99.93	0.3491	328.6
13.044	99.93	0.3536	328.6
13.356	99.96	0.3518	329.8
13.648	99.79	0.3444	329.4
13.856	99.79	0.3339	329.4
14.056	99.79	0.3242	329.4
14.328	99.88	0.3151	327.9
14.608	99.87	0.3246	328.5
14.788	99.87	0.3373	328.5
14.968	99.87	0.3400	328.5
15.288	99.86	0.3335	330.2
15.544	99.86	0.3255	330.2
15.736	99.96	0.3185	329.5
15.956	99.96	0.3111	329.5
16.252	99.84	0.3172	328.6
16.524	99.74	0.3318	329.0
16.736	99.74	0.3381	329.0
16.904	99.74	0.3406	329.0
17.160	99.89	0.3373	330.3
17.432	99.89	0.3254	330.3
17.688	99.90	0.3195	329.9
17.848	99.90	0.3136	329.9
18.096	99.94	0.3267	329.2
18.376	99.94	0.3318	329.2
18.616	99.91	0.3343	330.5
18.776	99.91	0.3343	330.5
18.940	99.93	0.3339	330.8
19.244	99.93	0.3335	330.8
19.528	99.87	0.3259	329.9
19.736	99.87	0.3214	329.9
19.904	99.91	0.3213	330.0
20.152	99.91	0.3257	330.0
20.456	99.91	0.3327	331.5
20.676	99.91	0.3327	331.5
20.836	99.84	0.3259	331.1
21.000	99.84	0.3259	331.1
21.300	99.84	0.3208	331.1
21.592	99.93	0.3158	330.2
21.788	99.93	0.3158	330.2
21.956	99.85	0.3225	330.5
22.404	99.58	0.3269	331.3
22.584	99.58	0.3259	331.3
22.756	99.58	0.3259	331.3
22.936	99.65	0.3185	331.1
23.172	99.65	0.3151	331.1
23.428	99.82	0.3105	330.1
23.656	99.82	0.3168	330.1
23.816	99.73	0.3168	330.6
23.988	99.73	0.3242	330.6
24.280	99.76	0.3310	331.4
24.548	99.76	0.3327	331.4
24.716	99.87	0.3316	331.2
24.884	99.87	0.3248	331.2
25.140	99.87	0.3164	331.2
25.412	99.90	0.3214	330.6
25.656	99.93	0.3288	331.2
25.836	99.93	0.3362	331.2
26.004	99.93	0.3362	331.2
26.308	99.97	0.3343	332.1
26.564	99.97	0.3299	332.1
26.796	99.95	0.3255	331.3
26.964	99.95	0.3181	331.3
27.268	99.94	0.3172	330.8
27.548	99.94	0.3257	330.8
27.732	99.94	0.3330	331.9
27.912	99.94	0.3352	331.9
28.220	99.93	0.3290	332.3
28.528	99.93	0.3216	331.4
28.728	99.93	0.3153	331.4
28.964	99.93	0.3113	331.4
29.260	99.94	0.3197	330.7
29.524	99.93	0.3274	332.3
29.732	99.93	0.3278	332.3
29.892	99.93	0.3257	332.3
30.132	99.96	0.3196	332.6
30.388	99.96	0.3185	332.6
30.612	99.78	0.3157	331.1
30.772	99.78	0.3157	331.1
30.916	100.0	0.3191	331.1
31.176	100.0	0.3312	330.9
31.492	100.0	0.3324	332.1
31.748	100.0	0.3335	332.1
31.920	100.0	0.3269	332.4
32.212	100.0	0.3204	332.4
32.468	100.0	0.3200	331.6
32.676	100.0	0.3153	331.6
32.816	100.0	0.3191	331.6
32.992	100.0	0.3191	331.8
33.284	100.0	0.3314	331.8
