EXP-15-CC44-14-100100100-G-FP-002 1_00_s-1 min 100_s B-0009f
9/4/2015 11:57:42 AM
1.00 /s, 1 min
time	shear rate	normal force	shear stress
s	1/s	N	Pa
1.0000E-3	7.912E-3	0.3045	16.31
2.0000E-3	0.03943	0.3045	17.90
3.0000E-3	0.1067	0.3045	19.71
4.0000E-3	0.2075	0.3045	21.14
5.0000E-3	0.3248	0.3045	21.91
6.0000E-3	0.4446	0.3045	22.19
7.0000E-3	0.5552	0.3045	22.07
8.0000E-3	0.6501	0.3045	21.78
9.0000E-3	0.7233	0.3045	21.45
0.010000	0.7780	0.3045	21.25
0.011000	0.8163	0.3045	21.17
0.012000	0.8372	0.3045	21.28
0.013000	0.8454	0.3045	21.65
0.014000	0.8482	0.3045	22.25
0.015000	0.8506	0.3045	22.95
0.016000	0.8546	0.3045	23.67
0.017000	0.8597	0.3045	24.34
0.018000	0.8655	0.3045	25.00
0.019000	0.8698	0.3045	25.63
0.020000	0.8731	0.3045	26.32
0.021000	0.8765	0.3045	27.02
0.022000	0.8838	0.3045	27.69
0.023000	0.8884	0.3045	28.25
0.024000	0.8910	0.3045	28.87
0.025000	0.8930	0.3045	29.50
0.026000	0.8956	0.3045	30.12
0.027000	0.8989	0.3045	30.71
0.028000	0.9011	0.3045	31.27
0.029000	0.9041	0.3045	31.85
0.030000	0.9011	0.3045	32.40
0.031000	0.8973	0.3045	33.10
0.032000	0.8969	0.3045	33.81
0.033000	0.9007	0.3045	34.44
0.034000	0.9022	0.3045	34.98
0.035000	0.9056	0.3045	35.58
0.036000	0.9109	0.3045	36.08
0.037000	0.9107	0.3045	36.55
0.038000	0.9089	0.3045	37.14
0.039000	0.9064	0.3045	37.74
0.040000	0.9063	0.3045	38.38
0.041500	0.9079	0.3045	39.24
0.043500	0.9143	0.3045	40.28
0.045500	0.9199	0.3045	41.23
0.047500	0.9181	0.3045	42.18
0.049500	0.9140	0.3045	43.37
0.051500	0.9212	0.3045	44.33
0.053500	0.9242	0.3045	45.22
0.055500	0.9234	0.3045	46.16
0.057500	0.9227	0.3045	47.17
0.059500	0.9298	0.3085	48.05
0.061500	0.9323	0.3085	48.76
0.063500	0.9310	0.3085	49.70
0.065500	0.9325	0.3085	50.53
0.067500	0.9374	0.3085	51.29
0.069500	0.9400	0.3085	51.97
0.071500	0.9346	0.3085	52.79
0.073500	0.9323	0.3085	53.74
0.075500	0.9406	0.3085	54.46
0.077500	0.9458	0.3085	55.05
0.079500	0.9469	0.3085	55.64
0.081500	0.9423	0.3085	56.43
0.083500	0.9436	0.3085	57.16
0.085500	0.9486	0.3085	57.78
0.087500	0.9495	0.3085	58.34
0.089500	0.9456	0.3085	59.07
0.091500	0.9487	0.3085	59.75
0.093500	0.9554	0.3085	60.23
0.095500	0.9567	0.3085	60.73
0.097500	0.9516	0.3085	61.28
0.099500	0.9489	0.3085	62.08
0.10150	0.9568	0.3085	62.58
0.10350	0.9620	0.3085	62.95
0.10550	0.9530	0.3085	63.53
0.10750	0.9551	0.3085	64.19
0.10950	0.9616	0.3085	64.63
0.11150	0.9694	0.3085	64.95
0.11350	0.9654	0.3085	65.28
0.11550	0.9563	0.3085	65.93
0.11750	0.9588	0.3085	66.55
0.11950	0.9661	0.3085	66.88
0.12250	0.9617	0.3085	67.57
0.12650	0.9662	0.3085	68.47
0.13050	0.9670	0.3085	69.29
0.13450	0.9713	0.3085	70.03
0.13850	0.9751	0.3085	70.55
0.14250	0.9734	0.3085	71.33
0.14650	0.9754	0.3085	71.82
0.15050	0.9721	0.3085	72.63
0.15450	0.9780	0.3085	73.10
0.15850	0.9756	0.3085	73.80
0.16250	0.9774	0.3085	74.25
0.16650	0.9769	0.3085	74.94
0.17050	0.9805	0.3085	75.34
0.17450	0.9748	0.3085	76.03
0.17850	0.9820	0.3085	76.44
0.18250	0.9775	0.3085	77.03
0.18650	0.9864	0.3085	77.34
0.19050	0.9791	0.3085	77.85
0.19450	0.9835	0.3085	78.31
0.19850	0.9785	0.3085	78.80
0.20250	0.9860	0.3085	79.24
0.20650	0.9817	0.3085	79.59
0.21050	0.9872	0.3085	79.98
0.21450	0.9833	0.3085	80.34
0.21850	0.9886	0.3085	80.68
0.22250	0.9833	0.3085	81.03
0.22650	0.9837	0.3085	81.55
0.23050	0.9884	0.3085	81.73
0.23450	0.9880	0.3085	82.10
0.23850	0.9837	0.3085	82.45
0.24250	0.9860	0.3085	82.85
0.24650	0.9897	0.3085	83.06
0.25050	0.9831	0.3085	83.52
0.25450	0.9865	0.3085	83.84
0.25850	0.9886	0.3085	84.14
0.26250	0.9882	0.3085	84.38
0.26650	0.9853	0.3085	84.85
0.27050	0.9898	0.3085	85.01
0.27450	0.9873	0.3085	85.42
0.27850	0.9937	0.3085	85.49
0.28450	0.9893	0.3085	85.95
0.29250	0.9901	0.3085	86.47
0.30050	0.9911	0.3085	86.91
0.30850	0.9904	0.3085	87.42
0.31650	0.9908	0.3103	87.84
0.32450	0.9907	0.3103	88.29
0.33250	0.9903	0.3103	88.81
0.34050	0.9919	0.3103	89.20
0.34850	0.9912	0.3103	89.63
0.35650	0.9941	0.3103	89.99
0.36450	0.9925	0.3103	90.24
0.37250	0.9934	0.3103	90.61
0.38050	0.9919	0.3103	91.01
0.38850	0.9927	0.3103	91.41
0.39650	0.9927	0.3103	91.77
0.40450	0.9933	0.3103	92.06
0.41250	0.9949	0.3103	92.38
0.42050	0.9943	0.3103	92.68
0.42850	0.9933	0.3103	92.97
0.43650	0.9951	0.3103	93.28
0.44450	0.9943	0.3103	93.52
0.45250	0.9944	0.3103	93.80
0.46050	0.9965	0.3103	94.07
0.46850	0.9942	0.3103	94.34
0.47650	0.9942	0.3103	94.56
0.48450	0.9967	0.3103	94.78
0.49250	0.9927	0.3103	95.13
0.50050	0.9952	0.3103	95.40
0.50850	0.9960	0.3103	95.56
0.51650	0.9960	0.3103	95.75
0.52450	0.9971	0.3103	95.90
0.53250	0.9943	0.3103	96.13
0.54050	0.9959	0.3103	96.38
0.54850	0.9946	0.3029	96.59
0.55650	0.9950	0.3029	96.78
0.56450	0.9962	0.3029	97.09
0.57250	0.9966	0.3029	97.12
0.58050	0.9962	0.3029	97.41
0.58850	0.9978	0.3029	97.50
0.59650	0.9971	0.3029	97.62
0.60850	0.9963	0.3029	97.93
0.62450	0.9974	0.3029	98.23
0.64050	0.9967	0.3029	98.60
0.65650	0.9980	0.3029	98.82
0.67250	0.9979	0.3029	99.04
0.68850	0.9972	0.3029	99.25
0.70450	0.9967	0.3029	99.63
0.72050	0.9964	0.3029	99.86
0.73650	0.9999	0.3029	99.99
0.75250	0.9968	0.3029	100.2
