EXP-15-CC44-14-100100100-G-FP-002 1_00_s-1 min 100_s B-0010f
9/4/2015 11:58:22 AM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.15600	-0.2864	0.2786	23.93
0.36000	-0.2864	0.2786	23.93
0.56800	-0.1316	-1.139	2.387E-4
0.75200	-0.1316	-8.127	2.387E-4
0.90400	-0.1316	-7.003	2.387E-4
1.0480	-0.03414	-7.003	5.968E-5
1.2520	-0.03414	-5.943	5.968E-5
1.4960	-0.02045	-4.686	4.576E-5
1.7040	-0.02045	-3.679	4.576E-5
1.8800	-0.02045	-3.062	4.576E-5
2.0200	-5.430E-3	-3.062	7.958E-6
2.2480	-5.430E-3	-2.259	7.958E-6
2.4680	-9.547E-5	-1.605	5.968E-6
2.6880	-9.547E-5	-1.296	5.968E-6
2.8680	-9.547E-5	-0.9456	5.968E-6
3.0000	-5.381E-3	-0.9456	-1.989E-6
3.2240	-5.381E-3	-0.7124	-1.989E-6
3.4160	-5.923E-3	-0.5593	7.958E-6
3.6560	-5.923E-3	-0.4790	7.958E-6
3.7800	-5.923E-3	-0.4790	7.958E-6
3.9240	-3.467E-3	-0.3945	1.989E-6
4.1160	-3.467E-3	-0.3903	1.989E-6
4.3360	-3.467E-3	-0.3255	1.989E-6
4.5520	-2.578E-3	-0.3255	-1.989E-6
4.7520	-2.578E-3	-0.2942	-1.989E-6
4.9040	-2.590E-3	-0.2552	5.968E-6
5.0760	-2.590E-3	-0.2258	5.968E-6
5.3000	-2.590E-3	-0.2258	5.968E-6
5.5200	-3.129E-3	-0.2068	5.968E-6
5.7440	-3.129E-3	-0.1855	5.968E-6
5.8920	-1.551E-3	-0.1641	9.947E-6
6.0240	-1.551E-3	-0.1641	9.947E-6
6.2440	-1.551E-3	-0.1498	9.947E-6
6.4680	-2.623E-3	-0.1415	4.116E-6
6.6560	-2.623E-3	-0.1288	4.116E-6
6.8360	-1.855E-3	-0.1191	3.851E-6
6.9680	-1.855E-3	-0.1191	3.851E-6
7.1920	-1.855E-3	-0.1132	3.851E-6
7.3920	-2.370E-3	-0.1052	3.979E-6
7.6360	-2.370E-3	-0.09646	3.979E-6
7.8400	-1.875E-3	-0.09211	1.989E-6
7.9720	-1.875E-3	-0.09211	1.989E-6
8.2120	-1.672E-3	-0.08545	7.958E-6
8.4360	-1.672E-3	-0.08166	7.958E-6
8.6640	-1.672E-3	-0.07519	7.958E-6
8.8360	-4.776E-4	-0.07330	-1.989E-6
8.9760	-4.776E-4	-0.07330	-1.989E-6
9.2000	2.902E-3	-0.06781	-5.968E-6
9.4120	2.902E-3	-0.06267	-5.968E-6
9.6160	2.902E-3	-0.06153	-5.968E-6
9.8000	2.165E-3	-0.05658	0
9.9680	2.165E-3	-0.05658	0
10.176	4.447E-3	-0.05357	-9.947E-6
10.404	4.447E-3	-0.05070	-9.947E-6
10.644	3.995E-3	-0.04860	-5.968E-6
10.820	3.995E-3	-0.04519	-5.968E-6
10.948	3.995E-3	-0.04519	-5.968E-6
11.124	6.328E-3	-0.04349	-1.592E-5
11.332	6.328E-3	-0.04047	-1.592E-5
11.568	5.620E-3	-0.03838	-1.989E-6
11.764	5.620E-3	-0.03513	-1.989E-6
11.908	5.620E-3	-0.03513	-1.989E-6
12.096	9.035E-3	-0.03341	-1.989E-5
12.308	9.035E-3	-0.03191	-1.989E-5
12.520	0.01041	-0.03000	-2.387E-5
12.724	0.01041	-0.02678	-2.387E-5
12.856	0.01041	-0.02678	-2.387E-5
13.012	0.01079	-0.02602	-2.188E-5
13.228	0.01079	-0.02146	-2.188E-5
13.460	0.01079	-0.02146	-2.188E-5
13.680	0.01150	-0.02277	-2.470E-5
13.856	0.01150	-0.01879	-2.470E-5
14.004	0.01096	-0.01937	-2.310E-5
14.244	0.01096	-0.01728	-2.310E-5
14.472	0.01215	-0.01748	-1.790E-5
14.700	0.01215	-0.01748	-1.790E-5
14.880	0.01215	-0.01461	-1.790E-5
15.008	-3.252E-5	-0.01310	-1.989E-6
15.220	-3.252E-5	-0.01330	-1.989E-6
15.440	9.196E-3	-0.01330	-1.592E-5
15.664	9.196E-3	-0.01043	-1.592E-5
15.828	9.196E-3	-9.494E-3	-1.592E-5
15.972	3.309E-3	-8.178E-3	1.989E-6
16.208	3.309E-3	-8.178E-3	1.989E-6
16.436	1.550E-3	-5.876E-3	5.968E-6
16.664	1.550E-3	-5.885E-3	5.968E-6
16.816	1.550E-3	-4.366E-3	5.968E-6
16.948	6.786E-3	-4.366E-3	-7.958E-6
17.120	6.786E-3	-5.684E-3	-7.958E-6
17.328	-6.711E-3	-4.544E-3	5.968E-6
17.536	-6.711E-3	-2.845E-3	5.968E-6
17.764	-6.711E-3	-3.416E-3	5.968E-6
17.888	0.01373	-3.416E-3	-1.989E-5
18.012	0.01373	-2.455E-3	-1.989E-5
18.240	0.01373	-1.324E-3	-1.989E-5
18.484	1.521E-3	-2.622E-3	-1.989E-6
18.720	1.521E-3	-1.525E-3	-1.989E-6
18.896	-5.210E-3	-1.525E-3	1.194E-5
19.044	-5.210E-3	-1.525E-3	1.194E-5
19.280	0.01209	-1.516E-3	-9.947E-6
19.520	0.01209	-3.876E-4	-9.947E-6
19.744	0.01101	2.053E-4	-1.592E-5
19.904	0.01101	2.053E-4	-1.592E-5
20.048	0.01101	1.715E-3	-1.592E-5
20.256	0.01000	7.751E-4	-9.947E-6
20.480	0.01000	2.655E-3	-9.947E-6
20.720	-0.01372	1.705E-3	2.470E-5
20.908	-0.01372	1.705E-3	2.470E-5
21.052	-0.01372	3.035E-3	2.470E-5
21.296	-0.01465	2.666E-3	3.273E-5
21.536	-0.01465	3.424E-3	3.273E-5
21.740	0.01328	1.707E-3	-2.188E-5
21.904	0.01328	1.707E-3	-2.188E-5
22.032	0.01328	3.806E-3	-2.188E-5
22.252	0.04356	7.593E-3	-8.157E-5
22.484	0.04356	6.455E-3	-8.157E-5
22.700	0.05252	5.718E-3	-9.549E-5
22.876	0.05252	5.718E-3	-9.549E-5
23.048	0.05252	5.685E-3	-9.549E-5
23.280	0.02244	7.606E-3	-3.979E-5
23.520	0.02244	5.519E-3	-3.979E-5
23.764	-0.01918	7.406E-3	3.581E-5
23.956	-0.01918	7.784E-3	3.581E-5
24.128	-0.04984	7.784E-3	9.151E-5
24.352	-0.04984	7.796E-3	9.151E-5
24.572	-0.07248	8.937E-3	1.253E-4
24.788	-0.07248	7.238E-3	1.253E-4
24.908	-0.07248	7.786E-3	1.253E-4
25.036	-0.08930	7.786E-3	1.651E-4
25.292	-0.08930	7.988E-3	1.651E-4
