EXP-15-CC44-14-100100100-G-FP-002 1_00_s-1 min 100_s D-0017f
9/4/2015 12:38:07 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.26800	23.41	2.212	77.92
0.55200	102.2	1.731	187.7
0.76000	102.2	2.321	187.7
0.95200	102.2	2.321	187.7
1.1320	99.86	2.659	219.9
1.4160	99.86	2.755	219.9
1.6560	99.81	2.707	254.7
1.8480	99.81	2.500	254.7
2.0000	99.75	2.299	280.5
2.2480	99.75	2.160	280.5
2.5520	99.79	1.965	294.5
2.7760	99.79	1.747	294.5
2.9880	99.78	1.583	302.7
3.2000	99.78	1.365	302.7
3.5040	99.66	1.190	307.0
3.7840	99.66	1.091	307.0
3.9480	99.83	0.9779	310.0
4.1040	99.83	0.9779	310.0
4.4080	99.70	0.9107	311.8
4.6960	99.70	0.8186	311.8
4.8920	99.63	0.8186	313.4
5.0920	99.63	0.7672	313.4
5.3840	99.74	0.7311	315.2
5.6560	99.74	0.7023	315.2
5.8640	99.75	0.6570	317.6
6.0200	99.75	0.6040	317.6
6.2760	99.74	0.5828	318.6
6.5680	99.74	0.5503	318.6
6.7920	99.85	0.5198	319.4
6.9680	99.85	0.5013	319.4
7.1800	99.85	0.4881	319.4
7.4840	99.87	0.4715	319.7
7.7840	99.86	0.4491	321.3
7.9640	99.86	0.4355	321.3
8.1720	99.89	0.4158	321.1
8.4840	99.89	0.3989	321.1
8.7240	99.81	0.3917	319.7
8.8720	99.81	0.3917	319.7
9.0320	99.81	0.3953	319.7
9.3360	99.77	0.3968	319.8
9.6240	99.69	0.3926	322.0
9.8600	99.69	0.3829	322.0
10.024	99.69	0.3740	322.0
10.260	99.86	0.3727	322.2
10.552	99.79	0.3600	320.1
10.804	99.79	0.3488	320.1
10.948	99.79	0.3402	320.1
11.108	99.72	0.3402	319.0
11.368	99.72	0.3459	319.0
11.640	99.83	0.3644	320.4
11.848	99.83	0.3644	320.4
12.008	99.85	0.3685	321.7
12.292	99.85	0.3628	321.7
12.564	99.88	0.3507	321.0
12.772	99.88	0.3431	321.0
12.956	99.87	0.3381	320.8
13.108	99.87	0.3381	320.8
13.380	99.87	0.3429	320.8
13.620	99.87	0.3461	321.2
13.812	99.87	0.3461	321.2
13.988	99.90	0.3431	322.4
14.180	99.90	0.3410	322.4
14.476	99.91	0.3378	322.1
14.740	99.91	0.3406	322.1
14.904	99.97	0.3359	322.1
15.084	99.97	0.3313	322.1
15.400	99.87	0.3349	321.6
15.700	99.87	0.3321	321.6
15.860	99.94	0.3332	321.7
16.020	99.94	0.3332	321.7
16.292	99.94	0.3374	321.7
16.576	99.97	0.3469	322.1
16.804	99.88	0.3469	323.5
16.980	99.88	0.3384	323.5
17.172	99.88	0.3308	323.5
17.492	99.94	0.3131	322.8
17.768	99.94	0.3066	321.3
17.956	99.94	0.3070	321.3
18.116	99.94	0.3226	321.3
18.420	99.91	0.3308	320.9
18.688	99.91	0.3344	320.9
18.888	99.97	0.3360	323.5
19.076	99.97	0.3247	323.5
19.380	99.97	0.3122	323.6
19.672	99.96	0.3120	322.0
19.908	99.96	0.3047	322.0
20.068	99.96	0.3156	322.0
20.360	99.94	0.3207	321.3
20.648	99.86	0.3222	322.0
20.868	99.86	0.3355	322.0
21.012	99.86	0.3355	322.0
21.264	99.74	0.3342	322.9
21.552	99.74	0.3238	322.9
21.792	99.74	0.3148	322.1
21.988	99.74	0.3148	322.1
22.248	99.82	0.3205	321.9
22.516	99.82	0.3205	321.9
22.720	99.84	0.3302	322.4
22.864	99.84	0.3313	322.4
23.024	99.71	0.3273	322.4
23.264	99.71	0.3256	323.0
23.552	99.82	0.3205	322.6
23.796	99.82	0.3249	322.6
23.952	99.82	0.3249	322.6
24.160	99.81	0.3218	322.5
24.464	99.87	0.3205	323.0
24.720	99.87	0.3175	323.0
24.904	99.87	0.3123	323.0
25.076	99.84	0.3182	322.5
25.360	99.84	0.3199	322.5
25.608	99.88	0.3281	322.6
25.832	99.88	0.3281	322.6
25.988	99.94	0.3252	323.5
26.292	99.94	0.3198	323.5
26.584	99.94	0.3036	323.0
26.784	99.94	0.3002	323.0
26.964	99.93	0.2993	321.6
27.120	99.93	0.2993	321.6
27.448	99.96	0.3103	321.2
27.732	99.96	0.3311	321.2
27.936	99.96	0.3311	322.6
28.096	99.96	0.3293	322.6
28.400	99.94	0.3175	322.5
28.640	99.94	0.3101	322.5
28.832	99.97	0.2996	321.0
28.992	99.97	0.2975	321.0
29.168	99.97	0.2975	321.0
29.472	99.99	0.3211	320.5
29.744	99.94	0.3304	322.4
29.928	99.94	0.3304	322.4
30.096	99.94	0.3256	322.4
30.384	99.99	0.3138	323.4
30.672	99.99	0.3069	323.4
30.832	99.78	0.2958	321.3
31.008	99.78	0.2943	321.3
31.200	100.0	0.2941	320.2
31.504	100.0	0.2985	320.2
31.792	100.0	0.3070	320.5
31.952	100.0	0.3194	320.5
32.128	100.0	0.3194	320.5
32.424	100.0	0.3233	322.0
32.696	100.0	0.3148	322.1
32.920	100.0	0.3163	322.1
33.076	100.0	0.3163	322.1
