EXP-15-CC44-14-100100100-G-FP-002 1_00_s-1 min 100_s D-0019f
9/4/2015 12:39:27 PM
1.00 /s, 1 min
time	shear rate	normal force	shear stress
s	1/s	N	Pa
1.0000E-3	6.196E-3	0.2625	-6.460
2.0000E-3	0.01173	0.2625	-6.442
3.0000E-3	0.01681	0.2625	-6.423
4.0000E-3	0.01855	0.2625	-6.401
5.0000E-3	0.01915	0.2625	-6.374
6.0000E-3	0.01989	0.2625	-6.340
7.0000E-3	0.02213	0.2625	-6.300
8.0000E-3	0.02694	0.2625	-6.256
9.0000E-3	0.03269	0.2625	-6.209
0.010000	0.03909	0.2625	-6.160
0.011000	0.04556	0.2625	-6.110
0.012000	0.04978	0.2625	-6.059
0.013000	0.05429	0.2625	-6.005
0.014000	0.05878	0.2625	-5.950
0.015000	0.06421	0.2625	-5.892
0.016000	0.07005	0.2625	-5.835
0.017000	0.07793	0.2625	-5.777
0.018000	0.08732	0.2625	-5.720
0.019000	0.09635	0.2625	-5.665
0.020000	0.1016	0.2625	-5.611
0.021000	0.1061	0.2625	-5.555
0.022000	0.1072	0.2625	-5.499
0.023000	0.1086	0.2625	-5.440
0.024000	0.1097	0.2625	-5.378
0.025000	0.1123	0.2625	-5.315
0.026000	0.1158	0.2625	-5.251
0.027000	0.1172	0.2625	-5.187
0.028000	0.1175	0.2625	-5.121
0.029000	0.1162	0.2625	-5.054
0.030000	0.1123	0.2625	-4.985
0.031000	0.1089	0.2625	-4.913
0.032000	0.1065	0.2625	-4.838
0.033000	0.1037	0.2625	-4.762
0.034000	0.1025	0.2625	-4.684
0.035000	0.1022	0.2625	-4.607
0.036000	0.1008	0.2625	-4.529
0.037000	0.09892	0.2625	-4.451
0.038000	0.09642	0.2634	-4.373
0.039000	0.09382	0.2634	-4.293
0.040000	0.09082	0.2634	-4.213
0.041500	0.08847	0.2634	-4.091
0.043500	0.09163	0.2634	-3.929
0.045500	0.09738	0.2634	-3.774
0.047500	0.09620	0.2634	-3.623
0.049500	0.09632	0.2634	-3.469
0.051500	0.1031	0.2634	-3.316
0.053500	0.1071	0.2634	-3.168
0.055500	0.1066	0.2634	-3.019
0.057500	0.1077	0.2634	-2.868
0.059500	0.1126	0.2634	-2.717
0.061500	0.1202	0.2634	-2.572
0.063500	0.1206	0.2634	-2.430
0.065500	0.1135	0.2634	-2.280
0.067500	0.1133	0.2634	-2.121
0.069500	0.1152	0.2634	-1.963
0.071500	0.1150	0.2634	-1.808
0.073500	0.1118	0.2634	-1.651
0.075500	0.1119	0.2634	-1.492
0.077500	0.1169	0.2634	-1.337
0.079500	0.1157	0.2634	-1.186
0.081500	0.1107	0.2634	-1.030
0.083500	0.1118	0.2634	-0.8711
0.085500	0.1133	0.2634	-0.7149
0.087500	0.1127	0.2634	-0.5589
0.089500	0.1095	0.2634	-0.4007
0.091500	0.1079	0.2634	-0.2383
0.093500	0.1112	0.2634	-0.07644
0.095500	0.1135	0.2634	0.08127
0.097500	0.1119	0.2634	0.2393
0.099500	0.1123	0.2634	0.4012
0.10150	0.1172	0.2634	0.5627
0.10350	0.1242	0.2634	0.7373
0.10550	0.1255	0.2634	0.9209
0.10750	0.1217	0.2634	1.110
0.10950	0.1289	0.2634	1.297
0.11150	0.1353	0.2634	1.470
0.11350	0.1320	0.2634	1.638
0.11550	0.1323	0.2634	1.809
0.11750	0.1360	0.2634	1.976
0.11950	0.1387	0.2634	2.139
0.12250	0.1376	0.2634	2.380
0.12650	0.1318	0.2634	2.714
0.13050	0.1253	0.2634	3.047
0.13450	0.1181	0.2634	3.397
0.13850	0.1143	0.2634	3.738
0.14250	0.1127	0.2634	4.087
0.14650	0.1215	0.2634	4.414
0.15050	0.1233	0.2634	4.741
0.15450	0.1286	0.2634	5.060
0.15850	0.1261	0.2634	5.387
0.16250	0.1280	0.2634	5.714
0.16650	0.1238	0.2634	6.046
0.17050	0.1231	0.2634	6.380
0.17450	0.1194	0.2634	6.718
0.17850	0.1250	0.2634	7.049
0.18250	0.1227	0.2634	7.377
0.18650	0.1254	0.2634	7.707
0.19050	0.1217	0.2634	8.037
0.19450	0.1271	0.2634	8.369
0.19850	0.1256	0.2634	8.694
0.20250	0.1311	0.2634	9.021
0.20650	0.1288	0.2634	9.343
0.21050	0.1284	0.2634	9.676
0.21450	0.1258	0.2634	10.01
0.21850	0.1289	0.2634	10.34
0.22250	0.1281	0.2634	10.66
0.22650	0.1277	0.2634	11.00
0.23050	0.1295	0.2634	11.32
0.23450	0.1283	0.2634	11.65
0.23850	0.1335	0.2634	11.97
0.24250	0.1313	0.2634	12.30
0.24650	0.1343	0.2634	12.62
0.25050	0.1294	0.2634	12.96
0.25450	0.1335	0.2634	13.28
0.25850	0.1267	0.2634	13.61
0.26250	0.1291	0.2634	13.95
0.26650	0.1274	0.2634	14.28
0.27050	0.1363	0.2634	14.60
0.27450	0.1346	0.2634	14.92
0.27850	0.1415	0.2634	15.24
0.28450	0.1395	0.2634	15.72
0.29250	0.1344	0.2659	16.38
0.30050	0.1322	0.2659	17.04
0.30850	0.1363	0.2659	17.69
0.31650	0.1421	0.2659	18.33
0.32450	0.2429	0.2659	21.32
0.33250	1.219	0.2659	33.09
0.34050	2.930	0.2659	45.84
0.34850	3.759	0.2659	56.60
0.35650	3.650	0.2659	68.47
0.36450	3.399	0.2659	78.96
0.37250	3.132	0.2659	86.65
0.38050	2.850	0.2659	91.32
0.38850	2.520	0.2659	94.21
0.39650	2.187	0.2659	97.03
0.40450	1.972	0.2659	98.27
0.41250	1.776	0.2659	99.18
0.42050	1.622	0.2659	98.79
0.42850	1.243	0.2659	97.05
0.43650	1.056	0.2659	97.38
0.44450	1.039	0.2659	96.49
0.45250	1.023	0.2659	95.94
0.46050	1.017	0.2659	95.46
0.46850	1.004	0.2659	95.37
0.47650	1.008	0.2659	95.25
0.48450	1.007	0.2659	95.01
0.49250	0.9976	0.2659	95.04
0.50050	0.9941	0.2659	95.22
0.50850	0.9911	0.2659	95.41
0.51650	0.9918	0.2659	95.68
0.52450	0.9968	0.2659	95.84
0.53250	1.081	0.2659	97.20
0.54050	1.169	0.2688	97.67
0.54850	1.173	0.2688	98.49
0.55650	1.163	0.2688	99.19
0.56450	1.151	0.2688	99.93
0.57250	1.143	0.2688	100.6
0.58050	1.140	0.2688	100.9
0.58850	1.130	0.2688	101.2
0.59650	1.121	0.2688	101.4
0.60850	1.107	0.2688	102.0
0.62450	1.090	0.2688	102.0
0.64050	1.010	0.2688	101.8
0.65650	1.002	0.2688	101.7
0.67250	0.9998	0.2688	101.6
0.68850	1.002	0.2688	101.5
0.70450	0.9985	0.2688	101.5
0.72050	0.9984	0.2688	101.7
