EXP-15-CC44-14-100100100-G-FP-002 1_00_s-1 min 100_s D-0020f
9/4/2015 12:40:06 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.14000	0.8012	0.2805	97.74
0.35200	-0.3860	0.2805	2.367E-4
0.57600	-0.3860	0.2592	2.367E-4
0.79600	-0.1140	-5.893	1.950E-4
0.98000	-0.1140	-7.490	1.950E-4
1.1200	-0.1140	-6.430	1.950E-4
1.3480	-0.02820	-6.430	3.979E-5
1.5800	-0.02820	-5.040	3.979E-5
1.8000	-0.01975	-3.971	3.581E-5
1.9800	-0.01975	-3.060	3.581E-5
2.1320	-0.01975	-2.433	3.581E-5
2.3640	-0.01268	-1.730	1.592E-5
2.5760	-0.01268	-1.730	1.592E-5
2.7840	-0.01458	-1.228	3.382E-5
2.9440	-0.01458	-0.9643	3.382E-5
3.0920	-0.01458	-0.7177	3.382E-5
3.2600	-0.01742	-0.7177	2.188E-5
3.4720	-0.01742	-0.5510	2.188E-5
3.7120	-0.01769	-0.4725	2.785E-5
3.9160	-0.01769	-0.3871	2.785E-5
4.0480	-0.01769	-0.3871	2.785E-5
4.1760	-0.01398	-0.3229	1.592E-5
4.4160	-0.01398	-0.2749	1.592E-5
4.6080	-0.01420	-0.2477	3.382E-5
4.8440	-0.01420	-0.2174	3.382E-5
5.0200	-0.01420	-0.2174	3.382E-5
5.1520	-0.01511	-0.1931	1.989E-5
5.3760	-0.01511	-0.1777	1.989E-5
5.5960	-0.01505	-0.1587	2.785E-5
5.8360	-0.01505	-0.1440	2.785E-5
5.9800	-0.01505	-0.1440	2.785E-5
6.1240	-0.01320	-0.1337	1.790E-5
6.3480	-0.01320	-0.1191	1.790E-5
6.5680	-0.01297	-0.1191	2.387E-5
6.8280	-0.01297	-0.1013	2.387E-5
7.0080	-0.01200	-0.1013	2.586E-5
7.1480	-0.01200	-0.09347	2.586E-5
7.3840	-0.01200	-0.08949	2.586E-5
7.6000	-9.723E-3	-0.08095	9.947E-6
7.8160	-9.723E-3	-0.08095	9.947E-6
8.0040	-0.01003	-0.07754	1.989E-5
8.1440	-0.01003	-0.07163	1.989E-5
8.3640	-0.01003	-0.06729	1.989E-5
8.5760	-7.617E-3	-0.06427	1.989E-6
8.7800	-7.617E-3	-0.06427	1.989E-6
8.9560	-7.751E-3	-0.05875	1.790E-5
9.1040	-7.751E-3	-0.05288	1.790E-5
9.3040	-7.751E-3	-0.05133	1.790E-5
9.5160	-0.01058	-0.05133	1.592E-5
9.7440	-0.01058	-0.04639	1.592E-5
9.9440	-5.142E-3	-0.04432	7.958E-6
10.100	-5.142E-3	-0.03918	7.958E-6
10.328	-5.142E-3	-0.03918	7.958E-6
10.560	-3.053E-3	-0.03598	5.595E-6
10.792	-3.053E-3	-0.03598	5.595E-6
10.956	-1.300E-3	-0.03352	-2.132E-6
11.100	-1.300E-3	-0.03048	-2.132E-6
11.308	5.250E-4	-0.03084	0
11.512	5.250E-4	-0.03084	0
11.712	5.250E-4	-0.02459	0
11.884	-2.489E-3	-0.02438	5.968E-6
12.028	-2.489E-3	-0.02438	5.968E-6
12.240	-2.107E-3	-0.02442	3.979E-6
12.468	-2.107E-3	-0.02135	3.979E-6
12.724	-3.017E-4	-0.01931	3.979E-6
12.952	-3.017E-4	-0.01679	3.979E-6
13.080	-3.017E-4	-0.01551	3.979E-6
13.260	1.752E-3	-0.01551	-5.968E-6
13.484	1.752E-3	-0.01264	-5.968E-6
13.708	-4.633E-4	-0.01169	0
13.884	-4.633E-4	-0.01017	0
14.024	-4.633E-4	-0.01017	0
14.144	-4.633E-4	-9.608E-3	0
14.412	8.478E-3	-6.372E-3	-1.393E-5
14.640	8.375E-3	-8.076E-3	-1.194E-5
14.844	8.375E-3	-4.263E-3	-1.194E-5
14.984	8.375E-3	-4.263E-3	-1.194E-5
15.132	1.932E-4	-3.132E-3	-5.968E-6
15.360	1.932E-4	-1.051E-3	-5.968E-6
15.600	1.743E-3	-1.247E-3	-2.058E-6
15.856	1.743E-3	-3.058E-4	-2.058E-6
16.032	1.743E-3	-7.121E-5	-2.058E-6
16.172	-0.01050	-7.121E-5	1.733E-5
16.408	-0.01050	1.035E-3	1.733E-5
16.680	3.090E-3	2.747E-3	-5.968E-6
16.892	3.090E-3	4.471E-3	-5.968E-6
17.036	-0.01223	5.028E-3	2.785E-5
17.176	-0.01223	5.028E-3	2.785E-5
17.384	-0.01223	7.484E-3	2.785E-5
17.620	-0.01981	9.184E-3	3.780E-5
17.852	-0.01981	7.480E-3	3.780E-5
18.028	0.01280	0.01108	-2.387E-5
18.152	0.01280	0.01108	-2.387E-5
18.368	0.01280	8.421E-3	-2.387E-5
18.604	-6.638E-3	0.01165	1.155E-5
18.828	-6.638E-3	0.01165	1.155E-5
19.000	-0.01950	0.01223	2.881E-5
19.144	-0.01950	0.01223	2.881E-5
19.384	-0.01950	9.377E-3	2.881E-5
19.608	-3.825E-3	0.01166	-1.989E-6
19.836	-3.825E-3	0.01319	-1.989E-6
20.008	-4.231E-3	0.01071	7.958E-6
20.156	-4.231E-3	0.01071	7.958E-6
20.360	-4.231E-3	0.01203	7.958E-6
20.600	-0.01888	0.01262	3.780E-5
20.812	-0.01888	0.01261	3.780E-5
21.044	-0.01548	0.01433	2.387E-5
21.224	-0.01548	0.01185	2.387E-5
21.444	0.01265	0.01185	-2.387E-5
21.652	0.01265	0.01282	-2.387E-5
21.852	0.03801	0.01224	-6.366E-5
21.980	0.03801	0.01244	-6.366E-5
22.116	0.03801	0.01244	-6.366E-5
22.344	0.02053	0.01469	-3.382E-5
22.564	0.02053	0.01566	-3.382E-5
22.788	0.02053	0.01566	-3.382E-5
22.948	-0.01605	0.01587	3.382E-5
23.128	-0.01605	0.01587	3.382E-5
23.352	-0.04610	0.01698	8.555E-5
23.576	-0.04610	0.01642	8.555E-5
23.780	-0.05867	0.01680	1.074E-4
23.944	-0.05867	0.01604	1.074E-4
24.088	-0.05867	0.01604	1.074E-4
24.256	-0.06423	0.01659	1.174E-4
24.468	-0.06423	0.01584	1.174E-4
24.700	-0.06423	0.01869	1.174E-4
24.884	-0.06096	0.01869	1.214E-4
25.016	-0.06096	0.01755	1.214E-4
25.220	-0.04533	0.01696	8.157E-5
25.428	-0.04533	0.01982	8.157E-5
25.636	-0.04533	0.01982	8.157E-5
25.844	-0.03630	0.01621	6.366E-5
25.972	-0.03630	0.01868	6.366E-5
26.100	-0.03630	0.01868	6.366E-5
26.308	-0.03259	0.01755	5.769E-5
26.500	-0.03259	0.01755	5.769E-5
26.708	-0.02915	0.01643	5.763E-5
