EXP-15-CC44-14-100100100-G-FP-004 100_s H-0037f
9/4/2015 1:05:29 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.26800	6.272	2.138	37.50
0.57200	112.2	2.275	206.5
0.82800	112.2	2.744	206.5
1.0280	99.72	2.896	224.3
1.1960	99.72	2.896	224.3
1.4840	99.74	2.707	263.2
1.7720	99.74	2.609	263.2
1.9520	99.90	2.609	290.8
2.1400	99.90	2.484	290.8
2.3960	99.95	2.361	306.6
2.6840	99.95	2.246	306.6
2.8920	99.96	2.054	314.1
3.1120	99.96	1.827	314.1
3.2960	99.89	1.683	316.9
3.6000	99.89	1.484	316.9
3.9040	99.93	1.321	318.5
4.0760	99.93	1.193	318.5
4.2680	99.96	1.127	320.6
4.5520	99.96	1.056	320.6
4.8120	99.96	1.001	321.7
4.9720	99.96	0.9667	321.7
5.1600	99.96	0.9667	321.7
5.4520	99.94	0.9273	323.2
5.7400	99.87	0.8829	324.7
5.9640	99.87	0.8486	324.7
6.1200	99.87	0.8086	324.7
6.3720	99.97	0.7589	326.8
6.6520	99.97	0.7204	327.8
6.8920	99.97	0.6919	327.8
7.0320	99.97	0.6581	327.8
7.2320	99.93	0.6278	328.2
7.5120	99.93	0.6109	328.2
7.8000	99.95	0.5834	329.0
8.0240	99.95	0.5610	329.0
8.1840	99.94	0.5610	329.5
8.4800	99.94	0.5413	329.5
8.7640	99.94	0.5202	329.4
8.9680	99.94	0.5003	329.4
9.1440	99.93	0.5003	329.4
9.3880	99.93	0.4918	329.4
9.6920	99.93	0.4810	330.1
9.9120	99.93	0.4698	330.1
10.056	99.93	0.4584	330.0
10.216	99.93	0.4529	330.0
10.500	99.74	0.4429	329.3
10.760	99.74	0.4307	329.3
10.972	99.80	0.4213	329.3
11.128	99.80	0.4213	329.3
11.384	99.80	0.4099	329.3
11.672	99.76	0.4099	329.4
11.912	99.76	0.4099	329.4
12.096	99.57	0.4102	330.9
12.312	99.57	0.4017	330.9
12.584	99.72	0.3947	330.4
12.856	99.72	0.3896	330.4
13.004	99.71	0.3854	330.1
13.192	99.71	0.3831	330.1
13.496	99.66	0.3867	331.2
13.768	99.66	0.3822	331.2
13.960	99.81	0.3833	332.1
14.120	99.81	0.3833	332.1
14.312	99.81	0.3758	332.1
14.616	99.79	0.3674	331.3
14.912	99.78	0.3636	330.5
15.080	99.78	0.3640	330.5
15.304	99.84	0.3636	330.3
15.588	99.84	0.3644	330.3
15.892	99.91	0.3687	330.1
16.060	99.91	0.3715	330.1
16.296	99.90	0.3691	330.0
16.616	99.90	0.3706	330.0
16.904	99.84	0.3674	330.2
17.060	99.84	0.3676	330.2
17.232	99.77	0.3632	330.6
17.576	99.77	0.3573	330.6
17.848	99.73	0.3655	330.4
18.080	99.73	0.3663	330.4
18.280	99.78	0.3638	330.5
18.584	99.78	0.3592	330.5
18.868	99.79	0.3584	330.9
19.056	99.79	0.3569	330.9
19.220	99.87	0.3558	331.9
19.508	99.87	0.3513	331.9
19.788	99.80	0.3522	331.3
19.992	99.80	0.3539	331.3
20.212	99.78	0.3606	330.8
20.504	99.78	0.3581	330.8
20.772	99.90	0.3573	331.4
20.980	99.90	0.3518	331.4
21.156	99.95	0.3518	331.7
21.444	99.95	0.3481	331.7
21.716	99.87	0.3539	330.5
21.916	99.87	0.3551	330.5
22.084	99.90	0.3551	330.3
22.356	99.90	0.3549	330.3
22.636	99.92	0.3547	331.9
22.884	99.92	0.3477	331.9
23.060	99.91	0.3477	331.9
23.204	99.91	0.3482	331.9
23.508	99.96	0.3539	331.0
23.780	99.96	0.3461	331.0
23.988	99.96	0.3433	330.4
24.164	99.96	0.3486	330.4
24.532	99.85	0.3498	332.1
24.808	99.85	0.3498	332.1
24.980	99.91	0.3416	332.6
25.144	99.91	0.3416	332.6
25.388	99.90	0.3444	331.7
25.692	99.90	0.3467	331.7
25.924	99.92	0.3403	330.9
26.068	99.92	0.3403	330.9
26.212	99.92	0.3414	330.9
26.516	99.91	0.3446	331.1
26.892	99.94	0.3467	331.8
27.076	99.94	0.3480	331.8
27.300	99.96	0.3444	331.4
27.588	99.96	0.3469	331.4
27.860	99.95	0.3475	331.0
28.036	99.95	0.3446	331.0
28.212	99.95	0.3426	331.0
28.512	99.92	0.3423	331.3
28.784	99.89	0.3389	331.0
29.024	99.89	0.3437	331.0
29.204	99.89	0.3444	331.0
29.488	99.90	0.3444	331.1
29.732	99.83	0.3482	331.1
29.944	99.83	0.3522	331.1
30.112	99.83	0.3450	331.1
30.304	99.85	0.3450	332.0
30.596	99.85	0.3414	332.0
30.864	99.78	0.3450	331.4
31.016	99.78	0.3450	331.4
31.220	100.0	0.3477	331.7
31.540	100.0	0.3465	331.7
31.812	100.0	0.3480	332.1
32.008	100.0	0.3402	332.1
32.192	100.0	0.3368	332.4
32.496	100.0	0.3370	332.4
32.768	100.0	0.3388	331.1
32.964	100.0	0.3395	331.1
33.136	100.0	0.3463	331.2
33.392	100.0	0.3463	331.2
33.680	100.0	0.3452	333.1
33.904	100.0	0.3386	333.1
