EXP-15-CC44-14-100100100-G-FP-004 100_s H-0039o
9/4/2015 1:11:17 PM
oscillatory strain sweep step
osc. stress	strain	G'	G''
Pa		Pa	Pa
0.8752	1.1306E-3	765.0	122.9
0.9348	1.2576E-3	738.6	90.23
1.179	1.5839E-3	739.9	86.99
1.490	1.9904E-3	744.0	90.99
1.874	2.5167E-3	739.7	91.11
2.346	3.1548E-3	738.6	92.49
2.961	4.0004E-3	734.9	93.21
3.699	5.0077E-3	733.6	92.66
4.648	6.3170E-3	730.5	93.50
5.833	7.9751E-3	726.3	92.47
7.306	0.010023	723.8	92.26
9.132	0.012624	718.3	91.85
11.42	0.015906	712.3	93.94
14.22	0.020067	703.1	95.35
17.65	0.025274	691.4	103.5
21.75	0.031850	673.1	118.9
26.81	0.040499	646.5	145.9
32.44	0.051022	611.0	178.3
38.97	0.064691	565.8	208.5
46.27	0.081963	515.6	231.2
53.91	0.10360	461.6	241.2
61.82	0.13053	408.3	240.9
70.66	0.16563	357.2	234.1
79.67	0.20805	312.1	222.5
89.65	0.26080	273.3	209.1
100.7	0.32645	239.7	194.7
113.8	0.41578	207.7	178.8
125.8	0.52015	178.5	163.7
137.5	0.65919	145.8	149.6
146.5	0.83573	110.6	136.4
154.9	1.0592	80.70	122.3
162.8	1.3156	59.11	109.0
171.2	1.6450	42.56	95.17
180.6	2.0748	30.06	81.84
190.9	2.5802	21.94	70.80
202.7	3.2299	15.96	60.83
213.6	4.0762	11.19	51.30
224.3	5.0892	7.873	43.45
