EXP-15-CC44-14-100100100-G-FP-004 100_s H-0040f
9/4/2015 1:11:56 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.16400	0.1540	0.1606	-16.70
0.38000	0.05549	-0.2534	-1.074E-4
0.58400	0.05549	-0.2534	-1.074E-4
0.70800	0.1109	-6.357	-1.950E-4
0.84400	0.1109	-6.357	-1.950E-4
0.96400	0.1109	-7.673	-1.950E-4
1.2360	8.264E-3	-6.303	-7.958E-6
1.4440	8.264E-3	-4.984	-7.958E-6
1.6600	8.545E-3	-4.214	-9.947E-6
1.8040	8.545E-3	-4.214	-9.947E-6
1.9560	8.545E-3	-3.203	-9.947E-6
2.1880	1.485E-3	-2.293	1.989E-6
2.3880	1.485E-3	-1.788	1.989E-6
2.6200	2.233E-3	-1.209	-9.947E-6
2.7880	2.233E-3	-1.209	-9.947E-6
2.9240	2.233E-3	-0.8371	-9.947E-6
3.1000	3.024E-3	-0.6813	-6.174E-6
3.3240	3.024E-3	-0.6813	-6.174E-6
3.5080	3.024E-3	-0.5117	-6.174E-6
3.7160	3.892E-3	-0.4045	-5.776E-6
3.8640	3.892E-3	-0.3326	-5.776E-6
4.0080	3.892E-3	-0.3326	-5.776E-6
4.2280	2.901E-3	-0.2908	1.989E-6
4.4640	2.901E-3	-0.2474	1.989E-6
4.6960	1.404E-3	-0.2129	0
4.8520	1.404E-3	-0.1947	0
4.9840	1.404E-3	-0.1947	0
5.1920	7.461E-4	-0.1706	-3.979E-6
5.4440	7.461E-4	-0.1518	-3.979E-6
5.6400	-1.910E-4	-0.1391	1.989E-6
5.7840	-1.910E-4	-0.1391	1.989E-6
5.9240	-1.910E-4	-0.1254	1.989E-6
6.0840	5.723E-5	-0.1125	-3.979E-6
6.2920	5.723E-5	-0.1125	-3.979E-6
6.5000	-1.192E-3	-0.1027	-3.979E-6
6.7080	-1.192E-3	-0.09598	-3.979E-6
6.8520	-1.192E-3	-0.08636	-3.979E-6
6.9960	-2.609E-3	-0.08636	3.979E-6
7.2240	-2.609E-3	-0.08101	3.979E-6
7.4600	-3.213E-3	-0.07496	3.979E-6
7.6880	-3.213E-3	-0.06945	3.979E-6
7.8640	-3.213E-3	-0.06320	3.979E-6
8.0040	-3.695E-3	-0.06320	1.393E-5
8.2240	-3.695E-3	-0.05924	1.393E-5
8.4520	5.564E-4	-0.05394	-3.979E-6
8.6640	5.564E-4	-0.04976	-3.979E-6
8.8200	5.564E-4	-0.04366	-3.979E-6
8.9480	3.246E-3	-0.04366	0
9.1440	3.246E-3	-0.04387	0
9.3680	5.176E-3	-0.03931	-5.968E-6
9.5760	5.176E-3	-0.03704	-5.968E-6
9.7680	5.176E-3	-0.03648	-5.968E-6
9.9040	5.593E-3	-0.03648	-1.194E-5
10.088	5.593E-3	-0.03248	-1.194E-5
10.300	5.595E-3	-0.02967	0
10.516	5.595E-3	-0.02642	0
10.708	5.595E-3	-0.02642	0
10.816	5.700E-3	-0.02413	-9.947E-6
10.960	5.700E-3	-0.02413	-9.947E-6
11.184	5.700E-3	-0.02244	-9.947E-6
11.396	5.907E-3	-0.01920	-1.989E-6
11.608	5.907E-3	-0.01865	-1.989E-6
11.828	-4.277E-4	-0.01693	1.989E-6
11.972	-4.277E-4	-0.01693	1.989E-6
12.196	-4.277E-4	-0.01353	1.989E-6
12.420	-4.268E-3	-0.01160	0
12.616	-4.268E-3	-0.01276	0
12.788	-0.02383	-6.481E-3	4.576E-5
12.916	-0.02383	-6.481E-3	4.576E-5
13.096	-0.02383	-5.732E-3	4.576E-5
13.300	-0.01276	-4.026E-3	2.586E-5
13.496	-0.01276	-2.327E-3	2.586E-5
13.732	-0.01687	-2.327E-3	3.183E-5
13.896	-0.01687	-2.161E-4	3.183E-5
14.072	-0.01687	-1.204E-3	3.183E-5
14.292	-4.478E-3	7.067E-4	9.947E-6
14.528	-4.478E-3	1.098E-3	9.947E-6
14.740	-6.551E-3	4.120E-3	1.989E-6
14.872	-6.551E-3	4.120E-3	1.989E-6
15.008	-6.551E-3	4.105E-3	1.989E-6
15.216	-0.01951	4.105E-3	4.377E-5
15.440	-0.01951	5.253E-3	4.377E-5
15.684	-2.882E-3	5.450E-3	1.989E-6
15.844	-2.882E-3	8.299E-3	1.989E-6
16.016	-2.882E-3	8.081E-3	1.989E-6
16.240	-0.01648	8.479E-3	3.581E-5
16.488	-0.01648	7.535E-3	3.581E-5
16.712	0.01404	0.01151	-2.188E-5
16.880	0.01404	0.01151	-2.188E-5
17.076	-0.01316	0.01129	2.387E-5
17.284	-0.01316	0.01058	2.387E-5
17.524	2.906E-3	0.01381	1.989E-6
17.736	2.906E-3	0.01228	1.989E-6
17.876	2.906E-3	0.01228	1.989E-6
18.016	-5.069E-3	0.01455	0
18.232	-5.069E-3	0.01343	0
18.432	-5.069E-3	0.01434	0
18.624	6.853E-3	0.01434	-5.968E-6
18.800	6.853E-3	0.01455	-5.968E-6
18.948	-0.01802	0.01536	3.183E-5
19.172	-0.01802	0.01718	3.183E-5
19.408	-0.01802	0.01741	3.183E-5
19.636	-5.892E-3	0.01533	9.947E-6
19.792	-5.892E-3	0.01533	9.947E-6
19.928	9.311E-3	0.01550	-9.947E-6
20.160	9.311E-3	0.01648	-9.947E-6
20.400	-2.748E-3	0.01721	3.979E-6
20.592	-2.748E-3	0.01721	3.979E-6
20.740	-2.748E-3	0.01835	3.979E-6
20.884	-0.01743	0.01758	4.377E-5
21.008	-0.01743	0.01758	4.377E-5
21.248	-0.01743	0.01761	4.377E-5
21.488	-0.03326	0.01853	6.366E-5
21.708	-0.03326	0.01852	6.366E-5
21.868	-0.03545	0.02063	6.167E-5
22.064	-0.03545	0.02063	6.167E-5
22.272	-0.03545	0.02195	6.167E-5
22.500	-0.02168	0.02138	3.183E-5
22.708	-0.02168	0.02006	3.183E-5
22.856	-8.496E-3	0.01968	9.947E-6
22.992	-8.496E-3	0.01968	9.947E-6
23.220	-8.496E-3	0.02177	9.947E-6
23.444	0.02461	0.02156	-4.178E-5
23.664	0.02461	0.02155	-4.178E-5
23.856	0.07270	0.02309	-1.367E-4
23.984	0.07270	0.02309	-1.367E-4
24.192	0.07270	0.02193	-1.367E-4
24.432	0.1148	0.02460	-2.058E-4
24.644	0.1148	0.02194	-2.058E-4
24.816	0.1460	0.02194	-2.765E-4
24.960	0.1460	0.02307	-2.765E-4
25.168	0.1460	0.02271	-2.765E-4
25.372	0.1635	0.02404	-3.004E-4
25.564	0.1635	0.02404	-3.004E-4
25.724	0.1657	0.02309	-3.064E-4
25.860	0.1657	0.02384	-3.064E-4
