EXP-15-CC44-14-100100100-G-FP-004 100_s K-0052f
9/4/2015 1:35:55 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.23200	90.73	2.474	198.9
0.53200	90.73	2.327	198.9
0.80400	99.82	2.548	235.7
1.0320	99.82	2.659	235.7
1.1920	99.91	2.659	266.9
1.3640	99.91	2.711	266.9
1.6520	99.98	2.716	290.0
1.9120	99.98	2.657	290.0
2.0720	99.98	2.569	290.0
2.2120	99.93	2.569	304.8
2.4560	99.93	2.391	304.8
2.7400	99.91	2.022	313.5
2.9800	99.91	1.796	313.5
3.1720	99.97	1.796	317.4
3.3640	99.97	1.582	317.4
3.6520	99.94	1.403	319.7
3.9080	99.94	1.295	319.7
4.0840	99.96	1.167	321.7
4.2480	99.96	1.075	321.7
4.4920	99.89	1.024	323.0
4.7760	99.89	0.9636	323.0
5.0360	99.94	0.9090	324.2
5.2320	99.94	0.8815	324.2
5.4920	99.98	0.8401	326.1
5.7800	99.98	0.8028	326.1
6.0200	99.86	0.7762	327.7
6.1920	99.86	0.7762	327.7
6.4080	99.85	0.7397	328.1
6.7240	99.85	0.6786	328.1
7.0120	99.91	0.6636	328.1
7.1880	99.91	0.6636	328.1
7.4120	99.84	0.6412	328.5
7.7200	99.84	0.6170	328.5
8.0040	99.80	0.6006	329.6
8.1640	99.80	0.6006	329.6
8.3720	99.90	0.5808	329.5
8.6760	99.90	0.5455	329.5
8.9480	99.93	0.5324	329.2
9.1320	99.93	0.5324	329.2
9.3160	99.94	0.5252	329.6
9.6200	99.94	0.5172	329.6
9.8920	99.97	0.5074	330.2
10.100	99.97	0.4888	330.2
10.292	99.95	0.4723	329.9
10.568	99.95	0.4632	329.9
10.856	99.94	0.4530	329.4
11.060	99.94	0.4516	329.4
11.208	99.96	0.4501	329.7
11.476	99.96	0.4465	329.7
11.860	99.69	0.4376	330.1
12.024	99.69	0.4256	330.1
12.216	99.67	0.4171	329.7
12.500	99.67	0.4070	329.7
12.808	99.60	0.4048	329.1
13.040	99.60	0.4072	329.1
13.216	99.82	0.4101	330.0
13.464	99.82	0.4044	330.0
13.728	99.79	0.3968	330.1
14.024	99.79	0.3906	330.1
14.204	99.72	0.3864	329.4
14.452	99.72	0.3835	329.4
14.752	99.80	0.3866	329.4
14.988	99.80	0.3927	329.4
15.156	99.72	0.3900	330.0
15.344	99.72	0.3900	330.0
15.616	99.61	0.3853	330.2
15.888	99.61	0.3781	330.2
16.092	99.70	0.3729	329.9
16.244	99.70	0.3739	329.9
16.576	99.73	0.3774	330.0
16.852	99.73	0.3841	330.0
17.040	99.68	0.3832	330.7
17.216	99.68	0.3767	330.7
17.460	99.70	0.3666	330.4
17.744	99.70	0.3632	330.4
17.984	99.78	0.3575	329.4
18.180	99.78	0.3623	329.4
18.368	99.78	0.3623	329.4
18.656	99.68	0.3748	330.1
18.916	99.58	0.3697	331.2
19.104	99.58	0.3697	331.2
19.264	99.58	0.3621	331.2
19.568	99.73	0.3568	330.6
19.840	99.73	0.3487	330.6
20.036	99.64	0.3505	329.8
20.232	99.64	0.3511	329.8
20.528	99.68	0.3632	330.4
20.792	99.68	0.3638	330.4
20.996	99.74	0.3658	332.3
21.148	99.74	0.3584	332.3
21.344	99.67	0.3584	331.3
21.664	99.67	0.3473	331.3
21.940	99.67	0.3451	330.4
22.128	99.67	0.3471	330.4
22.336	99.73	0.3471	331.3
22.624	99.73	0.3564	331.3
22.900	99.57	0.3576	331.7
23.072	99.57	0.3576	331.7
23.216	99.69	0.3564	331.6
23.468	99.69	0.3536	331.6
23.776	99.71	0.3526	331.5
24.000	99.71	0.3570	331.5
24.164	99.72	0.3610	332.5
24.384	99.72	0.3600	332.5
24.688	99.72	0.3578	332.2
24.948	99.72	0.3513	332.2
25.132	99.77	0.3483	331.3
25.280	99.77	0.3483	331.3
25.588	99.71	0.3483	331.2
25.852	99.71	0.3554	331.2
26.060	99.71	0.3554	331.2
26.220	99.83	0.3549	333.0
26.492	99.83	0.3523	333.0
26.768	99.68	0.3458	332.6
26.992	99.68	0.3416	332.6
27.164	99.64	0.3396	331.1
27.372	99.64	0.3409	331.1
27.676	99.81	0.3504	331.6
27.932	99.81	0.3513	331.6
28.092	99.80	0.3481	332.1
28.256	99.80	0.3481	332.1
28.560	99.76	0.3443	331.0
28.876	99.76	0.3469	331.0
29.052	99.78	0.3469	330.5
29.200	99.78	0.3439	330.5
29.464	99.84	0.3502	331.9
29.740	99.84	0.3490	331.9
29.996	99.77	0.3440	333.5
30.144	99.77	0.3344	333.5
30.348	99.77	0.3343	333.5
30.652	99.73	0.3291	331.7
30.924	100.0	0.3293	330.6
31.084	100.0	0.3295	330.6
31.260	100.0	0.3295	330.6
31.572	100.0	0.3452	331.3
31.820	100.0	0.3513	331.3
32.044	100.0	0.3498	332.7
32.204	100.0	0.3498	332.7
32.476	100.0	0.3441	332.9
32.764	100.0	0.3356	332.9
33.028	100.0	0.3348	332.4
33.212	100.0	0.3348	332.4
33.452	100.0	0.3448	332.9
33.740	100.0	0.3438	332.9
