EXP-15-CC44-14-100100100-G-FP-004 100_s K-0054o
9/4/2015 1:41:42 PM
oscillatory strain sweep step
osc. stress	strain	G'	G''
Pa		Pa	Pa
0.1740	2.8462E-4	600.2	120.0
0.9278	1.2775E-3	723.1	74.63
1.159	1.5760E-3	730.9	89.73
1.468	1.9953E-3	731.1	88.37
1.848	2.5096E-3	731.3	92.64
2.310	3.1684E-3	723.4	95.77
2.899	4.0053E-3	718.3	94.88
3.616	5.0090E-3	716.9	90.36
4.542	6.3184E-3	713.5	93.54
5.688	7.9894E-3	706.8	91.38
7.109	0.010027	703.9	90.27
8.877	0.012635	697.3	91.26
11.07	0.015926	690.1	89.54
13.79	0.020063	681.8	93.41
17.10	0.025309	668.9	99.59
21.06	0.031852	652.1	112.5
25.94	0.040555	625.3	137.8
31.36	0.051057	591.6	167.4
37.65	0.064781	547.9	195.5
44.53	0.082210	497.4	215.9
51.83	0.10372	446.3	226.1
59.27	0.13105	392.1	226.4
66.99	0.16516	340.9	220.5
75.29	0.20720	297.3	209.7
85.10	0.26157	259.7	196.6
95.66	0.32642	230.0	182.3
108.4	0.41282	202.3	167.9
120.8	0.51736	175.7	154.4
133.0	0.66203	143.3	141.3
143.1	0.83556	111.9	130.1
151.5	1.0480	84.26	117.8
159.9	1.3243	61.05	104.5
167.8	1.6495	44.47	91.71
176.7	2.0604	32.13	79.69
186.0	2.5992	22.40	68.14
194.3	3.2433	15.79	57.91
202.4	4.0618	10.77	48.75
217.5	5.0925	7.616	42.11
