EXP-15-CC44-14-100100100-G-FP-004 100_s K-0055f
9/4/2015 1:42:22 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.18400	-0.1485	0.1202	26.61
0.43200	-0.07100	-0.3710	4.377E-5
0.66400	-0.07100	-4.925	4.377E-5
0.81200	-0.1022	-4.925	1.731E-4
0.94800	-0.1022	-7.848	1.731E-4
1.1320	-0.1022	-6.253	1.731E-4
1.3560	-1.602E-3	-6.253	1.989E-6
1.5960	-1.602E-3	-5.238	1.989E-6
1.7720	7.343E-4	-3.833	-3.979E-6
1.8920	7.343E-4	-2.542	-3.979E-6
2.0240	7.343E-4	-2.542	-3.979E-6
2.2560	-9.253E-4	-1.885	0
2.4600	-9.253E-4	-1.251	0
2.6680	-3.099E-3	-0.8620	-1.989E-6
2.8520	-3.099E-3	-0.6322	-1.989E-6
3.0000	-3.099E-3	-0.6322	-1.989E-6
3.2400	-6.106E-4	-0.5258	3.851E-6
3.4600	-6.106E-4	-0.4132	3.851E-6
3.6880	1.254E-3	-0.3382	-4.116E-6
3.8440	1.254E-3	-0.2986	-4.116E-6
3.9880	1.254E-3	-0.2986	-4.116E-6
4.2120	2.871E-3	-0.2514	-1.393E-5
4.4400	2.871E-3	-0.2182	-1.393E-5
4.6440	4.480E-3	-0.1986	-7.958E-6
4.8280	4.480E-3	-0.1749	-7.958E-6
4.9680	4.480E-3	-0.1749	-7.958E-6
5.2000	3.942E-3	-0.1531	-5.968E-6
5.4120	3.942E-3	-0.1359	-5.968E-6
5.6440	2.959E-3	-0.1245	-1.989E-6
5.8200	2.959E-3	-0.1129	-1.989E-6
5.9720	3.834E-3	-0.1129	-5.968E-6
6.1840	3.834E-3	-0.1018	-5.968E-6
6.3880	3.834E-3	-0.09341	-5.968E-6
6.6160	5.017E-3	-0.08680	-9.626E-6
6.7760	5.017E-3	-0.08680	-9.626E-6
6.9080	5.017E-3	-0.07652	-9.626E-6
7.0320	3.709E-3	-0.07652	-4.116E-6
7.2560	3.709E-3	-0.07424	-4.116E-6
7.4440	2.662E-3	-0.06631	-4.116E-6
7.6840	2.662E-3	-0.05943	-4.116E-6
7.8840	2.662E-3	-0.05433	-4.116E-6
8.0840	3.776E-3	-0.04809	-3.851E-6
8.3080	3.776E-3	-0.04769	-3.851E-6
8.5480	2.696E-3	-0.04352	-1.989E-6
8.7440	2.696E-3	-0.04352	-1.989E-6
8.8840	4.561E-3	-0.04124	-1.989E-6
9.0280	4.561E-3	-0.04124	-1.989E-6
9.2520	4.561E-3	-0.03482	-1.989E-6
9.4720	6.828E-3	-0.03215	-9.947E-6
9.7040	6.828E-3	-0.02704	-9.947E-6
9.8800	3.262E-3	-0.02607	-7.701E-6
10.072	3.262E-3	-0.02171	-7.701E-6
10.308	2.329E-3	-0.02134	-8.232E-6
10.532	2.329E-3	-0.02118	-8.232E-6
10.780	1.046E-3	-0.01734	1.989E-6
10.928	1.046E-3	-0.01734	1.989E-6
11.088	1.046E-3	-0.01551	1.989E-6
11.328	4.185E-5	-0.01415	3.979E-6
11.540	4.185E-5	-0.01301	3.979E-6
11.736	7.668E-3	-0.01301	-1.393E-5
11.860	7.668E-3	-9.954E-3	-1.393E-5
12.012	7.668E-3	-9.214E-3	-1.393E-5
12.244	5.059E-3	-9.214E-3	-5.968E-6
12.476	5.059E-3	-6.002E-3	-5.968E-6
12.700	0.01446	-2.956E-3	-3.183E-5
12.864	0.01446	-2.734E-3	-3.183E-5
13.008	0.01446	-3.023E-4	-3.183E-5
13.216	0.01313	-3.023E-4	-2.984E-5
13.424	0.01313	2.359E-4	-2.984E-5
13.656	0.01078	1.026E-3	-1.592E-5
13.816	0.01078	3.662E-3	-1.592E-5
13.940	0.01078	3.662E-3	-1.592E-5
14.160	0.01564	4.393E-3	-2.387E-5
14.352	0.01564	4.462E-3	-2.387E-5
14.568	0.01564	4.637E-3	-2.387E-5
14.744	0.02626	7.081E-3	-5.391E-5
14.884	0.02626	7.081E-3	-5.391E-5
15.016	0.02626	7.085E-3	-5.391E-5
15.228	4.078E-3	0.01072	2.058E-6
15.480	4.078E-3	0.01072	2.058E-6
15.684	0.01399	7.683E-3	-3.979E-5
15.840	0.01399	7.643E-3	-3.979E-5
15.988	0.01399	0.01071	-3.979E-5
16.208	4.777E-3	0.01071	-9.947E-6
16.436	4.777E-3	0.01109	-9.947E-6
16.660	0.03050	0.01166	-6.366E-5
16.836	0.03050	0.01487	-6.366E-5
16.980	0.03050	0.01223	-6.366E-5
17.204	0.02498	0.01223	-4.377E-5
17.428	0.02498	0.01182	-4.377E-5
17.636	7.844E-3	0.01317	-1.790E-5
17.792	7.844E-3	0.01487	-1.790E-5
17.936	7.844E-3	0.01487	-1.790E-5
18.144	0.03513	0.01488	-5.968E-5
18.384	0.03513	0.01541	-5.968E-5
18.612	4.263E-3	0.01584	-7.958E-6
18.768	4.263E-3	0.01487	-7.958E-6
18.916	7.494E-3	0.01487	-7.958E-6
19.104	7.494E-3	0.01733	-1.592E-5
19.328	7.494E-3	0.01638	-1.592E-5
19.556	0.03035	0.01810	-5.769E-5
19.760	0.03035	0.01711	-5.769E-5
19.904	0.02196	0.01711	-2.984E-5
20.064	0.02196	0.01598	-2.984E-5
20.288	0.02196	0.02017	-2.984E-5
20.500	0.07940	0.01942	-1.452E-4
20.724	0.07940	0.01919	-1.452E-4
20.868	0.1507	0.01919	-2.785E-4
20.992	0.1507	0.02111	-2.785E-4
21.204	0.1507	0.02111	-2.785E-4
21.440	0.1316	0.02246	-2.348E-4
21.648	0.1316	0.02246	-2.348E-4
21.808	0.1316	0.02038	-2.348E-4
21.952	0.02560	0.02054	-4.377E-5
22.164	0.02560	0.02129	-4.377E-5
22.400	-0.1330	0.02129	2.507E-4
22.608	-0.1330	0.02149	2.507E-4
22.820	-0.1682	0.02281	3.104E-4
22.960	-0.1682	0.02587	3.104E-4
23.184	-0.1682	0.02551	3.104E-4
23.420	-0.1400	0.02567	2.566E-4
23.628	-0.1400	0.02567	2.566E-4
23.832	-0.1236	0.02378	2.223E-4
23.968	-0.1236	0.02492	2.223E-4
24.176	-0.1236	0.02568	2.223E-4
24.416	-0.1239	0.02681	2.387E-4
24.628	-0.1239	0.02681	2.387E-4
24.784	-0.1232	0.02453	2.288E-4
24.960	-0.1232	0.02378	2.288E-4
25.180	-0.1238	0.02527	2.248E-4
25.380	-0.1238	0.02527	2.248E-4
25.564	-0.1238	0.02565	2.248E-4
25.724	-0.1238	0.02641	2.348E-4
25.852	-0.1238	0.02641	2.348E-4
25.996	-0.1238	0.02528	2.348E-4
