EXP-15-CC44-14-100100100-G-FP-004 1_00_s-1 min 100_s A-0002f
9/4/2015 11:51:47 AM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.23200	25.48	2.287	78.33
0.54000	25.48	2.253	78.33
0.81600	110.2	1.941	195.1
1.0520	110.2	2.507	195.1
1.2880	99.70	2.611	233.2
1.5760	99.66	2.611	267.4
1.8320	99.66	2.565	267.4
2.0080	99.66	2.477	267.4
2.1600	99.79	2.388	290.0
2.4240	99.79	2.209	290.0
2.6680	99.79	1.967	303.6
2.9040	99.79	1.786	303.6
3.0880	99.76	1.786	311.1
3.2560	99.76	1.525	311.1
3.5600	99.86	1.298	315.7
3.8360	99.86	1.131	315.7
4.0400	99.83	1.029	319.1
4.2040	99.83	0.9314	319.1
4.4920	99.76	0.8624	320.2
4.7600	99.76	0.8243	320.2
4.9680	99.88	0.7707	321.4
5.1320	99.88	0.7213	321.4
5.3840	99.88	0.6886	321.4
5.6640	99.88	0.6421	322.8
5.8880	99.84	0.6051	323.9
6.0720	99.84	0.6051	323.9
6.2160	99.84	0.5644	323.9
6.5320	99.60	0.5393	324.1
6.8200	99.60	0.5139	324.1
7.0360	99.71	0.4892	324.5
7.2080	99.71	0.4757	324.5
7.5120	99.75	0.4560	324.7
7.8000	99.72	0.4389	325.1
7.9760	99.72	0.4322	325.1
8.1520	99.72	0.4185	325.1
8.3760	99.83	0.4087	325.1
8.6640	99.83	0.4015	325.1
8.8880	99.89	0.3946	325.5
9.0440	99.89	0.3946	325.5
9.2280	99.86	0.3834	326.0
9.5280	99.86	0.3769	326.0
9.7800	99.87	0.3739	326.3
10.024	99.87	0.3695	326.3
10.184	99.87	0.3690	326.3
10.440	99.87	0.3669	326.3
10.716	99.89	0.3621	326.3
10.948	99.89	0.3618	326.3
11.124	99.89	0.3595	326.3
11.300	99.94	0.3595	326.2
11.612	99.94	0.3524	326.2
11.892	99.94	0.3544	325.8
12.104	99.94	0.3557	325.8
12.264	99.92	0.3557	325.9
12.564	99.92	0.3589	325.9
12.852	99.91	0.3538	326.8
13.044	99.91	0.3538	326.8
13.220	99.75	0.3460	326.9
13.512	99.75	0.3399	326.9
13.780	99.59	0.3407	326.3
13.988	99.59	0.3462	326.3
14.204	99.80	0.3485	326.7
14.500	99.80	0.3504	326.7
14.756	99.79	0.3492	327.6
14.948	99.79	0.3475	327.6
15.108	99.76	0.3408	327.3
15.300	99.76	0.3408	327.3
15.604	99.87	0.3376	326.9
15.860	99.87	0.3441	326.9
16.020	99.85	0.3441	327.0
16.196	99.85	0.3483	327.0
16.532	99.95	0.3441	328.0
16.808	99.95	0.3401	328.0
16.964	99.96	0.3336	327.7
17.108	99.96	0.3355	327.7
17.300	99.96	0.3355	327.7
17.604	99.93	0.3395	327.4
17.880	99.93	0.3428	327.8
18.036	99.93	0.3428	327.8
18.212	99.93	0.3443	327.8
18.516	99.91	0.3411	329.1
18.820	99.91	0.3357	329.1
18.996	99.93	0.3357	328.9
19.152	99.93	0.3325	328.9
19.412	99.98	0.3276	328.8
19.700	99.98	0.3281	328.8
19.916	100.0	0.3325	328.8
20.084	100.0	0.3297	328.8
20.248	100.0	0.3297	328.8
20.548	99.99	0.3262	328.9
20.944	99.83	0.3302	328.6
21.108	99.83	0.3355	328.6
21.360	99.92	0.3352	328.5
21.648	99.92	0.3409	328.5
21.912	99.87	0.3338	329.2
22.064	99.87	0.3333	329.2
22.224	99.76	0.3333	329.2
22.508	99.76	0.3315	329.2
22.772	99.84	0.3300	328.9
23.004	99.84	0.3289	328.9
23.156	99.85	0.3302	328.7
23.444	99.85	0.3312	328.7
23.712	99.82	0.3266	329.2
23.908	99.82	0.3232	329.2
24.068	99.82	0.3200	329.2
24.240	99.93	0.3200	329.4
24.544	99.93	0.3232	329.4
24.804	99.87	0.3285	328.8
24.992	99.87	0.3285	328.8
25.204	99.88	0.3336	328.8
25.520	99.88	0.3336	328.8
25.800	99.89	0.3357	329.4
26.004	99.89	0.3357	329.4
26.160	99.82	0.3313	329.3
26.416	99.82	0.3317	329.3
26.688	99.61	0.3283	328.8
26.944	99.61	0.3283	328.8
27.104	99.67	0.3315	328.7
27.360	99.67	0.3304	328.7
27.664	99.71	0.3285	328.9
27.932	99.71	0.3274	328.9
28.112	99.59	0.3272	328.4
28.340	99.59	0.3241	328.4
28.648	99.74	0.3241	328.5
28.928	99.68	0.3272	328.8
29.072	99.68	0.3293	328.8
29.232	99.68	0.3293	328.8
29.504	99.62	0.3281	329.0
29.760	99.62	0.3243	329.0
29.968	99.72	0.3228	329.0
30.144	99.72	0.3272	329.0
30.368	99.84	0.3251	328.8
30.672	99.84	0.3253	328.8
30.928	99.79	0.3279	328.9
31.088	99.79	0.3281	328.9
31.292	99.79	0.3279	328.9
31.600	100.0	0.3247	329.2
31.868	100.0	0.3240	329.3
32.032	100.0	0.3232	329.3
32.172	100.0	0.3232	329.3
32.480	100.0	0.3264	329.3
32.764	100.0	0.3270	329.5
32.960	100.0	0.3259	329.5
33.120	100.0	0.3259	329.5
33.312	100.0	0.3258	329.5
