EXP-15-CC44-14-100100100-G-FP-004 1_00_s-1 min 100_s A-0004f
9/4/2015 11:53:06 AM
1.00 /s, 1 min
time	shear rate	normal force	shear stress
s	1/s	N	Pa
1.0000E-3	4.038E-3	0.2719	-11.28
2.0000E-3	7.314E-3	0.2719	-11.26
3.0000E-3	9.230E-3	0.2719	-11.25
4.0000E-3	0.01253	0.2719	-11.23
5.0000E-3	0.01641	0.2719	-11.20
6.0000E-3	0.02063	0.2719	-11.17
7.0000E-3	0.02179	0.2719	-11.13
8.0000E-3	0.02364	0.2719	-11.09
9.0000E-3	0.02662	0.2719	-11.04
0.010000	0.03023	0.2719	-10.99
0.011000	0.03389	0.2719	-10.94
0.012000	0.03925	0.2719	-10.88
0.013000	0.04411	0.2719	-10.83
0.014000	0.04995	0.2719	-10.77
0.015000	0.05488	0.2719	-10.71
0.016000	0.06121	0.2719	-10.65
0.017000	0.06658	0.2719	-10.59
0.018000	0.07052	0.2719	-10.53
0.019000	0.07461	0.2719	-10.47
0.020000	0.07843	0.2719	-10.41
0.021000	0.08340	0.2719	-10.35
0.022000	0.08732	0.2719	-10.29
0.023000	0.09122	0.2719	-10.23
0.024000	0.09354	0.2719	-10.16
0.025000	0.09404	0.2719	-10.10
0.026000	0.09643	0.2736	-10.03
0.027000	0.09851	0.2736	-9.966
0.028000	0.1017	0.2736	-9.899
0.029000	0.1038	0.2736	-9.832
0.030000	0.1060	0.2736	-9.764
0.031000	0.1060	0.2736	-9.696
0.032000	0.1056	0.2736	-9.627
0.033000	0.1036	0.2736	-9.556
0.034000	0.1053	0.2736	-9.483
0.035000	0.1051	0.2736	-9.411
0.036000	0.1038	0.2736	-9.337
0.037000	0.1039	0.2736	-9.262
0.038000	0.1030	0.2736	-9.187
0.039000	0.1005	0.2736	-9.112
0.040000	0.09896	0.2736	-9.034
0.041500	0.1002	0.2736	-8.918
0.043500	0.09945	0.2736	-8.764
0.045500	0.09990	0.2736	-8.608
0.047500	0.1023	0.2736	-8.455
0.049500	0.1012	0.2736	-8.303
0.051500	0.1013	0.2736	-8.148
0.053500	0.1026	0.2736	-7.993
0.055500	0.1035	0.2736	-7.838
0.057500	0.1025	0.2736	-7.684
0.059500	0.1054	0.2736	-7.529
0.061500	0.1064	0.2736	-7.377
0.063500	0.1070	0.2736	-7.225
0.065500	0.1066	0.2736	-7.070
0.067500	0.1060	0.2736	-6.914
0.069500	0.1076	0.2736	-6.756
0.071500	0.1097	0.2736	-6.600
0.073500	0.1117	0.2736	-6.446
0.075500	0.1096	0.2736	-6.292
0.077500	0.1088	0.2736	-6.136
0.079500	0.1077	0.2736	-5.978
0.081500	0.1064	0.2736	-5.821
0.083500	0.1044	0.2736	-5.662
0.085500	0.1044	0.2736	-5.502
0.087500	0.1073	0.2736	-5.343
0.089500	0.1068	0.2736	-5.187
0.091500	0.1062	0.2736	-5.028
0.093500	0.1073	0.2736	-4.867
0.095500	0.1112	0.2736	-4.709
0.097500	0.1134	0.2736	-4.552
0.099500	0.1157	0.2736	-4.396
0.10150	0.1183	0.2736	-4.238
0.10350	0.1209	0.2736	-4.062
0.10550	0.1237	0.2736	-3.874
0.10750	0.1248	0.2736	-3.686
0.10950	0.1278	0.2736	-3.503
0.11150	0.1328	0.2736	-3.326
0.11350	0.1367	0.2736	-3.158
0.11550	0.1360	0.2736	-2.993
0.11750	0.1334	0.2736	-2.826
0.11950	0.1343	0.2736	-2.658
0.12250	0.1307	0.2736	-2.409
0.12650	0.1250	0.2736	-2.071
0.13050	0.1169	0.2736	-1.727
0.13450	0.1117	0.2736	-1.378
0.13850	0.1151	0.2736	-1.035
0.14250	0.1179	0.2736	-0.7041
0.14650	0.1235	0.2736	-0.3797
0.15050	0.1259	0.2736	-0.05624
0.15450	0.1283	0.2736	0.2660
0.15850	0.1263	0.2736	0.5935
0.16250	0.1259	0.2736	0.9242
0.16650	0.1237	0.2736	1.257
0.17050	0.1236	0.2736	1.590
0.17450	0.1205	0.2736	1.924
0.17850	0.1195	0.2736	2.262
0.18250	0.1218	0.2736	2.594
0.18650	0.1240	0.2736	2.922
0.19050	0.1242	0.2736	3.251
0.19450	0.1279	0.2736	3.577
0.19850	0.1311	0.2736	3.900
0.20250	0.1307	0.2736	4.224
0.20650	0.1276	0.2736	4.553
0.21050	0.1259	0.2736	4.886
0.21450	0.1243	0.2736	5.221
0.21850	0.1241	0.2736	5.553
0.22250	0.1249	0.2736	5.884
0.22650	0.1233	0.2736	6.217
0.23050	0.1258	0.2736	6.546
0.23450	0.1259	0.2736	6.875
0.23850	0.1274	0.2736	7.203
0.24250	0.1284	0.2736	7.530
0.24650	0.1310	0.2736	7.856
0.25050	0.1314	0.2736	8.180
0.25450	0.1347	0.2736	8.504
0.25850	0.1331	0.2736	8.827
0.26250	0.1292	0.2736	9.159
0.26650	0.1278	0.2774	9.493
0.27050	0.1296	0.2774	9.824
0.27450	0.1298	0.2774	10.15
0.27850	0.1328	0.2774	10.48
0.28450	0.1354	0.2774	10.96
0.29250	0.1347	0.2774	11.61
0.30050	0.1331	0.2774	12.27
0.30850	0.1374	0.2774	12.92
0.31650	0.1359	0.2774	13.57
0.32450	0.1557	0.2774	14.92
0.33250	0.6352	0.2774	21.74
0.34050	1.784	0.2774	31.12
0.34850	2.559	0.2774	39.76
0.35650	2.656	0.2774	49.23
0.36450	2.557	0.2774	59.14
0.37250	2.464	0.2774	67.30
0.38050	2.375	0.2774	73.59
0.38850	2.220	0.2774	78.19
0.39650	2.053	0.2774	81.64
0.40450	1.852	0.2774	84.74
0.41250	1.731	0.2774	86.97
0.42050	1.615	0.2774	88.10
0.42850	1.327	0.2774	87.21
0.43650	1.060	0.2774	87.92
0.44450	1.033	0.2774	87.59
0.45250	1.013	0.2774	87.26
0.46050	1.003	0.2774	87.33
0.46850	0.9946	0.2774	87.31
0.47650	0.9881	0.2774	87.65
0.48450	0.9885	0.2774	87.92
0.49250	0.9862	0.2774	88.19
0.50050	0.9845	0.2774	88.55
0.50850	0.9830	0.2774	88.93
0.51650	0.9857	0.2772	89.23
0.52450	0.9895	0.2772	89.60
0.53250	1.097	0.2772	91.45
0.54050	1.223	0.2772	92.15
0.54850	1.223	0.2772	93.34
0.55650	1.210	0.2772	94.38
0.56450	1.192	0.2772	95.39
0.57250	1.185	0.2772	96.05
0.58050	1.172	0.2772	96.56
0.58850	1.155	0.2772	97.00
0.59650	1.147	0.2772	97.57
0.60850	1.128	0.2772	97.97
0.62450	1.100	0.2772	98.34
0.64050	1.011	0.2772	98.23
0.65650	1.002	0.2772	97.95
0.67250	0.9999	0.2772	97.89
0.68850	0.9979	0.2772	98.04
0.70450	0.9976	0.2772	98.35
