EXP-15-CC44-14-100100100-G-FP-004 1_00_s-1 min 100_s A-0005f
9/4/2015 11:53:46 AM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.14800	-0.09113	0.2541	-1.646E-5
0.38800	-0.09113	-5.890	-1.646E-5
0.60000	-0.09113	-5.890	-1.646E-5
0.74400	-0.1308	-7.611	2.407E-4
0.87200	-0.1308	-7.611	2.407E-4
1.0480	-0.1308	-6.490	2.407E-4
1.2840	-0.02996	-5.111	5.769E-5
1.5280	-0.02996	-4.089	5.769E-5
1.7160	-0.02468	-3.450	4.576E-5
1.8480	-0.02468	-3.450	4.576E-5
2.0280	-0.02468	-2.607	4.576E-5
2.2440	-0.01461	-1.921	2.188E-5
2.4680	-0.01461	-1.544	2.188E-5
2.6760	-6.595E-3	-1.129	1.194E-5
2.8240	-6.595E-3	-1.129	1.194E-5
2.9480	-6.595E-3	-1.101	1.194E-5
3.1920	-5.314E-3	-0.8429	9.947E-6
3.4120	-5.314E-3	-0.7025	9.947E-6
3.6720	-3.743E-3	-0.5536	1.989E-6
3.8120	-3.743E-3	-0.5536	1.989E-6
3.9360	-3.743E-3	-0.4486	1.989E-6
4.1640	-1.754E-3	-0.3771	7.958E-6
4.3880	-1.754E-3	-0.3362	7.958E-6
4.6160	-8.566E-4	-0.2885	1.989E-6
4.7880	-8.566E-4	-0.2885	1.989E-6
4.9240	-8.566E-4	-0.2556	1.989E-6
5.1400	3.593E-4	-0.2336	-3.851E-6
5.3520	3.593E-4	-0.2106	-3.851E-6
5.5560	2.305E-3	-0.2106	-6.174E-6
5.8120	2.305E-3	-0.1893	-6.174E-6
5.9440	2.455E-3	-0.1772	-9.947E-6
6.1640	2.455E-3	-0.1608	-9.947E-6
6.3920	2.958E-3	-0.1492	1.989E-6
6.6200	2.958E-3	-0.1359	1.989E-6
6.7720	2.958E-3	-0.1359	1.989E-6
6.9240	2.875E-3	-0.1278	-4.116E-6
7.1680	2.875E-3	-0.1200	-4.116E-6
7.3800	4.274E-3	-0.1126	-5.776E-6
7.6080	4.274E-3	-0.1063	-5.776E-6
7.7840	4.274E-3	-0.1063	-5.776E-6
7.9720	4.886E-3	-0.1000	-1.393E-5
8.1880	4.886E-3	-0.09358	-1.393E-5
8.4200	4.811E-3	-0.09017	-9.947E-6
8.6600	4.811E-3	-0.08390	-9.947E-6
8.8240	6.565E-3	-0.07970	-1.194E-5
8.9480	6.565E-3	-0.07970	-1.194E-5
9.1760	6.565E-3	-0.07386	-1.194E-5
9.3880	6.358E-3	-0.07061	-7.958E-6
9.6240	6.358E-3	-0.06718	-7.958E-6
9.7840	4.455E-3	-0.06718	-5.968E-6
9.9240	4.455E-3	-0.06509	-5.968E-6
10.152	4.455E-3	-0.06264	-5.968E-6
10.388	5.395E-3	-0.05937	-9.947E-6
10.616	5.395E-3	-0.05559	-9.947E-6
10.792	3.193E-3	-0.05559	-7.958E-6
10.916	3.193E-3	-0.05292	-7.958E-6
11.148	3.193E-3	-0.04968	-7.958E-6
11.360	2.914E-3	-0.04667	-3.979E-6
11.604	2.914E-3	-0.04610	-3.979E-6
11.784	2.742E-3	-0.04610	0
11.928	2.742E-3	-0.04231	0
12.144	2.482E-3	-0.04174	-1.989E-6
12.372	2.482E-3	-0.03945	-1.989E-6
12.596	2.482E-3	-0.03623	-1.989E-6
12.756	1.102E-3	-0.03623	3.979E-6
12.900	1.102E-3	-0.03585	3.979E-6
13.124	-6.154E-3	-0.03585	5.968E-6
13.328	-6.154E-3	-0.03054	5.968E-6
13.556	-6.154E-3	-0.03052	5.968E-6
13.752	-4.179E-5	-0.03052	1.989E-6
13.888	-4.179E-5	-0.02769	1.989E-6
14.068	3.009E-3	-0.02883	1.989E-6
14.296	3.009E-3	-0.02656	1.989E-6
14.524	3.009E-3	-0.02390	1.989E-6
14.688	-4.398E-3	-0.02390	1.592E-5
14.820	-4.398E-3	-0.02370	1.592E-5
14.960	-4.398E-3	-0.02370	1.592E-5
15.168	6.267E-4	-0.02256	1.925E-6
15.380	6.267E-4	-0.02103	1.925E-6
15.584	1.515E-3	-0.01990	-4.116E-6
15.752	1.515E-3	-0.01800	-4.116E-6
15.892	1.515E-3	-0.01800	-4.116E-6
16.064	3.688E-4	-0.01895	-1.989E-6
16.272	3.688E-4	-0.01666	-1.989E-6
16.500	0.01329	-0.01478	-2.387E-5
16.736	0.01329	-0.01478	-2.387E-5
16.876	0.01329	-0.01307	-2.387E-5
17.060	-4.470E-3	-0.01193	3.979E-6
17.280	-4.470E-3	-0.01192	3.979E-6
17.508	0.01199	-0.01174	-2.188E-5
17.732	0.01199	-8.882E-3	-2.188E-5
17.872	0.01199	-8.882E-3	-2.188E-5
18.004	4.396E-3	-8.693E-3	-1.989E-6
18.228	4.396E-3	-7.352E-3	-1.989E-6
18.440	-2.598E-3	-7.352E-3	3.851E-6
18.676	-2.598E-3	-9.250E-3	3.851E-6
18.872	0.01186	-7.764E-3	-2.470E-5
19.044	0.01186	-6.615E-3	-2.470E-5
19.248	0.01186	-7.363E-3	-2.470E-5
19.456	-9.694E-3	-7.363E-3	1.592E-5
19.672	-9.694E-3	-6.424E-3	1.592E-5
19.824	-0.03957	-6.231E-3	7.615E-5
19.960	-0.03957	-5.452E-3	7.615E-5
20.208	-0.03957	-5.261E-3	7.615E-5
20.432	-0.04962	-5.261E-3	8.664E-5
20.652	-0.04962	-5.449E-3	8.664E-5
20.828	-6.898E-3	-3.373E-3	3.979E-6
21.056	-6.898E-3	-2.221E-3	3.979E-6
21.264	0.03010	-5.080E-3	-5.968E-5
21.472	0.03010	-2.979E-3	-5.968E-5
21.664	0.03010	-2.979E-3	-5.968E-5
21.800	0.04019	-3.370E-3	-8.157E-5
21.940	0.04019	-3.370E-3	-8.157E-5
22.144	0.04019	-2.613E-3	-8.157E-5
22.368	0.04665	-3.381E-3	-9.748E-5
22.592	0.04665	-1.292E-3	-9.748E-5
22.768	0.04513	-1.090E-3	-8.026E-5
22.896	0.04513	-1.090E-3	-8.026E-5
23.120	0.04513	-1.302E-3	-8.026E-5
23.364	0.03904	-2.241E-3	-8.279E-5
23.596	0.03904	-1.481E-3	-8.279E-5
23.776	0.03700	-1.494E-4	-6.764E-5
23.916	0.03700	-1.494E-4	-6.764E-5
24.144	0.02391	-1.376E-4	-3.382E-5
24.380	0.02391	7.884E-4	-3.382E-5
24.612	-3.593E-3	-1.100E-3	7.958E-6
24.804	-3.593E-3	-3.417E-4	7.958E-6
24.944	-3.593E-3	-1.859E-3	7.958E-6
25.200	-0.01283	-3.172E-4	1.393E-5
