EXP-15-CC44-14-100100100-G-FP-004 1_00_s-1 min 100_s F-0027f
9/4/2015 12:50:49 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.23600	48.94	3.600	138.6
0.45600	48.94	1.682	138.6
0.67200	100.6	2.248	215.8
0.87200	100.6	2.564	215.8
1.1680	99.95	2.666	246.5
1.4040	99.95	2.686	246.5
1.5640	99.95	2.686	246.5
1.7240	99.91	2.617	277.1
1.9840	99.91	2.547	277.1
2.2720	99.89	2.412	298.1
2.5080	99.89	2.262	298.1
2.6840	99.92	2.083	310.3
2.8920	99.92	1.935	310.3
3.1640	99.95	1.730	316.9
3.4560	99.95	1.523	316.9
3.6280	99.89	1.384	320.3
3.7840	99.89	1.384	320.3
4.0920	99.95	1.122	322.6
4.3440	99.95	1.073	322.6
4.5440	99.92	1.073	324.5
4.7280	99.92	1.015	324.5
4.9640	99.83	0.9770	325.9
5.2560	99.83	0.9426	325.9
5.5600	99.59	0.8624	328.1
5.7040	99.59	0.8624	328.1
5.9760	99.77	0.8114	329.8
6.2800	99.77	0.7783	329.8
6.5240	99.75	0.7332	330.4
6.6840	99.75	0.6941	330.4
6.8760	99.74	0.6732	330.7
7.1760	99.74	0.6290	330.7
7.4320	99.84	0.5921	331.1
7.6360	99.84	0.5712	331.1
7.8200	99.84	0.5446	331.1
8.1520	99.82	0.5233	331.2
8.4320	99.85	0.5051	331.2
8.6480	99.85	0.4976	331.2
8.8280	99.88	0.4807	331.6
9.1160	99.88	0.4622	331.6
9.3680	99.85	0.4516	331.5
9.5600	99.85	0.4516	331.5
9.7680	99.68	0.4361	330.9
10.056	99.68	0.4226	330.9
10.328	99.79	0.4135	330.3
10.524	99.79	0.4135	330.3
10.680	99.79	0.4133	330.3
10.888	99.79	0.4154	330.1
11.196	99.79	0.4099	330.6
11.480	99.79	0.4091	330.6
11.640	99.79	0.4015	330.6
11.964	99.89	0.3934	330.5
12.216	99.86	0.3860	330.0
12.408	99.86	0.3818	330.0
12.584	99.86	0.3858	330.0
12.764	99.90	0.3858	330.5
13.048	99.90	0.3814	330.5
13.320	99.96	0.3742	330.9
13.516	99.96	0.3742	330.9
13.672	99.92	0.3678	330.4
13.864	99.92	0.3638	330.4
14.184	99.93	0.3657	330.2
14.444	99.93	0.3707	330.2
14.628	99.92	0.3731	330.9
14.792	99.92	0.3705	330.9
15.096	99.89	0.3648	331.0
15.352	99.89	0.3572	331.0
15.540	99.89	0.3519	330.2
15.704	99.89	0.3519	330.2
15.944	99.89	0.3490	330.2
16.252	99.91	0.3676	329.7
16.472	99.91	0.3676	329.7
16.636	99.88	0.3684	330.9
16.824	99.88	0.3659	330.9
17.092	99.94	0.3591	332.0
17.332	99.94	0.3509	332.0
17.544	99.96	0.3473	331.6
17.700	99.96	0.3473	331.6
17.908	99.96	0.3496	331.6
18.212	99.95	0.3583	331.2
18.484	99.93	0.3651	332.0
18.644	99.93	0.3616	332.0
18.824	99.93	0.3511	332.0
19.132	99.97	0.3509	332.2
19.432	99.89	0.3496	331.9
19.604	99.89	0.3528	331.9
19.780	99.89	0.3619	331.9
20.084	99.91	0.3594	332.4
20.372	99.96	0.3570	332.9
20.616	99.96	0.3473	332.9
20.788	99.96	0.3382	332.9
21.060	99.95	0.3342	332.2
21.332	99.95	0.3391	331.1
21.528	99.95	0.3502	331.1
21.700	99.95	0.3502	331.1
21.892	99.84	0.3516	331.6
22.196	99.84	0.3517	331.6
22.452	99.67	0.3446	332.6
22.596	99.67	0.3365	332.6
22.800	99.68	0.3342	332.1
23.092	99.68	0.3336	332.1
23.348	99.75	0.3327	331.3
23.556	99.75	0.3418	331.3
23.732	99.76	0.3456	332.1
23.924	99.76	0.3456	332.1
24.228	99.64	0.3467	332.4
24.500	99.64	0.3401	332.4
24.676	99.76	0.3401	332.0
24.900	99.76	0.3370	332.0
25.188	99.82	0.3370	331.7
25.456	99.82	0.3534	331.7
25.652	99.70	0.3534	332.5
25.808	99.70	0.3528	332.5
26.120	99.72	0.3500	332.9
26.388	99.72	0.3420	332.9
26.580	99.70	0.3335	331.8
26.740	99.70	0.3314	331.8
26.996	99.70	0.3351	331.8
27.268	99.61	0.3477	331.3
27.488	99.61	0.3513	331.3
27.656	99.75	0.3513	333.3
27.840	99.75	0.3505	333.3
28.144	99.69	0.3447	333.8
28.408	99.69	0.3336	333.8
28.608	99.74	0.3336	332.7
28.772	99.74	0.3376	332.7
29.040	99.85	0.3469	332.6
29.328	99.85	0.3522	332.6
29.548	99.81	0.3549	333.5
29.696	99.81	0.3467	333.5
29.840	99.81	0.3467	333.5
30.160	99.78	0.3399	333.2
30.464	99.76	0.3403	332.9
30.664	99.76	0.3465	332.9
30.832	99.76	0.3465	332.9
31.168	99.96	0.3505	333.6
31.444	100.0	0.3504	334.1
31.632	100.0	0.3475	334.1
31.796	100.0	0.3475	334.1
32.080	100.0	0.3306	333.1
32.384	100.0	0.3276	331.7
32.580	100.0	0.3369	331.7
32.736	100.0	0.3369	331.7
33.008	100.0	0.3414	332.6
33.312	100.0	0.3433	334.0
