EXP-15-CC44-14-100100100-G-FP-004 1_00_s-1 min 100_s F-0029f
9/4/2015 12:52:08 PM
1.00 /s, 1 min
time	shear rate	normal force	shear stress
s	1/s	N	Pa
1.0000E-3	7.228E-3	0.3346	-16.47
2.0000E-3	7.635E-3	0.3346	-16.46
3.0000E-3	9.958E-3	0.3346	-16.45
4.0000E-3	0.01209	0.3346	-16.43
5.0000E-3	0.01348	0.3346	-16.41
6.0000E-3	0.01392	0.3346	-16.37
7.0000E-3	0.01543	0.3346	-16.34
8.0000E-3	0.01680	0.3346	-16.29
9.0000E-3	0.01733	0.3346	-16.24
0.010000	0.01982	0.3346	-16.19
0.011000	0.02581	0.3346	-16.13
0.012000	0.03303	0.3346	-16.08
0.013000	0.03984	0.3346	-16.02
0.014000	0.04665	0.3346	-15.96
0.015000	0.05315	0.3346	-15.91
0.016000	0.05580	0.3346	-15.85
0.017000	0.05936	0.3346	-15.79
0.018000	0.06461	0.3346	-15.73
0.019000	0.07050	0.3346	-15.67
0.020000	0.07956	0.3346	-15.61
0.021000	0.08774	0.3346	-15.55
0.022000	0.09417	0.3346	-15.49
0.023000	0.09829	0.3346	-15.43
0.024000	0.1009	0.3346	-15.38
0.025000	0.1020	0.3346	-15.31
0.026000	0.1028	0.3346	-15.25
0.027000	0.1055	0.3346	-15.19
0.028000	0.1099	0.3346	-15.12
0.029000	0.1150	0.3346	-15.06
0.030000	0.1170	0.3346	-14.99
0.031000	0.1166	0.3346	-14.93
0.032000	0.1150	0.3346	-14.86
0.033000	0.1122	0.3346	-14.79
0.034000	0.1109	0.3346	-14.72
0.035000	0.1101	0.3346	-14.64
0.036000	0.1121	0.3346	-14.57
0.037000	0.1125	0.3346	-14.49
0.038000	0.1113	0.3346	-14.42
0.039000	0.1092	0.3346	-14.35
0.040000	0.1046	0.3346	-14.27
0.041500	0.09692	0.3346	-14.15
0.043500	0.08972	0.3346	-13.99
0.045500	0.08698	0.3346	-13.82
0.047500	0.08849	0.3346	-13.65
0.049500	0.08770	0.3346	-13.49
0.051500	0.08764	0.3346	-13.33
0.053500	0.09400	0.3386	-13.18
0.055500	0.1007	0.3386	-13.02
0.057500	0.1015	0.3386	-12.88
0.059500	0.1005	0.3386	-12.72
0.061500	0.1053	0.3386	-12.57
0.063500	0.1081	0.3386	-12.42
0.065500	0.1053	0.3386	-12.27
0.067500	0.1032	0.3386	-12.11
0.069500	0.1066	0.3386	-11.96
0.071500	0.1112	0.3386	-11.80
0.073500	0.1097	0.3386	-11.65
0.075500	0.1056	0.3386	-11.49
0.077500	0.1079	0.3386	-11.33
0.079500	0.1131	0.3386	-11.18
0.081500	0.1123	0.3386	-11.03
0.083500	0.1103	0.3386	-10.87
0.085500	0.1116	0.3386	-10.72
0.087500	0.1130	0.3386	-10.56
0.089500	0.1102	0.3386	-10.41
0.091500	0.1053	0.3386	-10.24
0.093500	0.1066	0.3386	-10.08
0.095500	0.1111	0.3386	-9.920
0.097500	0.1118	0.3386	-9.762
0.099500	0.1099	0.3386	-9.602
0.10150	0.1107	0.3386	-9.438
0.10350	0.1176	0.3386	-9.258
0.10550	0.1201	0.3386	-9.071
0.10750	0.1204	0.3386	-8.883
0.10950	0.1230	0.3386	-8.697
0.11150	0.1279	0.3386	-8.520
0.11350	0.1306	0.3386	-8.350
0.11550	0.1294	0.3386	-8.183
0.11750	0.1278	0.3386	-8.014
0.11950	0.1306	0.3386	-7.846
0.12250	0.1306	0.3386	-7.600
0.12650	0.1223	0.3386	-7.263
0.13050	0.1205	0.3386	-6.923
0.13450	0.1108	0.3386	-6.578
0.13850	0.1121	0.3386	-6.230
0.14250	0.1139	0.3386	-5.894
0.14650	0.1237	0.3386	-5.568
0.15050	0.1254	0.3386	-5.251
0.15450	0.1285	0.3386	-4.926
0.15850	0.1232	0.3386	-4.601
0.16250	0.1225	0.3386	-4.261
0.16650	0.1193	0.3386	-3.929
0.17050	0.1196	0.3386	-3.589
0.17450	0.1214	0.3386	-3.260
0.17850	0.1222	0.3386	-2.927
0.18250	0.1209	0.3386	-2.600
0.18650	0.1166	0.3386	-2.259
0.19050	0.1209	0.3386	-1.928
0.19450	0.1228	0.3386	-1.598
0.19850	0.1323	0.3386	-1.279
0.20250	0.1315	0.3386	-0.9590
0.20650	0.1298	0.3386	-0.6349
0.21050	0.1174	0.3386	-0.2934
0.21450	0.1192	0.3386	0.05127
0.21850	0.1186	0.3386	0.3879
0.22250	0.1290	0.3386	0.7125
0.22650	0.1295	0.3386	1.031
0.23050	0.1324	0.3386	1.353
0.23450	0.1256	0.3386	1.682
0.23850	0.1307	0.3386	2.015
0.24250	0.1286	0.3386	2.340
0.24650	0.1335	0.3386	2.667
0.25050	0.1266	0.3386	2.994
0.25450	0.1280	0.3386	3.330
0.25850	0.1273	0.3386	3.658
0.26250	0.1331	0.3386	3.987
0.26650	0.1311	0.3418	4.306
0.27050	0.1326	0.3418	4.637
0.27450	0.1275	0.3418	4.964
0.27850	0.1259	0.3418	5.302
0.28450	0.1322	0.3418	5.794
0.29250	0.1394	0.3418	6.429
0.30050	0.1372	0.3418	7.075
0.30850	0.1352	0.3418	7.735
0.31650	0.1398	0.3418	8.382
0.32450	0.1777	0.3418	9.999
0.33250	0.5224	0.3418	14.21
0.34050	1.054	0.3418	18.99
0.34850	1.332	0.3418	24.22
0.35650	1.410	0.3418	30.43
0.36450	1.478	0.3418	36.90
0.37250	1.562	0.3418	42.93
0.38050	1.637	0.3418	48.21
0.38850	1.649	0.3418	52.83
0.39650	1.602	0.3418	57.42
0.40450	1.598	0.3418	60.95
0.41250	1.543	0.3418	64.04
0.42050	1.457	0.3418	66.55
0.42850	1.184	0.3418	66.75
0.43650	0.9662	0.3418	68.64
0.44450	0.9573	0.3418	69.49
0.45250	0.9571	0.3418	70.07
0.46050	0.9465	0.3418	70.79
0.46850	0.9430	0.3418	71.62
0.47650	0.9392	0.3418	72.44
0.48450	0.9336	0.3418	73.41
0.49250	0.9406	0.3418	74.19
0.50050	0.9436	0.3418	74.96
0.50850	0.9468	0.3418	75.68
0.51650	0.9419	0.3418	76.49
0.52450	0.9402	0.3418	77.31
0.53250	0.9444	0.3418	78.11
0.54050	0.9451	0.3458	78.84
0.54850	0.9507	0.3458	79.65
0.55650	1.153	0.3458	83.26
0.56450	1.488	0.3458	85.15
0.57250	1.497	0.3458	86.89
0.58050	1.437	0.3458	89.14
0.58850	1.390	0.3458	90.96
0.59650	1.357	0.3458	91.93
0.60850	1.292	0.3458	93.29
0.62450	1.231	0.3458	94.16
0.64050	1.178	0.3458	94.92
0.65650	1.072	0.3458	94.83
0.67250	1.005	0.3458	94.65
0.68850	1.002	0.3458	94.45
