EXP-15-CC44-14-100100100-G-FP-004 1_00_s-1 min 100_s F-0030f
9/4/2015 12:52:47 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.14800	-0.4913	0.3507	3.423
0.38400	-0.4913	0.3507	3.423
0.59200	-0.1242	0.3570	2.248E-4
0.73600	-0.1242	-6.868	2.248E-4
0.87600	-0.1242	-7.560	2.248E-4
1.0880	-0.03576	-7.560	7.560E-5
1.3280	-0.03576	-6.434	7.560E-5
1.5240	-0.02710	-5.070	4.775E-5
1.6960	-0.02710	-4.026	4.775E-5
1.8440	-0.02710	-4.026	4.775E-5
2.0200	-9.619E-3	-3.463	2.188E-5
2.2400	-9.619E-3	-2.653	2.188E-5
2.4880	-2.282E-3	-1.962	-1.989E-6
2.7080	-2.282E-3	-1.581	-1.989E-6
2.8440	-2.282E-3	-1.581	-1.989E-6
3.0240	-4.906E-3	-1.137	1.393E-5
3.2520	-4.906E-3	-0.8410	1.393E-5
3.5160	-5.784E-3	-0.6459	1.733E-5
3.6800	-5.784E-3	-0.5440	1.733E-5
3.8080	-5.784E-3	-0.5440	1.733E-5
3.9400	-3.464E-3	-0.4345	6.174E-6
4.1600	-3.464E-3	-0.3580	6.174E-6
4.4040	-3.872E-3	-0.3150	3.979E-6
4.6480	-3.872E-3	-0.2658	3.979E-6
4.8320	-3.295E-3	-0.2658	5.968E-6
4.9560	-3.295E-3	-0.2320	5.968E-6
5.1840	-3.295E-3	-0.2094	5.968E-6
5.3920	-2.084E-3	-0.1844	0
5.6480	-2.084E-3	-0.1651	0
5.7920	-9.647E-4	-0.1651	5.968E-6
5.9440	-9.647E-4	-0.1483	5.968E-6
6.1560	-9.647E-4	-0.1370	5.968E-6
6.3840	-1.528E-3	-0.1241	-5.968E-6
6.5720	-1.528E-3	-0.1241	-5.968E-6
6.7640	1.150E-3	-0.1165	3.979E-6
6.8960	1.150E-3	-0.1068	3.979E-6
7.1360	1.150E-3	-0.09829	3.979E-6
7.3440	1.399E-3	-0.08840	-7.958E-6
7.5840	1.399E-3	-0.08611	-7.958E-6
7.8000	3.792E-4	-0.08611	-5.968E-6
7.9480	3.792E-4	-0.07949	-5.968E-6
8.1920	-1.064E-3	-0.07399	0
8.4000	-1.064E-3	-0.06715	0
8.6200	-1.064E-3	-0.06395	0
8.7640	1.135E-3	-0.06395	-5.968E-6
8.9160	1.135E-3	-0.05937	-5.968E-6
9.1360	1.135E-3	-0.05522	-5.968E-6
9.3560	3.969E-3	-0.05102	-5.968E-6
9.5800	3.969E-3	-0.04779	-5.968E-6
9.7600	2.285E-3	-0.04779	-5.968E-6
9.9240	2.285E-3	-0.04343	-5.968E-6
10.156	-1.533E-4	-0.04346	0
10.352	-1.533E-4	-0.03834	0
10.568	-1.533E-4	-0.03828	0
10.732	1.571E-3	-0.03828	-9.947E-6
10.860	1.571E-3	-0.03528	-9.947E-6
11.084	5.126E-3	-0.03185	-7.958E-6
11.296	5.126E-3	-0.03071	-7.958E-6
11.508	5.126E-3	-0.03071	-7.958E-6
11.696	3.421E-3	-0.02769	-7.958E-6
11.828	3.421E-3	-0.02275	-7.958E-6
12.064	3.810E-3	-0.02368	-1.592E-5
12.284	3.810E-3	-0.02052	-1.592E-5
12.504	3.810E-3	-0.02052	-1.592E-5
12.676	4.153E-3	-0.01630	0
12.808	4.153E-3	-0.01610	0
12.940	4.153E-3	-0.01610	0
13.148	8.008E-4	-0.01308	3.979E-6
13.356	8.008E-4	-0.01270	3.979E-6
13.568	2.776E-3	-9.865E-3	-3.979E-6
13.736	2.776E-3	-9.865E-3	-3.979E-6
13.868	2.776E-3	-9.863E-3	-3.979E-6
14.076	8.836E-3	-6.427E-3	-1.989E-5
14.300	8.836E-3	-5.872E-3	-1.989E-5
14.544	3.822E-3	-5.689E-3	1.989E-6
14.716	3.822E-3	-5.689E-3	1.989E-6
14.860	3.822E-3	-2.650E-3	1.989E-6
15.052	3.717E-3	-3.794E-4	0
15.256	3.717E-3	-1.806E-4	0
15.480	-3.344E-3	-1.806E-4	5.968E-6
15.696	-3.344E-3	7.794E-4	5.968E-6
15.816	-3.344E-3	2.468E-3	5.968E-6
15.948	-1.448E-3	2.468E-3	1.989E-6
16.180	-1.448E-3	2.684E-3	1.989E-6
16.396	2.732E-3	3.795E-3	3.979E-6
16.620	2.732E-3	4.360E-3	3.979E-6
16.792	2.732E-3	5.142E-3	3.979E-6
16.924	-5.880E-3	5.142E-3	0
17.144	-5.880E-3	4.902E-3	0
17.340	-6.334E-3	8.971E-3	1.790E-5
17.564	-6.334E-3	8.355E-3	1.790E-5
17.728	-6.334E-3	9.285E-3	1.790E-5
17.868	1.661E-3	9.285E-3	-9.947E-6
18.092	1.661E-3	9.874E-3	-9.947E-6
18.304	0.01398	0.01082	-3.382E-5
18.540	0.01398	0.01176	-3.382E-5
18.684	0.01398	0.01176	-3.382E-5
18.808	0.01930	0.01045	-3.780E-5
18.940	0.01930	0.01045	-3.780E-5
19.160	0.01930	0.01330	-3.780E-5
19.384	5.318E-3	0.01121	-5.968E-6
19.596	5.318E-3	0.01388	-5.968E-6
19.772	-0.01481	0.01330	3.273E-5
19.900	-0.01481	0.01330	3.273E-5
20.140	-0.01481	0.01255	3.273E-5
20.364	-0.01232	0.01520	2.881E-5
20.620	-0.01232	0.01537	2.881E-5
20.744	-3.555E-3	0.01443	0
20.860	-3.555E-3	0.01443	0
21.048	-3.555E-3	0.01653	0
21.252	-0.01563	0.01651	2.984E-5
21.480	-0.01563	0.01730	2.984E-5
21.692	-0.01528	0.01821	2.387E-5
21.820	-0.01528	0.01821	2.387E-5
21.996	-0.01528	0.01653	2.387E-5
22.228	-1.459E-3	0.01745	3.979E-6
22.472	-1.459E-3	0.01653	3.979E-6
22.696	4.604E-3	0.01653	-3.979E-6
22.824	4.604E-3	0.01689	-3.979E-6
23.000	4.604E-3	0.01745	-3.979E-6
23.212	1.446E-4	0.02052	0
23.400	1.446E-4	0.02052	0
23.580	3.419E-4	0.01955	3.979E-6
23.724	3.419E-4	0.01937	3.979E-6
23.864	3.419E-4	0.01937	3.979E-6
24.088	-7.053E-3	0.01973	9.947E-6
24.296	-7.053E-3	0.01880	9.947E-6
24.504	-7.053E-3	0.01843	9.947E-6
24.680	-0.01642	0.01842	3.780E-5
24.864	-0.01642	0.01842	3.780E-5
25.084	-0.02140	0.01938	4.377E-5
25.304	-0.02140	0.02068	4.377E-5
25.496	-0.02450	0.01862	4.775E-5
25.652	-0.02450	0.01862	4.775E-5
25.784	-0.02450	0.01858	4.775E-5
25.908	-0.02450	0.01937	4.775E-5
