EXP-15-CC44-14-100100100-G-FP-006 100_s G-0032f
9/4/2015 12:55:42 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.23200	61.43	3.601	166.2
0.44800	61.43	1.758	166.2
0.68400	112.3	1.918	233.1
0.99600	112.3	2.476	233.1
1.2920	99.61	2.708	257.0
1.4760	99.61	2.708	257.0
1.6680	99.75	2.657	283.8
1.9720	99.75	2.544	283.8
2.2640	99.74	2.437	301.4
2.4040	99.74	2.252	301.4
2.5800	99.82	2.035	311.5
2.8560	99.82	1.814	311.5
3.1240	99.91	1.649	316.9
3.3760	99.91	1.428	316.9
3.5440	99.91	1.247	316.9
3.8280	99.95	1.139	320.1
4.1320	99.72	1.024	322.2
4.3800	99.72	0.9505	322.2
4.5480	99.65	0.9149	323.9
4.8240	99.65	0.8741	323.9
5.1080	99.81	0.8359	325.5
5.3480	99.81	0.8139	325.5
5.5600	99.75	0.7758	326.8
5.8600	99.75	0.7409	326.8
6.1200	99.62	0.7045	328.0
6.3400	99.62	0.6788	328.0
6.5040	99.80	0.6460	328.8
6.7080	99.80	0.6460	328.8
7.0280	99.78	0.5916	328.9
7.3080	99.78	0.5652	328.9
7.4920	99.65	0.5432	329.0
7.7360	99.65	0.5263	329.0
8.0200	99.81	0.5057	329.9
8.2600	99.81	0.5032	329.9
8.4200	99.89	0.5032	330.2
8.5840	99.89	0.4854	330.2
8.8840	99.79	0.4693	329.7
9.1440	99.79	0.4607	329.7
9.3320	99.91	0.4463	329.7
9.5040	99.91	0.4379	329.7
9.7000	99.91	0.4349	329.7
10.012	99.87	0.4275	330.2
10.272	99.81	0.4159	330.8
10.436	99.81	0.4099	330.8
10.596	99.81	0.4099	330.8
10.900	99.92	0.3990	330.4
11.176	99.92	0.3814	330.4
11.376	99.92	0.3814	329.6
11.544	99.92	0.3852	329.6
11.812	99.94	0.3856	330.1
12.116	99.94	0.3871	330.1
12.304	99.95	0.3812	330.6
12.468	99.95	0.3750	330.6
12.628	99.95	0.3750	330.6
12.920	99.92	0.3588	330.3
13.208	99.89	0.3588	329.9
13.424	99.89	0.3619	329.9
13.588	99.89	0.3619	329.9
13.856	99.93	0.3659	330.2
14.184	99.95	0.3615	330.4
14.356	99.95	0.3492	330.4
14.520	99.95	0.3492	330.4
14.752	99.94	0.3452	330.1
15.028	99.94	0.3453	330.1
15.312	99.95	0.3526	329.6
15.472	99.95	0.3552	329.6
15.632	99.95	0.3531	329.8
15.920	99.95	0.3514	329.8
16.228	99.94	0.3514	330.0
16.384	99.94	0.3476	330.0
16.568	99.96	0.3476	329.5
16.816	99.96	0.3414	329.5
17.104	99.92	0.3493	329.8
17.332	99.92	0.3516	329.8
17.504	99.93	0.3516	330.5
17.664	99.93	0.3498	330.5
17.968	99.93	0.3457	330.6
18.240	99.93	0.3420	330.6
18.488	99.90	0.3359	330.1
18.644	99.90	0.3393	330.1
18.944	99.95	0.3484	330.5
19.236	99.95	0.3518	330.5
19.424	99.93	0.3529	331.1
19.588	99.93	0.3448	331.1
19.900	99.91	0.3393	330.8
20.176	99.91	0.3307	330.8
20.384	99.89	0.3304	330.0
20.580	99.89	0.3400	330.0
20.880	99.90	0.3509	330.6
21.136	99.90	0.3467	330.6
21.360	99.90	0.3469	331.5
21.520	99.90	0.3469	331.5
21.664	99.90	0.3382	331.5
21.940	99.92	0.3277	330.7
22.204	99.92	0.3220	330.7
22.400	99.95	0.3275	330.0
22.560	99.95	0.3366	330.0
22.848	99.95	0.3505	330.3
23.104	99.95	0.3517	330.3
23.328	99.87	0.3391	331.3
23.492	99.87	0.3391	331.3
23.660	99.87	0.3272	331.3
23.956	99.97	0.3236	331.0
24.224	99.67	0.3277	330.0
24.444	99.67	0.3351	330.0
24.612	99.67	0.3374	330.0
24.960	99.66	0.3433	330.6
25.220	99.64	0.3431	331.3
25.392	99.64	0.3302	331.3
25.564	99.64	0.3239	331.3
25.840	99.75	0.3272	331.3
26.140	99.85	0.3315	331.0
26.368	99.85	0.3328	331.0
26.556	99.85	0.3359	331.0
26.780	99.87	0.3401	331.6
27.056	99.96	0.3421	331.9
27.312	99.96	0.3416	331.9
27.452	99.96	0.3416	331.9
27.628	99.96	0.3321	332.2
27.936	99.96	0.3311	332.2
28.220	99.78	0.3383	331.9
28.412	99.78	0.3387	331.9
28.600	99.64	0.3406	332.2
28.908	99.64	0.3399	332.2
29.356	99.74	0.3302	332.1
29.520	99.77	0.3326	331.7
29.708	99.77	0.3326	331.7
30.036	99.64	0.3380	332.1
30.284	99.64	0.3412	332.1
30.428	99.78	0.3412	332.7
30.588	99.78	0.3380	332.7
30.900	100.0	0.3298	332.4
31.164	100.0	0.3230	332.4
31.396	100.0	0.3251	331.8
31.576	100.0	0.3332	331.8
31.820	100.0	0.3380	331.8
32.096	100.0	0.3380	332.8
32.348	100.0	0.3351	333.1
32.508	100.0	0.3306	333.1
32.716	100.0	0.3167	333.1
33.004	100.0	0.3139	332.0
33.276	100.0	0.3224	332.0
33.488	100.0	0.3350	331.2
33.644	100.0	0.3350	331.2
