EXP-15-CC44-14-100100100-G-FP-006 100_s G-0034o
9/4/2015 1:01:27 PM
oscillatory strain sweep step
osc. stress	strain	G'	G''
Pa		Pa	Pa
0.6479	9.8004E-4	655.6	90.39
0.9102	1.2818E-3	707.9	64.42
1.131	1.5817E-3	708.9	97.01
1.419	2.0027E-3	704.1	84.66
1.783	2.5050E-3	707.1	88.55
2.238	3.1611E-3	702.8	91.49
2.825	3.9934E-3	702.4	90.15
3.532	5.0129E-3	699.5	90.58
4.436	6.3135E-3	697.5	90.25
5.582	7.9634E-3	695.8	90.41
7.011	0.010013	695.0	90.97
8.796	0.012600	692.9	90.99
11.05	0.015873	690.6	92.64
13.85	0.020010	686.2	96.28
17.28	0.025243	677.2	103.7
21.37	0.031813	661.5	121.2
26.42	0.040522	635.1	150.7
31.95	0.051116	598.6	182.2
38.39	0.064767	554.1	212.0
45.48	0.082187	503.3	231.3
53.01	0.10369	451.9	240.1
60.90	0.13075	400.1	239.3
69.38	0.16462	352.5	231.8
78.40	0.20716	308.3	220.2
88.72	0.26160	269.8	206.1
99.72	0.32690	237.8	191.7
112.5	0.41387	207.2	176.7
124.9	0.51828	178.5	162.3
136.2	0.66488	143.0	147.3
145.0	0.83789	109.6	134.4
152.9	1.0489	81.30	121.3
161.3	1.3253	57.97	107.3
169.5	1.6481	42.01	94.07
178.8	2.0582	30.31	81.61
189.6	2.5929	21.50	70.04
201.2	3.2348	15.69	60.32
212.7	4.0544	11.27	51.35
224.0	5.1023	7.833	43.28
