EXP-15-CC44-14-100100100-G-FP-006 100_s G-0035f
9/4/2015 1:02:07 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.16800	-0.1814	0.1555	1.650
0.41600	-0.1814	-2.083	1.650
0.62400	-0.1298	-2.083	2.447E-4
0.74400	-0.1298	-7.910	2.447E-4
0.90000	-0.1298	-6.530	2.447E-4
1.1040	-0.02759	-6.530	5.968E-5
1.3200	-0.02759	-5.129	5.968E-5
1.5600	-0.01139	-4.289	1.989E-5
1.7720	-0.01139	-3.154	1.989E-5
1.9120	-0.01139	-2.239	1.989E-5
2.1080	3.544E-3	-2.239	-7.958E-6
2.3280	3.544E-3	-1.778	-7.958E-6
2.5760	5.796E-3	-1.238	-7.958E-6
2.7960	5.796E-3	-0.8827	-7.958E-6
2.9440	7.585E-3	-0.8664	-1.592E-5
3.0960	7.585E-3	-0.8664	-1.592E-5
3.3280	7.585E-3	-0.7000	-1.592E-5
3.5480	4.990E-3	-0.5260	-9.947E-6
3.7560	4.990E-3	-0.4188	-9.947E-6
3.9000	4.386E-3	-0.2941	-5.595E-6
4.0720	4.386E-3	-0.2941	-5.595E-6
4.2880	4.386E-3	-0.2942	-5.595E-6
4.4720	4.341E-3	-0.2482	-6.395E-6
4.7000	4.341E-3	-0.2146	-6.395E-6
4.8280	2.253E-3	-0.2146	0
4.9520	2.253E-3	-0.1938	0
5.1160	2.253E-3	-0.1714	0
5.3080	1.717E-3	-0.1714	-1.989E-6
5.5440	1.717E-3	-0.1503	-1.989E-6
5.7640	1.717E-3	-0.1383	-1.989E-6
5.9160	-1.678E-3	-0.1270	5.968E-6
6.0680	-1.678E-3	-0.1270	5.968E-6
6.3000	-1.498E-3	-0.1142	5.968E-6
6.5360	-1.498E-3	-0.1021	5.968E-6
6.7560	-2.209E-4	-0.09583	-1.989E-6
6.8920	-2.209E-4	-0.08788	-1.989E-6
7.0360	-2.209E-4	-0.08788	-1.989E-6
7.2720	2.598E-3	-0.07877	-5.968E-6
7.4960	2.598E-3	-0.07460	-5.968E-6
7.7360	3.224E-5	-0.07041	3.979E-6
7.9200	3.224E-5	-0.06211	3.979E-6
8.1040	3.224E-5	-0.05961	3.979E-6
8.3160	9.648E-4	-0.05961	-3.979E-6
8.5520	9.648E-4	-0.04862	-3.979E-6
8.7760	4.637E-3	-0.04862	-3.979E-6
8.9200	4.637E-3	-0.04598	-3.979E-6
9.0800	4.637E-3	-0.04179	-3.979E-6
9.3040	5.349E-3	-0.03952	-5.968E-6
9.5240	5.349E-3	-0.03952	-5.968E-6
9.7480	5.154E-3	-0.03589	-3.979E-6
9.8800	5.154E-3	-0.03172	-3.979E-6
10.092	8.189E-3	-0.02928	-3.979E-6
10.308	8.189E-3	-0.02925	-3.979E-6
10.548	8.189E-3	-0.02624	-3.979E-6
10.740	8.950E-3	-0.02624	-1.592E-5
10.896	8.950E-3	-0.02320	-1.592E-5
11.032	8.950E-3	-0.02227	-1.592E-5
11.236	6.385E-3	-0.02227	-5.968E-6
11.464	6.385E-3	-0.01978	-5.968E-6
11.656	6.092E-3	-0.01786	-1.592E-5
11.836	6.092E-3	-0.01446	-1.592E-5
11.960	6.092E-3	-0.01446	-1.592E-5
12.188	9.346E-3	-0.01448	-1.393E-5
12.408	9.346E-3	-0.01411	-1.393E-5
12.640	7.954E-3	-0.01027	-1.194E-5
12.824	7.954E-3	-0.01029	-1.194E-5
12.948	7.954E-3	-0.01029	-1.194E-5
13.196	0.01152	-8.576E-3	-1.592E-5
13.400	0.01152	-7.263E-3	-1.592E-5
13.608	5.526E-3	-4.989E-3	-5.968E-6
13.784	5.526E-3	-3.286E-3	-5.968E-6
13.912	5.526E-3	-3.286E-3	-5.968E-6
14.040	7.019E-3	-3.112E-3	-5.968E-6
14.244	7.019E-3	-2.893E-3	-5.968E-6
14.452	0.01522	-2.893E-3	-2.785E-5
14.648	0.01522	3.261E-4	-2.785E-5
14.824	0.01522	1.094E-3	-2.785E-5
14.952	2.502E-3	1.094E-3	-5.968E-6
15.160	2.502E-3	2.188E-3	-5.968E-6
15.388	9.149E-3	2.410E-3	-1.393E-5
15.620	9.149E-3	4.145E-3	-1.393E-5
15.784	9.149E-3	5.058E-3	-1.393E-5
15.928	0.01299	5.058E-3	-1.194E-5
16.100	0.01299	6.195E-3	-1.194E-5
16.488	0.01438	8.322E-3	-2.188E-5
16.616	0.01438	8.322E-3	-2.188E-5
16.756	0.01438	6.567E-3	-2.188E-5
16.908	0.01850	6.567E-3	-2.586E-5
17.076	0.01850	8.287E-3	-2.586E-5
17.316	0.05373	8.451E-3	-9.549E-5
17.560	0.05373	0.01018	-9.549E-5
17.752	0.05373	9.227E-3	-9.549E-5
17.880	-4.167E-3	9.227E-3	5.968E-6
18.024	-4.167E-3	0.01173	5.968E-6
18.276	0.02747	0.01035	-5.173E-5
18.516	0.02747	0.01132	-5.173E-5
18.756	8.557E-4	0.01322	1.989E-6
18.924	8.557E-4	0.01170	1.989E-6
19.076	8.557E-4	0.01170	1.989E-6
19.284	-0.01045	0.01416	1.592E-5
19.512	-0.01045	0.01472	1.592E-5
19.716	-0.02469	0.01549	3.780E-5
19.864	-0.02469	0.01549	3.780E-5
20.004	-0.02469	0.01567	3.780E-5
20.208	0.01055	0.01530	-2.586E-5
20.416	0.01055	0.01684	-2.586E-5
20.664	0.01499	0.01854	-2.586E-5
20.800	0.01499	0.01854	-2.586E-5
20.932	0.01499	0.01761	-2.586E-5
21.120	0.01499	0.01761	-2.586E-5
21.352	-0.02697	0.01759	4.528E-5
21.580	-0.02697	0.01758	4.528E-5
21.792	-0.02506	0.01854	4.813E-5
21.924	-0.02506	0.01966	4.813E-5
22.092	-0.02506	0.01966	4.813E-5
22.308	1.222E-3	0.01851	-7.958E-6
22.516	1.222E-3	0.01948	-7.958E-6
22.712	7.734E-3	0.01949	-1.790E-5
22.840	7.734E-3	0.01949	-1.790E-5
22.980	7.734E-3	0.02083	-1.790E-5
23.192	-0.01501	0.02120	1.989E-5
23.416	-0.01501	0.02193	1.989E-5
23.620	-0.01350	0.02139	2.387E-5
23.816	-0.01350	0.02139	2.387E-5
23.940	-0.01350	0.02005	2.387E-5
24.164	4.367E-4	0.02173	-5.968E-6
24.368	4.367E-4	0.02175	-5.968E-6
24.588	4.796E-3	0.02118	-9.947E-6
24.784	4.796E-3	0.02118	-9.947E-6
24.932	4.796E-3	0.02194	-9.947E-6
25.156	7.389E-3	0.02177	-3.979E-6
25.360	7.389E-3	0.02157	-3.979E-6
25.568	8.906E-3	0.02158	-9.947E-6
