EXP-15-CC44-14-100100100-G-FP-006 100_s J-0047f
9/4/2015 1:24:26 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.28000	48.04	3.660	124.8
0.55200	48.04	1.792	124.8
0.71600	48.04	2.605	124.8
0.88800	112.0	2.605	217.6
1.0840	112.0	2.790	217.6
1.3840	99.71	2.944	245.4
1.6560	99.71	2.957	245.4
1.8520	99.70	2.878	276.2
2.0440	99.70	2.734	276.2
2.3600	99.68	2.567	297.2
2.6520	99.86	2.394	308.7
2.8400	99.86	2.261	308.7
3.0200	99.86	2.061	308.7
3.3120	99.80	1.843	314.1
3.5920	99.80	1.684	314.1
3.8040	99.77	1.478	316.3
3.9640	99.77	1.318	316.3
4.2160	99.90	1.230	318.7
4.4880	99.90	1.140	318.7
4.7120	99.97	1.071	320.2
4.8880	99.97	1.071	320.2
5.0640	99.98	1.019	321.1
5.3680	99.98	0.9888	321.1
5.6400	99.93	0.9563	322.1
5.8320	99.93	0.9254	322.1
6.0240	99.88	0.8972	325.0
6.3120	99.88	0.8446	325.0
6.6000	99.88	0.7983	327.2
6.8080	99.88	0.7695	327.2
6.9720	99.98	0.7331	326.7
7.1640	99.98	0.6975	326.7
7.5080	99.97	0.6662	327.4
7.7560	99.97	0.6480	327.4
7.9280	99.80	0.6224	328.0
8.0920	99.80	0.6224	328.0
8.4040	99.66	0.5719	328.4
8.6760	99.66	0.5590	328.4
8.8840	99.74	0.5403	328.2
9.0440	99.74	0.5403	328.2
9.3320	99.74	0.5306	328.2
9.6040	99.76	0.5295	328.3
9.8000	99.76	0.5137	328.3
9.9760	99.60	0.5014	329.0
10.164	99.60	0.4912	329.0
10.452	99.76	0.4720	330.2
10.740	99.76	0.4646	330.2
10.900	99.67	0.4553	330.3
11.084	99.67	0.4553	330.3
11.384	99.61	0.4399	330.0
11.700	99.61	0.4356	330.0
11.876	99.79	0.4292	330.3
12.020	99.79	0.4292	330.3
12.308	99.89	0.4165	329.8
12.564	99.89	0.4077	329.8
12.756	99.88	0.4026	329.0
12.924	99.88	0.3910	329.0
13.124	99.88	0.3836	329.0
13.412	99.90	0.3815	328.2
13.700	99.86	0.3874	328.1
13.892	99.86	0.3910	328.1
14.052	99.86	0.3910	328.1
14.360	99.88	0.3920	328.8
14.628	99.88	0.3907	328.8
14.852	99.92	0.3831	329.3
15.012	99.92	0.3831	329.3
15.292	99.91	0.3802	329.6
15.560	99.91	0.3766	329.6
15.764	99.80	0.3766	330.1
15.952	99.80	0.3736	330.1
16.164	99.92	0.3681	330.2
16.468	99.92	0.3657	330.2
16.740	99.92	0.3624	330.0
16.888	99.92	0.3679	330.0
17.076	99.79	0.3679	330.3
17.376	99.79	0.3652	330.3
17.644	99.83	0.3681	330.8
17.864	99.83	0.3576	330.8
18.076	99.89	0.3576	331.2
18.368	99.89	0.3510	331.2
18.612	99.91	0.3531	330.2
18.820	99.91	0.3531	330.2
18.968	99.95	0.3571	330.1
19.220	99.95	0.3635	330.1
19.492	99.92	0.3679	330.6
19.716	99.92	0.3605	330.6
19.876	99.92	0.3533	330.6
20.052	99.95	0.3533	330.7
20.376	99.95	0.3493	330.7
20.680	99.92	0.3508	330.5
20.880	99.92	0.3580	330.9
21.044	99.92	0.3580	330.9
21.328	99.92	0.3544	330.9
21.604	99.91	0.3508	331.1
21.792	99.91	0.3508	331.1
21.944	99.95	0.3487	331.8
22.160	99.95	0.3488	331.8
22.484	99.92	0.3489	332.3
22.720	99.92	0.3479	332.3
22.868	99.94	0.3514	332.5
23.040	99.94	0.3514	332.5
23.352	99.77	0.3472	333.0
23.616	99.77	0.3427	333.0
23.828	99.87	0.3396	332.3
23.984	99.87	0.3396	332.3
24.224	99.87	0.3417	332.3
24.668	99.92	0.3502	331.5
24.848	99.84	0.3563	331.7
25.024	99.84	0.3563	331.7
25.312	99.95	0.3467	331.8
25.588	99.95	0.3385	331.8
25.808	99.98	0.3360	331.4
25.988	99.98	0.3360	331.4
26.240	99.86	0.3345	331.5
26.544	99.86	0.3359	331.5
26.828	99.92	0.3390	331.9
27.012	99.92	0.3390	331.9
27.344	99.92	0.3395	332.6
27.648	99.88	0.3415	332.0
27.832	99.88	0.3446	332.0
28.000	99.88	0.3446	332.0
28.272	99.86	0.3428	331.4
28.560	99.83	0.3423	331.8
28.800	99.83	0.3406	331.8
29.004	99.83	0.3339	331.8
29.248	99.61	0.3318	330.9
29.548	99.69	0.3343	330.8
29.812	99.69	0.3351	330.8
29.984	99.69	0.3351	330.8
30.224	99.75	0.3433	331.1
30.480	99.71	0.3457	331.4
30.720	99.71	0.3499	331.4
30.896	99.71	0.3410	331.4
31.052	100.0	0.3374	331.5
31.360	100.0	0.3356	331.5
31.648	100.0	0.3402	330.4
31.840	100.0	0.3385	330.4
32.016	100.0	0.3479	330.4
32.316	100.0	0.3480	330.4
32.608	100.0	0.3436	331.0
32.820	100.0	0.3414	331.0
33.008	100.0	0.3406	331.5
33.244	100.0	0.3408	331.5
33.532	100.0	0.3425	331.7
33.752	100.0	0.3434	331.7
