EXP-15-CC44-14-100100100-G-FP-006 100_s J-0049o
9/4/2015 1:30:13 PM
oscillatory strain sweep step
osc. stress	strain	G'	G''
Pa		Pa	Pa
0.4589	6.5113E-4	700.9	80.92
0.9175	1.2696E-3	720.7	62.68
1.141	1.5927E-3	710.3	100.5
1.434	1.9882E-3	717.9	78.30
1.818	2.5049E-3	720.4	92.87
2.274	3.1679E-3	712.9	91.04
2.866	3.9912E-3	713.5	87.43
3.588	5.0096E-3	711.4	89.45
4.503	6.3201E-3	707.7	89.00
5.656	7.9676E-3	705.2	88.19
7.090	0.010025	702.4	88.43
8.876	0.012608	699.1	88.84
11.11	0.015901	694.0	89.30
13.90	0.020022	688.7	91.87
17.30	0.025256	678.7	97.97
21.39	0.031797	663.8	112.6
26.46	0.040457	639.6	139.7
32.14	0.050933	607.7	172.4
38.71	0.064704	563.5	202.9
45.89	0.082060	513.2	223.7
53.50	0.10360	461.0	233.9
61.48	0.13056	408.8	234.7
69.97	0.16459	359.0	228.6
79.19	0.20891	310.9	217.6
88.65	0.26130	271.9	203.7
99.55	0.32649	239.6	189.3
112.0	0.41359	208.1	173.9
124.4	0.52181	177.9	159.1
135.7	0.66082	144.8	146.0
144.9	0.83671	110.5	133.8
153.3	1.0579	81.31	120.3
161.2	1.3155	59.78	107.3
169.5	1.6452	43.15	93.80
179.0	2.0749	30.58	80.83
189.0	2.5819	22.18	69.91
199.7	3.2322	15.97	59.80
209.3	4.0788	11.07	50.22
220.3	5.0877	7.794	42.68
