EXP-15-CC44-14-100100100-G-FP-006 100_s J-0050f
9/4/2015 1:30:52 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.16400	0.1385	0.1588	-18.96
0.40000	0.08380	-0.7206	-1.452E-4
0.61200	0.08380	-0.7206	-1.452E-4
0.81600	0.08417	-6.622	-1.393E-4
0.96000	0.08417	-7.332	-1.393E-4
1.0880	0.08417	-7.332	-1.393E-4
1.3440	0.01730	-5.744	-2.785E-5
1.5680	0.01730	-4.148	-2.785E-5
1.7760	0.01927	-3.113	-2.586E-5
1.9400	0.01927	-2.090	-2.586E-5
2.0800	0.01927	-2.090	-2.586E-5
2.3000	6.717E-3	-1.404	-1.393E-5
2.5280	6.717E-3	-1.089	-1.393E-5
2.7320	5.125E-3	-0.7851	-5.968E-6
2.9000	5.125E-3	-0.5905	-5.968E-6
3.0240	5.125E-3	-0.5905	-5.968E-6
3.2000	5.498E-3	-0.5010	-5.968E-6
3.4400	5.498E-3	-0.4033	-5.968E-6
3.6640	6.841E-3	-0.3316	-8.232E-6
3.8720	6.841E-3	-0.2807	-8.232E-6
4.0120	6.841E-3	-0.2807	-8.232E-6
4.1920	7.829E-3	-0.2527	-7.701E-6
4.4160	7.829E-3	-0.2176	-7.701E-6
4.6400	0.01184	-0.1905	-1.790E-5
4.8320	0.01184	-0.1738	-1.790E-5
4.9720	0.01184	-0.1738	-1.790E-5
5.1040	0.01081	-0.1548	-1.790E-5
5.3240	0.01081	-0.1389	-1.790E-5
5.5360	0.01004	-0.1389	-1.592E-5
5.7640	0.01004	-0.1285	-1.592E-5
5.9320	0.01004	-0.1156	-1.592E-5
6.0760	0.01221	-0.1044	-2.984E-5
6.2880	0.01221	-0.1044	-2.984E-5
6.5120	0.01078	-0.09545	-1.852E-5
6.7320	0.01078	-0.08978	-1.852E-5
6.9120	0.01078	-0.07898	-1.852E-5
7.0560	0.01290	-0.07860	-1.733E-5
7.2800	0.01290	-0.07860	-1.733E-5
7.4680	0.01113	-0.07236	-1.393E-5
7.7440	0.01113	-0.06894	-1.393E-5
7.8920	0.01113	-0.06154	-1.393E-5
8.0320	8.247E-3	-0.06154	-9.947E-6
8.2400	8.247E-3	-0.05376	-9.947E-6
8.4480	0.01104	-0.05376	-1.790E-5
8.6720	0.01104	-0.04977	-1.790E-5
8.8400	0.01104	-0.04520	-1.790E-5
8.9720	0.01367	-0.04520	-2.984E-5
9.1040	0.01367	-0.04145	-2.984E-5
9.3160	0.01367	-0.03972	-2.984E-5
9.5080	0.01173	-0.03972	-2.387E-5
9.7080	0.01173	-0.03554	-2.387E-5
9.9200	8.054E-3	-0.03176	-1.989E-5
10.064	8.054E-3	-0.02948	-1.989E-5
10.276	8.054E-3	-0.02666	-1.989E-5
10.476	0.01106	-0.02666	-1.989E-5
10.700	0.01106	-0.02228	-1.989E-5
10.880	0.01657	-0.02192	-3.183E-5
11.024	0.01657	-0.01644	-3.183E-5
11.232	0.01657	-0.01644	-3.183E-5
11.440	0.01528	-0.01601	-1.790E-5
11.628	0.01528	-0.01488	-1.790E-5
11.804	0.01894	-0.01428	-3.183E-5
12.004	0.01894	-0.01109	-3.183E-5
12.172	0.01894	-0.01109	-3.183E-5
12.416	0.02324	-8.809E-3	-4.178E-5
12.620	0.02324	-7.849E-3	-4.178E-5
12.860	0.02453	-6.556E-3	-2.984E-5
12.988	0.02453	-3.691E-3	-2.984E-5
13.160	0.02453	-3.691E-3	-2.984E-5
13.388	0.02585	-4.266E-3	-5.769E-5
13.608	0.02585	-3.321E-3	-5.769E-5
13.816	0.02473	-2.920E-4	-4.576E-5
13.948	0.02473	-2.920E-4	-4.576E-5
14.112	0.02473	4.527E-4	-4.576E-5
14.312	0.02072	-6.515E-4	-2.984E-5
14.548	0.02072	2.205E-3	-2.984E-5
14.768	0.02824	2.367E-3	-4.974E-5
14.940	0.02824	2.367E-3	-4.974E-5
15.064	0.02824	3.324E-3	-4.974E-5
15.276	0.02311	2.766E-3	-4.775E-5
15.496	0.02311	6.727E-3	-4.775E-5
15.696	0.02893	6.727E-3	-5.371E-5
15.868	0.02893	5.789E-3	-5.371E-5
15.996	0.02893	6.920E-3	-5.371E-5
16.200	0.03141	8.063E-3	-4.377E-5
16.444	0.03141	7.862E-3	-4.377E-5
16.664	0.03355	7.862E-3	-6.167E-5
16.840	0.03355	9.592E-3	-6.167E-5
16.992	0.03355	9.940E-3	-6.167E-5
17.164	0.04018	9.940E-3	-7.162E-5
17.404	0.04018	0.01091	-7.162E-5
17.628	0.01222	9.989E-3	-1.989E-5
17.836	0.01222	0.01095	-1.989E-5
17.964	0.01222	0.01281	-1.989E-5
18.136	0.01571	0.01281	-1.592E-5
18.352	0.01571	0.01068	-1.592E-5
18.588	0.02015	0.01300	-4.178E-5
18.796	0.02015	0.01415	-4.178E-5
18.920	0.02015	0.01414	-4.178E-5
19.052	0.02158	0.01414	-3.979E-5
19.272	0.02158	0.01241	-3.979E-5
19.480	0.01225	0.01393	-2.188E-5
19.692	0.01225	0.01434	-2.188E-5
19.848	0.01225	0.01434	-2.188E-5
19.984	0.02762	0.01491	-5.769E-5
20.156	0.02762	0.01491	-5.769E-5
20.360	0.02762	0.01545	-5.769E-5
20.636	0.01334	0.01490	-1.989E-5
20.820	0.01334	0.01546	-1.989E-5
20.956	-0.02667	0.01640	4.576E-5
21.096	-0.02667	0.01640	4.576E-5
21.312	-0.02667	0.02041	4.576E-5
21.532	-3.140E-3	0.01943	-1.989E-6
21.744	-3.140E-3	0.01926	-1.989E-6
21.900	0.02182	0.01698	-4.576E-5
22.028	0.02182	0.01698	-4.576E-5
22.248	0.02182	0.01851	-4.576E-5
22.456	0.03617	0.01851	-6.565E-5
22.676	0.03617	0.01926	-6.565E-5
22.828	0.05472	0.01926	-1.074E-4
22.952	0.05472	0.01943	-1.074E-4
23.096	0.05472	0.01943	-1.074E-4
23.308	0.01596	0.01944	-2.586E-5
23.532	0.01596	0.02057	-2.586E-5
23.752	-0.02495	0.02059	4.974E-5
23.944	-0.02495	0.01966	4.974E-5
24.088	-0.02495	0.01966	4.974E-5
24.312	-0.02839	0.02156	3.581E-5
24.536	-0.02839	0.02211	3.581E-5
24.788	6.561E-3	0.02340	-1.194E-5
24.936	6.561E-3	0.02135	-1.194E-5
25.064	6.561E-3	0.02135	-1.194E-5
25.284	0.01982	0.02153	-2.586E-5
25.476	0.01982	0.02457	-2.586E-5
25.684	0.01571	0.02286	-2.785E-5
25.844	0.01571	0.02114	-2.785E-5
25.988	0.01571	0.02114	-2.785E-5
26.152	0.01046	0.02346	-1.592E-5
