EXP-15-CC44-14-100100100-G-FP-006 1_00_s-1 min 100_s C-0012f
9/4/2015 12:01:08 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.23200	22.61	3.654	83.54
0.43200	22.61	2.377	83.54
0.69200	112.0	2.382	205.2
0.98800	99.60	2.762	235.6
1.2080	99.60	2.715	235.6
1.4040	99.60	2.599	235.6
1.6040	99.67	2.504	270.2
1.9120	99.66	2.470	293.5
2.1680	99.66	2.432	293.5
2.3400	99.66	2.356	293.5
2.5160	99.67	2.356	307.9
2.8200	99.67	2.098	307.9
3.1160	99.77	1.866	316.2
3.2720	99.77	1.866	316.2
3.4600	99.74	1.626	319.5
3.7160	99.74	1.472	319.5
4.0240	99.69	1.147	320.9
4.2480	99.69	1.147	320.9
4.4200	99.79	1.073	322.7
4.6920	99.79	0.9959	322.7
4.9520	99.87	0.9391	324.4
5.3040	99.77	0.8559	325.6
5.4760	99.77	0.8559	325.6
5.7640	99.85	0.7646	326.8
6.0240	99.85	0.7323	326.8
6.2440	99.93	0.7323	327.8
6.4080	99.93	0.6822	327.8
6.6600	99.93	0.6400	327.8
6.9520	99.93	0.6125	327.5
7.2080	99.97	0.5851	328.1
7.4240	99.97	0.5578	328.1
7.7000	99.91	0.5321	329.1
7.9600	99.91	0.5177	329.1
8.2000	99.91	0.5027	329.4
8.3880	99.91	0.4824	329.4
8.6000	99.91	0.4619	329.4
8.9160	99.88	0.4417	329.2
9.2000	99.81	0.4302	328.5
9.3800	99.81	0.4225	328.5
9.6400	99.76	0.4154	328.8
9.9240	99.76	0.4108	328.8
10.168	99.86	0.4036	329.5
10.320	99.86	0.4030	329.5
10.480	99.86	0.3831	329.5
10.756	99.90	0.3686	329.4
11.024	99.94	0.3677	328.9
11.220	99.94	0.3618	328.9
11.380	99.94	0.3618	328.9
11.584	99.96	0.3627	328.8
11.876	99.96	0.3563	328.8
12.132	99.96	0.3546	329.8
12.276	99.96	0.3590	329.8
12.432	99.96	0.3590	329.8
12.704	99.95	0.3428	329.8
13.016	99.94	0.3362	329.1
13.252	99.94	0.3346	329.1
13.408	99.94	0.3346	329.1
13.608	99.88	0.3392	328.5
13.936	99.86	0.3390	328.7
14.176	99.86	0.3479	328.7
14.356	99.86	0.3430	328.7
14.512	99.86	0.3356	329.5
14.788	99.86	0.3303	329.5
15.060	99.89	0.3257	329.0
15.248	99.89	0.3267	329.0
15.412	99.83	0.3267	328.8
15.616	99.83	0.3250	328.8
15.904	99.88	0.3236	329.1
16.168	99.88	0.3187	329.1
16.336	99.91	0.3204	329.0
16.496	99.91	0.3187	329.0
16.784	99.88	0.3236	328.7
17.088	99.88	0.3249	328.7
17.284	99.97	0.3320	328.8
17.440	99.97	0.3320	328.8
17.696	99.97	0.3343	328.8
17.968	99.92	0.3227	329.1
18.304	99.97	0.3174	328.8
18.480	99.97	0.3141	328.8
18.768	99.64	0.3164	328.1
19.024	99.64	0.3236	328.1
19.220	99.77	0.3306	328.4
19.376	99.77	0.3306	328.4
19.536	99.77	0.3343	328.4
19.812	99.90	0.3251	329.6
20.064	99.90	0.3143	329.6
20.288	99.82	0.3111	328.9
20.472	99.82	0.3067	328.9
20.784	99.89	0.3168	328.3
21.076	99.89	0.3250	328.3
21.300	99.89	0.3341	328.5
21.472	99.89	0.3343	328.5
21.728	99.86	0.3322	328.9
22.000	99.86	0.3286	328.9
22.240	99.96	0.3185	329.2
22.400	99.96	0.3185	329.2
22.636	99.93	0.3213	329.5
22.928	99.93	0.3261	329.5
23.152	99.93	0.3261	330.7
23.296	99.93	0.3156	330.7
23.476	99.93	0.3153	330.7
23.780	99.98	0.3142	330.4
24.032	99.92	0.3126	329.3
24.272	99.92	0.3145	329.3
24.432	99.92	0.3248	329.3
24.716	99.82	0.3333	329.2
24.988	99.88	0.3328	330.9
25.200	99.88	0.3282	330.9
25.360	99.88	0.3282	330.9
25.520	99.95	0.3196	331.1
25.820	99.95	0.3119	331.1
26.092	99.88	0.2949	329.7
26.284	99.88	0.2951	329.7
26.484	99.92	0.2970	328.4
26.816	99.92	0.3065	328.4
27.052	99.90	0.3109	329.2
27.212	99.90	0.3162	329.2
27.372	99.96	0.3162	331.0
27.548	99.96	0.3077	331.0
27.852	99.92	0.2974	329.9
28.144	99.92	0.2972	329.9
28.332	99.98	0.3058	329.4
28.512	99.98	0.3111	329.4
28.812	99.81	0.3090	328.7
29.084	99.81	0.3115	328.7
29.228	99.81	0.3107	328.7
29.404	99.55	0.3101	328.3
29.548	99.55	0.3101	328.3
29.836	99.76	0.3100	328.7
30.128	99.76	0.3155	328.7
30.356	99.71	0.3219	329.3
30.524	99.71	0.3189	329.3
30.844	99.78	0.3145	329.6
31.148	99.78	0.3080	329.6
31.340	100.0	0.3080	329.5
31.488	100.0	0.3088	329.5
31.804	100.0	0.3103	329.9
32.060	100.0	0.3119	329.9
32.268	100.0	0.3155	330.2
32.428	100.0	0.3168	330.2
32.620	100.0	0.3170	330.1
32.940	100.0	0.3194	330.1
33.212	100.0	0.3223	329.9
33.356	100.0	0.3215	329.9
