EXP-15-CC44-14-100100100-G-FP-006 1_00_s-1 min 100_s C-0014f
9/4/2015 12:02:27 PM
1.00 /s, 1 min
time	shear rate	normal force	shear stress
s	1/s	N	Pa
1.0000E-3	5.286E-3	0.2938	14.96
2.0000E-3	0.02470	0.2938	16.72
3.0000E-3	0.08504	0.2938	18.84
4.0000E-3	0.1853	0.2938	20.49
5.0000E-3	0.3098	0.2938	21.36
6.0000E-3	0.4395	0.2938	21.54
7.0000E-3	0.5603	0.2938	21.26
8.0000E-3	0.6584	0.2938	20.74
9.0000E-3	0.7290	0.2938	20.33
0.010000	0.7773	0.2938	20.16
0.011000	0.8064	0.2938	20.24
0.012000	0.8256	0.2938	20.57
0.013000	0.8401	0.2938	21.00
0.014000	0.8497	0.2938	21.47
0.015000	0.8553	0.2938	22.05
0.016000	0.8602	0.2938	22.69
0.017000	0.8645	0.2938	23.32
0.018000	0.8661	0.2938	23.97
0.019000	0.8651	0.2938	24.69
0.020000	0.8663	0.2938	25.49
0.021000	0.8692	0.2938	26.26
0.022000	0.8735	0.2938	26.99
0.023000	0.8826	0.2938	27.67
0.024000	0.8918	0.2938	28.20
0.025000	0.8980	0.2938	28.70
0.026000	0.8988	0.2938	29.23
0.027000	0.8959	0.2938	29.87
0.028000	0.8945	0.2938	30.59
0.029000	0.8928	0.2938	31.26
0.030000	0.8942	0.2938	31.97
0.031000	0.8989	0.2938	32.59
0.032000	0.9043	0.2938	33.11
0.033000	0.9068	0.2938	33.61
0.034000	0.9058	0.2938	34.17
0.035000	0.9038	0.2938	34.80
0.036000	0.9018	0.2938	35.44
0.037000	0.9021	0.2938	36.10
0.038000	0.9049	0.2938	36.69
0.039000	0.9105	0.2938	37.21
0.040000	0.9158	0.2938	37.66
0.041500	0.9146	0.2938	38.39
0.043500	0.9095	0.2938	39.53
0.045500	0.9089	0.2938	40.78
0.047500	0.9146	0.2938	41.82
0.049500	0.9238	0.2938	42.71
0.051500	0.9223	0.2938	43.57
0.053500	0.9191	0.2938	44.68
0.055500	0.9260	0.2938	45.63
0.057500	0.9329	0.2938	46.33
0.059500	0.9256	0.2938	47.22
0.061500	0.9230	0.2938	48.36
0.063500	0.9309	0.2938	49.18
0.065500	0.9374	0.2938	49.87
0.067500	0.9393	0.2938	50.58
0.069500	0.9302	0.2938	51.46
0.071500	0.9275	0.2938	52.50
0.073500	0.9365	0.2950	53.28
0.075500	0.9393	0.2950	53.92
0.077500	0.9466	0.2950	54.70
0.079500	0.9365	0.2950	55.25
0.081500	0.9431	0.2950	56.16
0.083500	0.9465	0.2950	56.71
0.085500	0.9423	0.2950	57.43
0.087500	0.9442	0.2950	58.22
0.089500	0.9531	0.2950	58.72
0.091500	0.9574	0.2950	59.18
0.093500	0.9498	0.2950	59.78
0.095500	0.9494	0.2950	60.54
0.097500	0.9561	0.2950	61.05
0.099500	0.9608	0.2950	61.46
0.10150	0.9536	0.2950	62.04
0.10350	0.9495	0.2950	62.75
0.10550	0.9548	0.2950	63.35
0.10750	0.9632	0.2950	63.70
0.10950	0.9631	0.2950	64.09
0.11150	0.9570	0.2950	64.68
0.11350	0.9608	0.2950	65.26
0.11550	0.9664	0.2950	65.55
0.11750	0.9598	0.2950	66.04
0.11950	0.9578	0.2950	66.70
0.12250	0.9663	0.2950	67.27
0.12650	0.9634	0.2950	68.11
0.13050	0.9692	0.2950	68.95
0.13450	0.9743	0.2950	69.50
0.13850	0.9722	0.2950	70.25
0.14250	0.9693	0.2950	70.93
0.14650	0.9714	0.2950	71.77
0.15050	0.9750	0.2950	72.29
0.15450	0.9731	0.2950	72.95
0.15850	0.9760	0.2950	73.65
0.16250	0.9754	0.2950	74.24
0.16650	0.9809	0.2950	74.64
0.17050	0.9750	0.2950	75.32
0.17450	0.9820	0.2950	75.77
0.17850	0.9793	0.2950	76.23
0.18250	0.9834	0.2950	76.70
0.18650	0.9767	0.2950	77.26
0.19050	0.9868	0.2950	77.62
0.19450	0.9797	0.2950	78.05
0.19850	0.9847	0.2950	78.54
0.20250	0.9823	0.2950	78.90
0.20650	0.9884	0.2950	79.25
0.21050	0.9834	0.2950	79.58
0.21450	0.9881	0.2950	79.98
0.21850	0.9841	0.2950	80.27
0.22250	0.9877	0.2950	80.70
0.22650	0.9886	0.2950	80.88
0.23050	0.9778	0.2950	81.52
0.23450	0.9881	0.2950	81.78
0.23850	0.9877	0.2950	82.09
0.24250	0.9891	0.2950	82.31
0.24650	0.9869	0.2950	82.74
0.25050	0.9922	0.2950	82.80
0.25450	0.9826	0.2950	83.36
0.25850	0.9903	0.2950	83.53
0.26250	0.9833	0.2950	83.99
0.26650	0.9904	0.2950	84.22
0.27050	0.9859	0.2950	84.57
0.27450	0.9930	0.2950	84.73
0.27850	0.9863	0.2950	85.08
0.28450	0.9925	0.2950	85.32
0.29250	0.9892	0.2950	85.78
0.30050	0.9899	0.2950	86.33
0.30850	0.9915	0.2950	86.83
0.31650	0.9914	0.2950	87.24
0.32450	0.9919	0.2940	87.69
0.33250	0.9924	0.2940	88.05
0.34050	0.9923	0.2940	88.48
0.34850	0.9930	0.2940	88.80
0.35650	0.9927	0.2940	89.21
0.36450	0.9926	0.2940	89.59
0.37250	0.9943	0.2940	89.86
0.38050	0.9914	0.2940	90.37
0.38850	0.9931	0.2940	90.60
0.39650	0.9947	0.2940	90.91
0.40450	0.9928	0.2940	91.24
0.41250	0.9939	0.2940	91.58
0.42050	0.9944	0.2940	91.83
0.42850	0.9950	0.2940	92.04
0.43650	0.9944	0.2940	92.34
0.44450	0.9955	0.2940	92.59
0.45250	0.9919	0.2940	92.96
0.46050	0.9955	0.2940	93.14
0.46850	0.9943	0.2940	93.44
0.47650	0.9955	0.2940	93.66
0.48450	0.9950	0.2940	93.91
0.49250	0.9961	0.2940	94.15
0.50050	0.9972	0.2940	94.27
0.50850	0.9978	0.2940	94.39
0.51650	0.9954	0.2940	94.67
0.52450	0.9939	0.2940	94.86
0.53250	0.9960	0.2940	95.18
0.54050	0.9970	0.2940	95.33
0.54850	0.9959	0.2940	95.57
0.55650	0.9974	0.2940	95.66
0.56450	0.9978	0.2892	95.84
0.57250	0.9979	0.2892	95.90
0.58050	0.9953	0.2892	96.12
0.58850	0.9945	0.2892	96.37
0.59650	0.9964	0.2892	96.49
0.60850	0.9960	0.2892	96.75
0.62450	0.9982	0.2892	97.06
0.64050	0.9972	0.2892	97.29
0.65650	0.9969	0.2892	97.56
0.67250	0.9969	0.2892	97.87
0.68850	0.9975	0.2892	98.15
0.70450	0.9983	0.2892	98.43
0.72050	0.9985	0.2892	98.51
0.73650	0.9972	0.2892	98.75
0.75250	0.9979	0.2892	99.06
