EXP-15-CC44-14-100100100-G-FP-006 1_00_s-1 min 100_s C-0015f
9/4/2015 12:03:06 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.19200	0.2098	0.3257	67.46
0.42000	-0.1070	-3.947	2.069E-4
0.65200	-0.1070	-8.023	2.069E-4
0.86800	-0.07145	-6.916	1.214E-4
0.99200	-0.07145	-6.916	1.214E-4
1.1160	-0.07145	-5.241	1.214E-4
1.3400	-0.02213	-5.241	4.974E-5
1.5680	-0.02213	-4.315	4.974E-5
1.7760	-0.02213	-3.117	4.974E-5
1.9560	-8.321E-3	-2.216	1.592E-5
2.0760	-8.321E-3	-2.216	1.592E-5
2.3040	-3.234E-3	-1.762	9.947E-6
2.5240	-3.234E-3	-1.710	9.947E-6
2.7320	-3.234E-3	-1.198	9.947E-6
2.9120	-1.777E-3	-0.8728	1.989E-6
3.0520	-1.777E-3	-0.8728	1.989E-6
3.2920	-2.405E-3	-0.6772	0
3.5400	-2.405E-3	-0.5683	0
3.7560	-1.936E-3	-0.4582	3.979E-6
3.9000	-1.936E-3	-0.3837	3.979E-6
4.0280	-1.936E-3	-0.3837	3.979E-6
4.2040	-1.263E-3	-0.3410	1.989E-6
4.4120	-1.263E-3	-0.2939	1.989E-6
4.6560	-1.263E-3	-0.2579	1.989E-6
4.8480	-1.563E-4	-0.2370	-5.968E-6
4.9920	-1.563E-4	-0.2370	-5.968E-6
5.1160	-1.563E-4	-0.2125	-5.968E-6
5.3600	-5.858E-4	-0.1895	9.947E-6
5.5800	-5.858E-4	-0.1703	9.947E-6
5.8040	-2.093E-4	-0.1703	0
5.9480	-2.093E-4	-0.1620	0
6.0640	-2.093E-4	-0.1473	0
6.2880	-1.447E-4	-0.1473	9.947E-6
6.5160	-1.447E-4	-0.1352	9.947E-6
6.7000	-1.064E-3	-0.1257	3.979E-6
6.8840	-1.064E-3	-0.1171	3.979E-6
7.0240	-1.064E-3	-0.1171	3.979E-6
7.1800	-1.171E-3	-0.1074	3.979E-6
7.3880	-1.171E-3	-0.1017	3.979E-6
7.6320	-1.082E-3	-0.09511	0
7.8360	-1.082E-3	-0.08942	0
7.9680	-1.082E-3	-0.08942	0
8.1120	-5.148E-4	-0.08562	-7.234E-6
8.3320	-5.148E-4	-0.07916	-7.234E-6
8.5560	-1.331E-3	-0.07479	-4.263E-6
8.8000	-1.331E-3	-0.06926	-4.263E-6
8.9720	-1.331E-3	-0.06926	-4.263E-6
9.1160	-2.949E-3	-0.06739	1.989E-6
9.3400	-2.949E-3	-0.06223	1.989E-6
9.5680	-5.530E-3	-0.05978	5.968E-6
9.8080	-5.530E-3	-0.05673	5.968E-6
9.9840	-2.150E-3	-0.05673	-1.989E-6
10.128	-2.150E-3	-0.05446	-1.989E-6
10.348	-2.150E-3	-0.05027	-1.989E-6
10.564	-2.513E-3	-0.04742	1.989E-6
10.796	-2.513E-3	-0.04630	1.989E-6
10.972	-3.989E-3	-0.04630	-5.968E-6
11.116	-3.989E-3	-0.04040	-5.968E-6
11.336	-3.989E-3	-0.04002	-5.968E-6
11.580	-2.277E-3	-0.03888	1.989E-6
11.804	-2.277E-3	-0.03394	1.989E-6
12.028	-3.007E-3	-0.03376	7.958E-6
12.212	-3.007E-3	-0.03376	7.958E-6
12.428	-1.499E-3	-0.03317	0
12.648	-1.499E-3	-0.03147	0
12.844	-1.638E-3	-0.02845	-1.989E-6
12.972	-1.638E-3	-0.02843	-1.989E-6
13.120	-1.638E-3	-0.02843	-1.989E-6
13.344	-4.160E-3	-0.02519	5.968E-6
13.548	-4.160E-3	-0.02332	5.968E-6
13.756	-4.160E-3	-0.02218	5.968E-6
13.932	-3.428E-3	-0.02218	1.441E-5
14.084	-3.428E-3	-0.01933	1.441E-5
14.296	-1.508E-3	-0.01798	5.776E-6
14.528	-1.508E-3	-0.01590	5.776E-6
14.752	-1.759E-3	-0.01381	3.979E-6
14.924	-1.759E-3	-0.01381	3.979E-6
15.052	-1.759E-3	-0.01401	3.979E-6
15.284	-7.259E-3	-0.01175	7.958E-6
15.496	-7.259E-3	-0.01171	7.958E-6
15.720	-7.164E-3	-0.01134	1.393E-5
15.900	-7.164E-3	-0.01134	1.393E-5
16.024	-7.164E-3	-9.640E-3	1.393E-5
16.220	-4.995E-3	-6.389E-3	9.947E-6
16.428	-4.995E-3	-5.662E-3	9.947E-6
16.632	-4.995E-3	-5.662E-3	9.947E-6
16.832	-1.772E-3	-6.222E-3	9.947E-6
16.976	-1.772E-3	-4.502E-3	9.947E-6
17.128	-1.772E-3	-4.502E-3	9.947E-6
17.356	-4.684E-3	-4.322E-3	7.958E-6
17.564	-4.684E-3	-2.221E-3	7.958E-6
17.772	3.728E-3	-5.081E-3	-5.968E-6
17.944	3.728E-3	-3.182E-3	-5.968E-6
18.076	3.728E-3	-3.182E-3	-5.968E-6
18.320	6.538E-3	-2.385E-3	-1.194E-5
18.556	6.538E-3	-2.043E-3	-1.194E-5
18.776	2.551E-3	4.376E-4	-1.989E-6
18.956	2.551E-3	1.377E-3	-1.989E-6
19.096	3.136E-3	1.377E-3	-7.958E-6
19.324	3.136E-3	-9.022E-4	-7.958E-6
19.516	3.136E-3	-1.851E-3	-7.958E-6
19.724	0.01910	-1.303E-4	-3.581E-5
19.912	0.01910	1.010E-3	-3.581E-5
20.044	0.02137	1.010E-3	-3.581E-5
20.200	0.02137	1.002E-3	-3.581E-5
20.444	0.02137	1.769E-3	-3.581E-5
20.664	2.105E-3	3.100E-3	-1.989E-6
20.876	2.105E-3	3.100E-3	-1.989E-6
21.004	-3.470E-3	2.889E-3	7.958E-6
21.144	-3.470E-3	2.709E-3	7.958E-6
21.372	-3.470E-3	2.709E-3	7.958E-6
21.596	8.896E-3	3.637E-3	-9.947E-6
21.820	8.896E-3	2.912E-3	-9.947E-6
21.996	0.01538	2.901E-3	-2.387E-5
22.124	0.01538	2.151E-3	-2.387E-5
22.340	0.01538	4.050E-3	-2.387E-5
22.576	-0.02036	4.050E-3	4.178E-5
22.776	-0.02036	4.430E-3	4.178E-5
22.952	-0.02909	2.899E-3	5.371E-5
23.080	-0.02909	2.899E-3	5.371E-5
23.300	-0.02909	3.852E-3	5.371E-5
23.516	-0.03768	3.639E-3	6.963E-5
23.724	-0.03768	2.890E-3	6.963E-5
23.900	-0.08120	4.599E-3	1.472E-4
24.040	-0.08120	4.599E-3	1.472E-4
24.204	-0.08120	6.688E-3	1.472E-4
24.432	-0.03322	4.799E-3	5.968E-5
24.636	-0.03322	6.689E-3	5.968E-5
24.876	0.03311	4.780E-3	-6.738E-5
