EXP-15-CC44-14-100100100-G-FP-006 1_00_s-1 min 100_s E-0022f
9/4/2015 12:45:24 PM
lather generation
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.27600	10.13	3.393	25.00
0.54800	99.95	1.808	203.8
0.76000	99.95	2.341	203.8
0.97200	99.91	2.503	232.9
1.1920	99.91	2.531	232.9
1.4800	99.93	2.524	265.4
1.7360	99.93	2.454	265.4
1.9280	99.96	2.368	288.2
2.1000	99.96	2.210	288.2
2.3720	99.93	2.022	302.2
2.6640	99.93	1.879	302.2
2.8520	99.88	1.651	308.4
3.0720	99.88	1.431	308.4
3.3360	99.93	1.235	312.7
3.6200	99.93	1.127	312.7
3.8440	99.94	1.017	316.7
3.9960	99.94	1.017	316.7
4.2000	99.94	0.9482	316.7
4.5000	99.90	0.9179	319.4
4.7720	99.95	0.8664	321.7
4.9160	99.95	0.8247	321.7
5.3000	99.96	0.7412	323.2
5.5720	99.96	0.6900	323.2
5.7640	99.80	0.6900	324.8
5.9240	99.80	0.6530	324.8
6.0840	99.80	0.6160	324.8
6.3880	99.62	0.5983	325.0
6.6760	99.91	0.5737	325.7
6.8680	99.91	0.5507	325.7
7.0280	99.91	0.5484	325.7
7.2200	99.87	0.5484	326.5
7.5640	99.87	0.5038	326.5
7.7960	99.90	0.4877	327.1
7.9560	99.90	0.4877	327.1
8.1160	99.92	0.4782	327.6
8.4200	99.92	0.4581	327.6
8.6720	99.87	0.4371	327.7
8.8840	99.87	0.4130	327.7
9.0480	99.88	0.4021	326.8
9.3000	99.88	0.4037	326.8
9.6000	99.93	0.4027	327.0
9.7960	99.93	0.3790	327.0
9.9520	99.93	0.3790	327.0
10.144	99.93	0.3852	327.4
10.436	99.93	0.3896	327.4
10.724	99.84	0.3822	327.1
10.964	99.90	0.3822	327.5
11.124	99.90	0.3674	327.5
11.408	99.90	0.3488	327.5
11.696	99.88	0.3435	325.7
11.860	99.88	0.3526	325.7
12.016	99.90	0.3649	324.7
12.212	99.90	0.3649	324.7
12.532	99.98	0.3657	325.5
12.800	99.98	0.3638	325.5
12.960	99.85	0.3551	325.6
13.104	99.85	0.3551	325.6
13.408	99.80	0.3501	325.6
13.664	99.80	0.3534	325.6
13.888	99.83	0.3613	326.3
14.048	99.83	0.3600	326.3
14.304	99.83	0.3488	326.3
14.592	99.88	0.3448	326.6
14.816	99.81	0.3530	326.4
14.980	99.81	0.3536	326.4
15.136	99.81	0.3536	326.4
15.456	99.79	0.3595	327.7
15.728	99.79	0.3543	327.7
15.948	99.55	0.3517	327.6
16.128	99.55	0.3517	327.6
16.420	99.71	0.3319	328.0
16.704	99.71	0.3109	328.0
16.896	99.71	0.3109	326.6
17.040	99.71	0.3183	326.6
17.248	99.70	0.3274	325.2
17.568	99.70	0.3420	325.2
17.864	99.74	0.3570	326.2
18.084	99.74	0.3655	326.2
18.368	99.67	0.3644	326.4
18.656	99.74	0.3653	326.4
18.864	99.74	0.3614	326.4
19.024	99.74	0.3615	326.4
19.240	99.76	0.3633	325.8
19.552	99.76	0.3623	325.8
19.840	99.70	0.3530	326.6
20.016	99.70	0.3496	326.6
20.240	99.81	0.3439	326.6
20.544	99.81	0.3464	326.6
20.812	99.87	0.3466	327.5
20.980	99.87	0.3465	327.5
21.152	99.86	0.3551	327.0
21.452	99.86	0.3663	327.0
21.732	99.96	0.3634	327.6
21.916	99.96	0.3634	327.6
22.096	99.97	0.3593	327.5
22.396	99.97	0.3507	327.5
22.672	99.75	0.3361	326.8
22.860	99.75	0.3361	326.8
23.040	99.69	0.3414	326.3
23.292	99.69	0.3536	326.3
23.564	99.83	0.3614	328.8
23.788	99.83	0.3549	328.8
23.956	99.82	0.3391	329.1
24.144	99.82	0.3391	329.1
24.416	99.71	0.3363	328.3
24.688	99.71	0.3393	328.3
24.892	99.74	0.3393	327.7
25.068	99.74	0.3528	327.7
25.320	99.74	0.3551	327.7
25.612	99.79	0.3486	327.8
25.840	99.73	0.3392	327.1
26.012	99.73	0.3403	327.1
26.224	99.73	0.3422	327.1
26.508	99.86	0.3579	326.5
26.784	99.78	0.3705	326.5
26.940	99.78	0.3665	327.6
27.092	99.78	0.3665	327.6
27.408	99.71	0.3450	328.4
27.692	99.71	0.3426	328.4
27.888	99.78	0.3426	327.2
28.044	99.78	0.3348	327.2
28.284	99.73	0.3331	326.0
28.572	99.73	0.3348	326.0
28.876	99.82	0.3492	325.9
29.040	99.82	0.3540	325.9
29.228	99.91	0.3477	328.8
29.532	99.91	0.3413	328.8
29.820	99.97	0.3357	328.3
29.988	99.97	0.3392	328.3
30.160	99.71	0.3443	327.3
30.460	99.71	0.3536	327.3
30.716	99.78	0.3597	327.2
30.952	99.78	0.3553	327.2
31.140	100.0	0.3403	327.8
31.440	100.0	0.3295	327.8
31.724	100.0	0.3299	326.9
31.948	100.0	0.3322	326.9
32.124	100.0	0.3414	326.2
32.408	100.0	0.3538	326.2
32.668	100.0	0.3629	327.9
32.876	100.0	0.3625	327.9
33.160	100.0	0.3540	328.3
33.452	100.0	0.3441	328.3
33.692	100.0	0.3420	327.4
