EXP-15-CC44-14-100100100-G-FP-006 1_00_s-1 min 100_s E-0024f
9/4/2015 12:46:43 PM
1.00 /s, 1 min
time	shear rate	normal force	shear stress
s	1/s	N	Pa
1.0000E-3	-0.02764	0.3080	-15.74
2.0000E-3	-0.02980	0.3080	-15.73
3.0000E-3	-0.03382	0.3080	-15.71
4.0000E-3	-0.03814	0.3080	-15.69
5.0000E-3	-0.04058	0.3080	-15.65
6.0000E-3	-0.03876	0.3080	-15.61
7.0000E-3	-0.03356	0.3080	-15.57
8.0000E-3	-0.02591	0.3080	-15.52
9.0000E-3	-0.01641	0.3080	-15.47
0.010000	-7.063E-3	0.3080	-15.42
0.011000	1.135E-3	0.3080	-15.37
0.012000	8.935E-3	0.3080	-15.31
0.013000	0.01904	0.3080	-15.26
0.014000	0.02972	0.3080	-15.21
0.015000	0.04182	0.3080	-15.16
0.016000	0.05575	0.3080	-15.11
0.017000	0.07030	0.3080	-15.06
0.018000	0.08470	0.3080	-15.01
0.019000	0.09681	0.3113	-14.97
0.020000	0.1058	0.3113	-14.92
0.021000	0.1112	0.3113	-14.88
0.022000	0.1144	0.3113	-14.83
0.023000	0.1180	0.3113	-14.78
0.024000	0.1229	0.3113	-14.73
0.025000	0.1270	0.3113	-14.67
0.026000	0.1294	0.3113	-14.61
0.027000	0.1303	0.3113	-14.56
0.028000	0.1278	0.3113	-14.49
0.029000	0.1228	0.3113	-14.43
0.030000	0.1169	0.3113	-14.36
0.031000	0.1137	0.3113	-14.29
0.032000	0.1099	0.3113	-14.21
0.033000	0.1082	0.3113	-14.13
0.034000	0.1067	0.3113	-14.05
0.035000	0.1035	0.3113	-13.98
0.036000	0.09838	0.3113	-13.90
0.037000	0.09251	0.3113	-13.82
0.038000	0.08722	0.3113	-13.73
0.039000	0.08213	0.3113	-13.65
0.040000	0.07872	0.3113	-13.56
0.041500	0.07846	0.3113	-13.43
0.043500	0.07885	0.3113	-13.26
0.045500	0.07728	0.3113	-13.10
0.047500	0.07742	0.3113	-12.94
0.049500	0.08410	0.3113	-12.78
0.051500	0.09249	0.3113	-12.63
0.053500	0.09679	0.3113	-12.48
0.055500	0.09879	0.3113	-12.33
0.057500	0.1052	0.3113	-12.18
0.059500	0.1149	0.3113	-12.04
0.061500	0.1168	0.3113	-11.90
0.063500	0.1137	0.3113	-11.76
0.065500	0.1148	0.3113	-11.60
0.067500	0.1174	0.3113	-11.45
0.069500	0.1148	0.3113	-11.30
0.071500	0.1083	0.3113	-11.14
0.073500	0.1047	0.3113	-10.98
0.075500	0.1037	0.3113	-10.81
0.077500	0.1019	0.3113	-10.65
0.079500	0.09688	0.3113	-10.49
0.081500	0.09633	0.3113	-10.32
0.083500	0.1013	0.3113	-10.16
0.085500	0.1057	0.3113	-10.01
0.087500	0.1056	0.3113	-9.854
0.089500	0.1040	0.3113	-9.697
0.091500	0.1106	0.3113	-9.540
0.093500	0.1129	0.3113	-9.387
0.095500	0.1070	0.3113	-9.231
0.097500	0.1065	0.3113	-9.068
0.099500	0.1091	0.3113	-8.905
0.10150	0.1079	0.3113	-8.742
0.10350	0.1036	0.3113	-8.557
0.10550	0.1080	0.3113	-8.358
0.10750	0.1145	0.3113	-8.165
0.10950	0.1195	0.3113	-7.982
0.11150	0.1291	0.3113	-7.809
0.11350	0.1350	0.3113	-7.646
0.11550	0.1363	0.3113	-7.486
0.11750	0.1442	0.3113	-7.326
0.11950	0.1498	0.3113	-7.173
0.12250	0.1328	0.3113	-6.933
0.12650	0.1343	0.3113	-6.590
0.13050	0.1096	0.3113	-6.247
0.13450	0.1102	0.3113	-5.881
0.13850	0.1024	0.3113	-5.533
0.14250	0.1178	0.3113	-5.195
0.14650	0.1115	0.3113	-4.869
0.15050	0.1135	0.3113	-4.533
0.15450	0.1180	0.3113	-4.199
0.15850	0.1303	0.3113	-3.884
0.16250	0.1303	0.3113	-3.570
0.16650	0.1268	0.3113	-3.240
0.17050	0.1239	0.3113	-2.912
0.17450	0.1236	0.3113	-2.571
0.17850	0.1222	0.3113	-2.241
0.18250	0.1315	0.3113	-1.913
0.18650	0.1265	0.3113	-1.592
0.19050	0.1279	0.3113	-1.263
0.19450	0.1172	0.3113	-0.9215
0.19850	0.1188	0.3113	-0.5786
0.20250	0.1205	0.3113	-0.2527
0.20650	0.1280	0.3113	0.08462
0.21050	0.1295	0.3113	0.3912
0.21450	0.1431	0.3113	0.7169
0.21850	0.1227	0.3113	1.036
0.22250	0.1350	0.3113	1.369
0.22650	0.1268	0.3113	1.708
0.23050	0.1302	0.3113	2.025
0.23450	0.1359	0.3113	2.360
0.23850	0.1306	0.3113	2.677
0.24250	0.1334	0.3113	3.010
0.24650	0.1325	0.3113	3.336
0.25050	0.1321	0.3113	3.665
0.25450	0.1385	0.3113	3.985
0.25850	0.1331	0.3113	4.313
0.26250	0.1378	0.3113	4.634
0.26650	0.1350	0.3143	4.964
0.27050	0.1373	0.3143	5.286
0.27450	0.1338	0.3143	5.616
0.27850	0.1370	0.3143	5.942
0.28450	0.1363	0.3143	6.432
0.29250	0.1405	0.3143	7.077
0.30050	0.1419	0.3143	7.717
0.30850	0.1408	0.3143	8.369
0.31650	0.1398	0.3143	9.067
0.32450	0.2433	0.3143	11.51
0.33250	0.7053	0.3143	16.49
0.34050	1.239	0.3143	21.75
0.34850	1.496	0.3143	27.47
0.35650	1.530	0.3143	34.23
0.36450	1.616	0.3143	40.91
0.37250	1.722	0.3143	46.45
0.38050	1.710	0.3143	51.68
0.38850	1.700	0.3143	56.32
0.39650	1.663	0.3143	60.08
0.40450	1.599	0.3143	63.61
0.41250	1.555	0.3143	66.27
0.42050	1.415	0.3143	67.68
0.42850	1.095	0.3143	68.50
0.43650	0.9739	0.3143	69.96
0.44450	0.9714	0.3143	70.44
0.45250	0.9591	0.3143	71.05
0.46050	0.9507	0.3143	71.82
0.46850	0.9500	0.3143	72.57
0.47650	0.9518	0.3143	73.28
0.48450	0.9527	0.3143	73.99
0.49250	0.9472	0.3143	74.73
0.50050	0.9443	0.3155	75.65
0.50850	0.9464	0.3155	76.35
0.51650	0.9754	0.3155	77.89
0.52450	1.274	0.3155	81.07
0.53250	1.435	0.3155	82.32
0.54050	1.393	0.3155	84.62
0.54850	1.368	0.3155	86.38
0.55650	1.320	0.3155	87.88
0.56450	1.295	0.3155	89.01
0.57250	1.266	0.3155	89.71
0.58050	1.230	0.3155	90.42
0.58850	1.202	0.3155	91.21
0.59650	1.186	0.3155	91.59
0.60850	1.155	0.3155	92.10
0.62450	1.039	0.3155	92.20
0.64050	1.002	0.3155	92.20
0.65650	0.9979	0.3155	92.33
0.67250	0.9982	0.3155	92.57
