EXP-15-CC44-14-100100100-G-FP-006 1_00_s-1 min 100_s E-0025f
9/4/2015 12:47:22 PM
lather cohesion
time	shear rate	normal force	shear stress
s	1/s	N	Pa
0.15200	-0.06056	0.3089	44.21
0.36000	-0.06056	0.3089	44.21
0.57200	-0.1128	-2.658	2.089E-4
0.71200	-0.1128	-8.109	2.089E-4
0.86000	-0.1128	-8.109	2.089E-4
0.98000	-0.04799	-7.962	8.555E-5
1.2080	-0.04799	-6.518	8.555E-5
1.4320	-0.02388	-5.147	3.780E-5
1.6520	-0.02388	-4.421	3.780E-5
1.8280	-0.02388	-4.421	3.780E-5
1.9760	-0.01299	-3.537	1.592E-5
2.2080	-0.01299	-2.840	1.592E-5
2.4240	-3.519E-3	-2.379	9.947E-6
2.6480	-3.519E-3	-2.379	9.947E-6
2.8240	-3.519E-3	-1.256	9.947E-6
2.9520	-3.085E-3	-1.256	1.989E-6
3.1920	-3.085E-3	-1.013	1.989E-6
3.3840	-9.629E-3	-0.7407	1.989E-5
3.6400	-9.629E-3	-0.5649	1.989E-5
3.7800	-9.629E-3	-0.5649	1.989E-5
3.9280	-0.01177	-0.4503	1.194E-5
4.1480	-0.01177	-0.3902	1.194E-5
4.3880	-9.915E-3	-0.3229	9.947E-6
4.5800	-9.915E-3	-0.3229	9.947E-6
4.7440	-9.915E-3	-0.2748	9.947E-6
4.8880	-7.414E-3	-0.2499	1.790E-5
5.0480	-7.414E-3	-0.2499	1.790E-5
5.2720	-6.065E-3	-0.2163	1.592E-5
5.4960	-6.065E-3	-0.1901	1.592E-5
5.7120	-5.066E-3	-0.1761	8.232E-6
5.8440	-5.066E-3	-0.1761	8.232E-6
5.9720	-5.066E-3	-0.1575	8.232E-6
6.1800	-5.066E-3	-0.1418	8.232E-6
6.3880	-4.483E-3	-0.1332	9.626E-6
6.5840	-4.483E-3	-0.1332	9.626E-6
6.7600	-4.213E-3	-0.1207	3.979E-6
6.9040	-4.213E-3	-0.1091	3.979E-6
7.0800	-4.213E-3	-0.1091	3.979E-6
7.2840	-3.947E-3	-0.1021	9.947E-6
7.5280	-3.947E-3	-0.09526	9.947E-6
7.7360	-3.694E-3	-0.08613	7.958E-6
7.9200	-3.694E-3	-0.08238	7.958E-6
8.1520	-4.832E-3	-0.07630	3.979E-6
8.3440	-4.832E-3	-0.07116	3.979E-6
8.5640	-4.832E-3	-0.07116	3.979E-6
8.7360	-5.904E-3	-0.06489	4.116E-6
8.8720	-5.904E-3	-0.06188	4.116E-6
9.0080	-5.904E-3	-0.06188	4.116E-6
9.2360	-6.130E-3	-0.05636	7.701E-6
9.4440	-6.130E-3	-0.05201	7.701E-6
9.6680	-6.441E-3	-0.04723	5.968E-6
9.8320	-6.441E-3	-0.04515	5.968E-6
9.9920	-6.441E-3	-0.04515	5.968E-6
10.200	-4.415E-3	-0.04327	7.958E-6
10.416	-4.415E-3	-0.04059	7.958E-6
10.612	-8.482E-3	-0.03852	1.393E-5
10.776	-8.482E-3	-0.03852	1.393E-5
10.900	-8.482E-3	-0.03246	1.393E-5
11.068	-6.049E-3	-0.03186	1.393E-5
11.284	-6.049E-3	-0.03186	1.393E-5
11.512	-3.528E-3	-0.02884	0
11.716	-3.528E-3	-0.02676	0
11.844	-3.528E-3	-0.02356	0
11.976	-6.485E-3	-0.02356	3.979E-6
12.184	-6.485E-3	-0.02258	3.979E-6
12.388	-6.485E-3	-0.01993	3.979E-6
12.596	-9.446E-3	-0.01726	1.393E-5
12.756	-9.446E-3	-0.01726	1.393E-5
12.888	-9.446E-3	-0.01462	1.393E-5
13.044	-7.850E-3	-0.01462	7.958E-6
13.276	-7.850E-3	-0.01632	7.958E-6
13.492	-6.082E-3	-0.01141	1.393E-5
13.688	-6.082E-3	-9.328E-3	1.393E-5
13.828	-6.082E-3	-8.182E-3	1.393E-5
13.968	-9.153E-3	-8.182E-3	1.790E-5
14.196	-9.153E-3	-8.147E-3	1.790E-5
14.452	-1.802E-3	-3.978E-3	7.958E-6
14.660	-1.802E-3	-4.003E-3	7.958E-6
14.788	-1.802E-3	-4.003E-3	7.958E-6
14.924	3.787E-3	-4.189E-3	-9.947E-6
15.156	3.787E-3	-3.615E-3	-9.947E-6
15.360	6.211E-3	-1.901E-3	-1.989E-6
15.588	6.211E-3	-7.776E-4	-1.989E-6
15.760	6.211E-3	-7.776E-4	-1.989E-6
15.908	4.569E-4	-1.912E-3	-3.979E-6
16.064	4.569E-4	2.449E-3	-3.979E-6
16.292	-1.138E-3	2.449E-3	5.776E-6
16.532	-1.138E-3	3.427E-3	5.776E-6
16.700	-1.138E-3	3.411E-3	5.776E-6
16.840	4.768E-4	3.603E-3	-4.116E-6
16.964	4.768E-4	3.603E-3	-4.116E-6
17.192	4.768E-4	6.253E-3	-4.116E-6
17.408	-3.538E-3	6.630E-3	-1.989E-6
17.652	-3.538E-3	9.661E-3	-1.989E-6
17.836	-0.01607	8.715E-3	3.183E-5
17.988	-0.01607	8.715E-3	3.183E-5
18.196	0.01427	9.669E-3	-2.785E-5
18.424	0.01427	0.01044	-2.785E-5
18.644	0.01427	0.01268	-2.785E-5
18.836	-2.010E-3	0.01269	3.979E-6
18.964	-2.010E-3	0.01269	3.979E-6
19.204	-2.082E-3	0.01193	3.979E-6
19.424	-2.082E-3	0.01309	3.979E-6
19.668	0.02560	0.01346	-4.576E-5
19.856	0.02560	0.01384	-4.576E-5
20.036	0.02560	0.01365	-4.576E-5
20.272	0.03046	0.01576	-5.371E-5
20.472	0.03046	0.01576	-5.371E-5
20.672	0.01429	0.01497	-2.586E-5
20.856	0.01429	0.01477	-2.586E-5
20.988	0.01429	0.01671	-2.586E-5
21.216	-6.632E-3	0.01671	3.979E-6
21.440	-6.632E-3	0.01405	3.979E-6
21.636	-0.02662	0.01495	5.570E-5
21.828	-0.02662	0.01573	5.570E-5
21.968	-0.02662	0.01573	5.570E-5
22.204	-0.03102	0.01574	5.769E-5
22.412	-0.03102	0.01592	5.769E-5
22.620	-0.01853	0.01707	3.780E-5
22.796	-0.01853	0.01877	3.780E-5
22.972	-0.01853	0.01588	3.780E-5
23.184	0.01863	0.01588	-3.979E-5
23.428	0.01863	0.01744	-3.979E-5
23.628	0.04034	0.01802	-7.361E-5
23.800	0.04034	0.01613	-7.361E-5
23.960	0.03934	0.01613	-6.963E-5
24.180	0.03934	0.01839	-6.963E-5
24.404	0.03934	0.01915	-6.963E-5
24.592	0.02676	0.01822	-5.769E-5
24.752	0.02676	0.01840	-5.769E-5
24.880	0.02676	0.01840	-5.769E-5
25.104	0.01641	0.01917	-1.989E-5
